tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_0,"[5, 4, 4, 3, 3, 5, 3, 2, 3, 5, 6, 3, 3, 4, 3, 3, 4, 5, 2, 6, 2, 2, 1, 5, 1, 4, 5, 4, 2, 3, 6, 3, 2, 3, 4, 3, 4]",37,6.644
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_1,"[2, 3, 6, 6, 3, 2, 3, 2, 6, 4, 3, 4, 2, 2, 3, 1, 3, 4, 2, 4, 3, 2, 2, 3, 1, 3, 5, 3, 5, 2, 4, 1, 2, 3, 4, 2, 3, 2, 3, 2, 2, 1, 3, 3]",44,7.302
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_2,"[6, 6, 4, 2, 4, 5, 5, 3, 2, 4, 4, 3, 4, 1, 2, 3, 3, 4, 5, 4, 1, 4, 1, 4, 4, 4, 2, 2, 3, 3, 6, 1, 4, 3, 3, 2, 4, 1, 6]",39,5.799
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_4,"[1, 2, 3, 2, 4, 4, 3, 2, 3, 6, 4, 4, 5, 6, 4, 5, 3, 3, 4, 3, 2, 3, 4, 3, 4, 2, 5, 4, 3, 1, 4, 6, 2, 2, 3, 3, 4, 4]",38,4.845
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_5,"[3, 4, 6, 3, 2, 4, 3, 3, 3, 2, 5, 3, 4, 3, 2, 5, 2, 3, 2, 2, 4, 5, 5, 3, 2, 3, 2, 4, 2, 3, 4, 5, 3, 4, 4, 2, 2, 2, 1, 6]",40,5.051
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_6,"[6, 6, 4, 1, 2, 2, 5, 2, 5, 6, 2, 2, 4, 1, 2, 4, 1, 5, 4, 2, 2, 2, 3, 1, 4, 3, 1, 4, 3, 1, 1, 4, 4, 4, 5, 4, 4, 5, 3, 4]",40,5.021
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_8,"[3, 3, 5, 4, 4, 2, 2, 1, 4, 2, 3, 2, 5, 4, 3, 3, 4, 3, 2, 2, 4, 3, 1, 3, 2, 1, 4, 6, 3, 4, 2, 3, 2, 2, 3, 2, 6, 1, 4, 3, 3, 3, 4]",43,5.389
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_9,"[6, 6, 4, 5, 6, 5, 1, 4, 5, 3, 2, 1, 3, 1, 3, 2, 4, 5, 4, 6, 6, 5, 6, 1, 5, 6, 3, 2, 6, 1, 1, 4, 4, 6]",34,4.286
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_10,"[5, 5, 3, 2, 3, 1, 6, 4, 4, 6, 3, 2, 6, 4, 2, 3, 3, 2, 3, 5, 2, 3, 1, 2, 2, 4, 3, 4, 4, 3, 3, 3, 3, 1, 2, 2, 1, 6, 3, 6]",40,5.032
CFIN_P2conv_gsr5_s2,int4,sharegpt,sharegpt_13,"[6, 4, 3, 5, 4, 5, 2, 2, 3, 2, 1, 6, 1, 3, 3, 5, 3, 4, 3, 2, 3, 4, 2, 2, 1, 1, 1, 1, 3, 2, 2, 3, 3, 3, 4, 3, 3, 4, 3, 2, 4, 1, 3, 2, 2]",45,5.647
