tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_0,"[5, 4, 4, 4, 4, 3, 5, 3, 5, 6, 3, 3, 5, 3, 2, 4, 4, 2, 1, 5, 1, 2, 3, 4, 1, 3, 1, 5, 5, 2, 2, 2, 2, 4, 6, 5, 4, 6]",38,6.72
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_1,"[3, 4, 2, 2, 4, 3, 3, 6, 6, 4, 3, 3, 4, 4, 1, 3, 4, 2, 3, 2, 1, 2, 3, 3, 6, 3, 2, 1, 6, 4, 4, 3, 4, 5, 3, 2, 4, 4, 4]",39,6.466
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_2,"[6, 4, 4, 4, 4, 4, 6, 3, 2, 6, 4, 2, 4, 3, 2, 1, 1, 2, 1, 4, 1, 2, 3, 3, 4, 2, 3, 4, 2, 2, 5, 2, 1, 3, 5, 3, 2, 6, 4, 4]",40,6.64
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_4,"[1, 2, 6, 3, 6, 1, 3, 3, 4, 1, 3, 2, 5, 3, 3, 4, 4, 5, 2, 3, 4, 3, 5, 4, 5, 4, 4, 2, 3, 4, 4, 6, 3, 4, 5, 5]",36,5.947
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_5,"[1, 6, 6, 3, 2, 4, 4, 5, 2, 6, 3, 3, 3, 4, 4, 1, 5, 2, 4, 3, 3, 3, 3, 3, 6, 4, 4, 3, 4, 3, 3, 4, 2, 2, 3, 3, 4]",37,6.178
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_6,"[5, 6, 4, 4, 4, 4, 3, 3, 4, 4, 2, 4, 2, 2, 6, 4, 2, 5, 1, 3, 1, 4, 4, 2, 4, 1, 2, 3, 2, 3, 4, 4, 3, 2, 6, 6, 4, 2]",38,6.295
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_8,"[4, 5, 4, 4, 2, 5, 2, 1, 3, 4, 2, 3, 3, 4, 3, 1, 5, 4, 5, 3, 2, 1, 3, 3, 2, 2, 3, 4, 4, 4, 2, 6, 6, 3, 2, 4, 2, 3, 1, 2, 4]",41,5.731
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_9,"[6, 6, 4, 5, 5, 5, 2, 4, 6, 4, 1, 3, 2, 1, 1, 2, 2, 3, 1, 2, 3, 1, 2, 4, 4, 5, 1, 2, 4, 2, 3, 6, 2, 5, 3, 3, 4, 6, 5]",39,4.976
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_10,"[4, 4, 4, 1, 5, 6, 5, 3, 3, 2, 4, 2, 2, 2, 3, 1, 3, 4, 2, 3, 3, 3, 1, 3, 1, 4, 3, 1, 4, 1, 2, 1, 1, 2, 4, 4, 2, 1, 1, 3, 2, 4, 1, 6, 5, 4]",46,5.843
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_13,"[6, 4, 3, 2, 4, 3, 4, 3, 2, 3, 3, 3, 4, 3, 6, 3, 4, 3, 3, 3, 4, 2, 1, 1, 3, 2, 3, 2, 3, 3, 2, 3, 1, 3, 5, 6, 1, 3, 3, 3, 2, 1, 4]",43,5.465
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_15,"[6, 6, 2, 4, 4, 2, 5, 2, 4, 4, 3, 5, 3, 4, 6, 2, 3, 4, 6, 5, 2, 5, 3, 4, 2, 1, 2, 2, 5, 4, 3, 2, 2, 3, 4, 2, 3]",37,4.703
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_16,"[1, 1, 3, 2, 2, 2]",6,0.877
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_19,"[3, 3, 4, 1, 3, 2, 4, 5, 2, 2, 2, 2, 1, 2, 2, 5, 3, 2, 4, 6, 3, 4, 4, 4, 3, 1, 4, 5, 3, 2, 3, 6, 5, 1, 2, 3, 3, 2, 4, 4, 2, 4]",42,5.34
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_23,"[4, 4, 4, 2, 5, 4, 4, 3, 2, 3, 4, 4, 3, 3, 5, 4, 3, 4, 3, 3, 1, 4, 2, 4, 4, 2, 4, 2, 3, 4, 2, 3, 5, 1, 1, 1, 4, 4, 5, 2]",40,5.069
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_24,"[4, 4, 4, 2, 1, 1, 4, 3, 2, 5, 2, 3, 3, 3, 6, 4, 1, 2, 1, 3, 2, 3, 2, 4, 5, 2, 4, 4, 2, 4, 5, 1, 6, 6, 4, 2, 3, 3, 2, 3, 3]",41,5.206
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_25,"[3, 3, 5, 5, 4, 2, 4, 3, 4, 4, 2, 4, 5, 4, 4, 4, 3, 4, 3, 2, 4, 3, 6, 4, 3, 1, 4, 4, 6, 4, 4, 3, 1, 1, 4, 4]",36,4.587
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_26,"[6, 6, 4, 1, 2, 5, 4, 3, 6, 4, 1, 4, 5, 3, 4, 6, 2, 1, 2, 3, 1, 4, 6, 3, 2, 2, 2, 2, 4, 2, 1, 3, 2, 1, 3, 1, 2, 2, 2, 3, 1, 1, 1, 2, 2, 4]",46,5.839
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_28,"[4, 4, 4, 2, 2, 5, 2, 2, 5, 3, 4, 4, 4, 4, 6, 4, 2, 2, 2, 4, 4, 5, 6, 6, 4, 2, 1, 4, 4, 2, 2, 3, 5, 1, 2, 3, 3, 3]",38,4.818
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_29,"[3, 4, 6, 3, 3, 4, 4, 4, 5, 5, 4, 3, 2, 3, 4, 4, 4, 4, 3, 4, 2, 4, 5, 4, 2, 3, 3, 1, 2, 1, 1, 4, 3, 4, 2, 2, 6, 3]",38,4.836
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_31,"[6, 3, 2, 1, 5, 4, 6, 3, 5, 4, 2, 4, 2, 3, 2, 2, 6, 6, 5, 3, 3, 2, 5, 3, 3, 6, 3, 3, 4, 1, 4, 4, 6, 4, 2, 1]",36,4.608
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_34,"[4, 2, 2, 6, 3, 6, 4, 3, 2, 4, 2, 4, 1, 2, 1, 4, 4, 3, 2, 3, 2, 1, 3, 2, 4, 1, 6, 1, 4, 2, 3, 5, 3, 2, 3, 2, 2, 2, 6, 4, 4, 3, 4]",43,5.453
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_35,"[3, 4, 6, 4, 1, 5, 6, 2, 1, 2, 2, 4, 3, 2, 3, 3, 5, 2, 4, 6, 2, 6, 5, 3, 4, 1, 3, 4, 3, 4, 3, 3, 3, 1, 4, 3, 4, 3, 4]",39,4.97
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_36,"[6, 4, 3, 2, 3, 2, 4, 4, 2, 1, 4, 2, 6, 3, 4, 4, 2, 4, 2, 4, 2, 4, 3, 5, 2, 2]",26,3.325
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_39,"[2, 1, 2, 3, 4, 4, 2, 2, 3, 4, 2, 4, 6, 2, 6, 2, 3, 2, 4, 2, 4, 6, 3, 2, 4, 2, 1, 3, 1, 4, 3, 4, 1, 4, 4, 3, 3, 5, 4, 2, 1, 6]",42,5.319
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_41,"[1, 1, 2, 3, 6, 4, 6, 1, 3, 1, 3, 1, 1, 2, 3, 2, 4, 4, 4, 4, 3, 1, 4, 2, 2, 1, 4, 2, 5, 4, 6, 3, 3, 3, 2, 3, 6, 1, 2, 3, 2, 2, 3, 4, 2]",45,5.674
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_43,"[4, 3, 3, 4, 2, 5, 3, 3, 4, 2, 3, 3, 6, 6, 4, 1, 2, 4, 2, 6, 4, 1, 5, 4, 4, 6, 4, 4, 6, 3, 6, 1, 4, 4, 2]",35,4.364
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_46,"[1, 5, 4, 4, 2, 2, 2, 5, 3, 3, 2, 3, 3, 1, 2, 5, 3, 4, 3, 4, 4, 3, 2, 2, 4, 3, 4, 3, 4, 5, 1, 1, 1, 1, 3, 5, 2, 2, 2, 3, 3, 2, 2, 4, 3]",45,5.57
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_48,"[5, 2, 5, 2, 3, 2, 6, 4, 3, 5, 6, 2, 3, 2, 1, 4, 4, 3, 6, 3, 6, 6, 1, 5, 3, 4, 4, 5, 3, 4, 3, 6, 2, 2, 3]",35,4.387
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_54,"[1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 5, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 3, 3, 3, 3, 1, 3, 2, 3, 3, 4, 6, 1, 3, 1, 2, 3, 1, 2, 5, 3, 1, 5, 1, 3, 4, 1, 4, 2, 1, 2, 4, 1, 1, 1]",60,7.422
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_56,"[1, 4, 5, 5, 4, 3, 5, 3, 3, 6, 2, 3, 4, 4, 2, 5, 3, 3, 1, 6, 4, 4, 3, 3, 2, 2, 3, 4, 4, 3, 3, 5, 4, 3, 1, 1, 5, 2]",38,4.739
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_58,"[4, 4, 1, 4, 3, 6, 4, 4, 4, 5, 1, 4, 2, 2, 3, 6, 4, 6, 6, 2, 5, 2, 6, 5, 4, 4, 6, 6, 4, 4, 6, 4]",32,4.007
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_60,"[3, 4, 5, 2, 2, 3, 3, 2, 5, 1, 4, 4, 3, 3, 3, 3, 1, 2, 3, 4, 4, 2, 6, 2, 3, 5, 4, 3, 3, 1, 2, 2, 4, 3, 4, 2, 3, 3, 3, 3, 4, 5]",42,5.242
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_65,"[1, 1, 2, 6, 4, 4, 2, 3, 6, 4, 6, 6, 6, 4, 6, 3, 4, 5, 3, 6, 3, 5, 4, 6, 3, 4, 5, 3, 4, 6, 6]",31,3.904
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_66,"[6, 6, 4, 6, 4, 4, 3, 4, 6, 1, 3, 6, 1, 2, 3, 3, 3, 4, 2, 1, 2, 4, 1, 3, 4, 2, 5, 2, 2, 1, 2, 2, 2, 4, 3, 2, 3, 5, 5, 4]",40,4.986
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_67,"[1, 5, 3, 5, 2, 3, 6, 1, 4, 3, 1, 1, 1, 4, 2, 1, 4, 5, 4, 5, 5, 3, 2, 3, 1, 2, 1, 3, 4, 4, 2, 4, 4, 4, 6, 2, 4, 2, 2, 1, 3, 6]",42,5.188
CFIN_P2hybrid_gsr5_s0,int4,sharegpt,sharegpt_69,"[6, 4, 4, 5, 2, 3, 4, 2, 3, 4, 3, 3, 1, 6, 3, 3, 4, 6, 4, 3, 3, 2, 1, 4, 2, 5, 2, 6, 3, 4, 3, 2, 2, 1, 3, 1, 5, 2, 5]",39,4.984
