tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_0,"[1, 4, 6, 6, 6, 5, 5, 5, 5, 3, 3, 2, 3, 4, 3, 2, 6, 3, 2, 4, 2, 4, 3, 1, 1, 1, 3, 5, 5, 6, 3, 6, 4, 5, 2]",35,6.694
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_1,"[3, 4, 5, 6, 4, 4, 6, 3, 2, 2, 2, 5, 3, 2, 1, 2, 2, 4, 3, 2, 3, 5, 3, 4, 3, 3, 2, 6, 3, 2, 2, 2, 1, 2, 2, 5, 2, 2, 4, 2, 6]",41,6.908
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_2,"[1, 5, 6, 4, 2, 4, 5, 4, 4, 6, 5, 2, 4, 5, 4, 5, 3, 4, 2, 3, 2, 2, 4, 6, 3, 3, 6, 4, 4, 4, 1, 5, 2, 6]",34,5.186
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_4,"[3, 4, 3, 3, 6, 3, 3, 3, 2, 4, 4, 1, 4, 2, 5, 4, 5, 5, 3, 2, 4, 6, 1, 3, 2, 4, 3, 4, 4, 4, 6, 2, 6, 4, 2, 3, 5]",37,4.617
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_5,"[3, 3, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 3, 4, 2, 2, 2, 5, 2, 3, 4, 4, 3, 4, 3, 4, 3, 2, 1, 3, 2, 4, 4, 4, 1, 4, 4, 2, 4, 4]",40,4.959
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_6,"[4, 4, 4, 2, 4, 3, 6, 3, 3, 6, 4, 4, 2, 3, 2, 1, 3, 4, 4, 2, 3, 4, 2, 2, 4, 2, 2, 2, 1, 4, 2, 4, 1, 2, 4, 2, 3, 2, 2, 5, 4, 2, 3]",43,5.313
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_8,"[4, 4, 2, 4, 1, 1, 4, 4, 2, 4, 3, 3, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 4, 3, 4, 5, 4, 1, 6, 3, 1, 5, 6, 2, 3, 3, 6, 3, 4, 2, 4, 4, 3]",43,5.311
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_9,"[3, 6, 3, 4, 5, 2, 3, 5, 6, 4, 1, 4, 3, 2, 1, 3, 1, 2, 4, 1, 3, 2, 2, 5, 1, 4, 3, 3, 2, 5, 4, 2, 5, 3, 1, 3, 3, 6, 6, 2]",40,4.978
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_10,"[1, 2, 1, 6, 2, 3, 3, 4, 2, 4, 2, 2, 3, 6, 1, 4, 2, 4, 3, 3, 3, 2, 2, 2, 3, 2, 2, 3, 4, 4, 6, 3, 4, 4, 4, 4, 3, 2, 1, 3, 4, 4, 4]",43,5.35
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_13,"[1, 6, 3, 3, 3, 5, 3, 3, 2, 2, 3, 2, 3, 4, 5, 3, 4, 4, 4, 2, 2, 3, 3, 5, 1, 1, 4, 2, 2, 2, 2, 1, 4, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 4, 2, 2, 5]",51,6.306
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_15,"[1, 5, 6, 3, 3, 6, 3, 2, 2, 3, 4, 3, 3, 3, 3, 3, 5, 2, 4, 4, 3, 4, 2, 4, 3, 4, 3, 3, 3, 2, 3, 1, 4, 1, 2, 1, 3, 4, 5, 3, 4]",41,5.119
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_16,"[1, 5, 3, 2]",4,0.606
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_19,"[3, 3, 4, 1, 3, 3, 2, 1, 5, 2, 4, 2, 2, 4, 1, 3, 5, 2, 4, 4, 3, 4, 1, 1, 3, 4, 4, 2, 2, 3, 2, 4, 2, 4, 2, 2, 4, 2, 6, 3, 4, 2, 2, 3, 1]",45,5.572
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_23,"[1, 5, 5, 3, 4, 5, 3, 3, 2, 2, 1, 2, 4, 5, 6, 6, 2, 1, 1, 1, 2, 3, 4, 4, 2, 4, 3, 5, 4, 3, 2, 3, 3, 1, 4, 3, 3, 1, 2, 4, 1, 3, 3]",43,5.298
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_24,"[1, 5, 6, 2, 3, 5, 6, 2, 2, 2, 4, 6, 4, 2, 5, 1, 2, 2, 4, 4, 4, 2, 3, 5, 2, 4, 4, 2, 4, 2, 3, 4, 4, 3, 4, 3, 4, 4]",38,4.717
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_25,"[1, 2, 3, 3, 3, 5, 2, 4, 3, 4, 4, 2, 4, 3, 1, 4, 6, 4, 6, 3, 4, 3, 2, 4, 2, 6, 2, 5, 3, 1, 3, 3, 4, 6, 6, 1, 3, 5]",38,4.727
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_26,"[1, 5, 4, 2, 2, 3, 2, 6, 2, 4, 6, 2, 2, 4, 6, 1, 3, 4, 3, 3, 2, 5, 2, 4, 2, 3, 2, 2, 2, 1, 2, 3, 2, 1, 2, 5, 1, 1, 1, 2, 4, 3, 2, 2, 1, 1, 2, 3]",48,5.931
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_28,"[3, 4, 4, 3, 2, 4, 2, 4, 3, 3, 3, 3, 2, 2, 6, 3, 3, 2, 4, 2, 3, 2, 1, 1, 3, 2, 3, 2, 2, 3, 5, 3, 5, 3, 1, 1, 3, 4, 2, 3, 1, 2, 4, 4, 4]",45,5.615
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_29,"[5, 6, 3, 4, 2, 3, 4, 3, 3, 4, 4, 5, 3, 4, 4, 4, 4, 3, 3, 6, 3, 4, 2, 5, 4, 3, 5, 4, 3, 4, 5, 5, 1, 1, 6]",35,4.359
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_31,"[1, 2, 3, 4, 3, 4, 4, 4, 3, 5, 6, 5, 3, 3, 6, 3, 2, 6, 3, 4, 5, 3, 4, 4, 2, 3, 4, 1, 3, 3, 3, 2, 4, 4, 3, 6]",36,4.479
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_34,"[3, 3, 2, 6, 3, 3, 5, 3, 2, 2, 4, 3, 3, 1, 3, 6, 4, 2, 1, 2, 2, 2, 2, 4, 3, 1, 2, 2, 3, 3, 1, 2, 3, 4, 3, 5, 2, 3, 2, 4, 2, 3, 3, 2, 1, 2, 4]",47,5.785
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_35,"[3, 6, 4, 1, 3, 3, 5, 3, 4, 2, 1, 2, 2, 3, 2, 2, 3, 4, 5, 4, 6, 3, 2, 2, 3, 2, 1, 4, 4, 4, 4, 3, 4, 3, 4, 1, 4, 4, 3, 2, 3]",41,5.104
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_36,"[3, 4, 3, 3, 1, 2, 2, 2, 4, 5, 2, 4, 2, 5, 6, 2, 4, 4, 4, 4, 2, 3, 6, 6]",24,3.044
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_39,"[1, 3, 3, 1, 4, 3, 3, 2, 4, 6, 1, 4, 4, 4, 2, 4, 4, 5, 2, 5, 4, 2, 4, 3, 4, 3, 3, 3, 4, 5, 1, 2, 2, 2, 4, 1]",36,4.459
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_41,"[1, 2, 1, 4, 6, 4, 3, 2, 4, 4, 3, 5, 5, 4, 5, 3, 3, 4, 4, 3, 1, 1, 3, 2, 3, 2, 2, 4, 4, 1, 1, 2, 3, 2, 4, 6, 4, 4, 1]",39,4.848
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_43,"[2, 6, 5, 1, 5, 2, 2, 6, 1, 2, 2, 4, 2, 6, 4, 3, 4, 2, 1, 5, 2, 2, 2, 4, 4, 2, 1, 3, 2, 3, 2, 2, 4, 6, 2, 3, 3, 2, 6, 5, 3]",41,5.078
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_46,"[4, 6, 4, 5, 5, 3, 2, 3, 3, 3, 1, 5, 6, 2, 6, 6, 1, 3, 6, 5, 4, 5, 5, 3, 3, 4, 4, 4, 4, 6, 2, 1, 2, 1, 2]",35,4.371
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_48,"[3, 2, 2, 3, 3, 2, 4, 2, 3, 2, 5, 4, 4, 6, 1, 3, 3, 2, 3, 3, 4, 3, 6, 4, 4, 3, 3, 1, 3, 6, 4, 2, 4, 3, 1, 2, 1, 3, 5, 4, 5]",41,5.128
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_54,"[1, 3, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 3, 1, 1, 2, 3, 2, 1, 2, 1, 2, 3, 3, 3, 1, 3, 2, 2, 3, 4, 3, 2, 4, 2, 2, 3, 2, 1, 3, 2, 3, 2, 4, 3, 2, 1, 3, 1, 4, 4, 1, 1, 3, 2, 5]",62,7.659
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_56,"[3, 2, 5, 3, 3, 4, 3, 2, 4, 3, 1, 6, 2, 6, 2, 4, 4, 2, 2, 2, 3, 2, 2, 6, 1, 3, 4, 2, 4, 3, 2, 3, 4, 3, 3, 2, 3, 3, 4, 3, 2, 1, 2]",43,5.338
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_58,"[6, 3, 2, 2, 3, 3, 4, 3, 4, 4, 3, 2, 1, 2, 2, 2, 4, 4, 3, 5, 5, 2, 3, 5, 6, 4, 2, 4, 2, 2, 4, 6, 4, 4, 4, 5, 3, 5]",38,4.733
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_60,"[4, 5, 4, 1, 2, 3, 3, 3, 4, 1, 4, 4, 4, 3, 4, 3, 3, 2, 3, 2, 4, 4, 4, 3, 3, 1, 2, 4, 4, 1, 3, 4, 3, 2, 3, 5, 1, 1, 2, 6, 3, 3]",42,5.221
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_65,"[1, 3, 6, 4, 6, 2, 2, 6, 1, 2, 4, 2, 2, 2, 1, 5, 3, 6, 2, 4, 4, 4, 6, 6, 6, 4, 2, 5, 3, 4, 6, 4, 4, 4, 4]",35,4.365
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_66,"[1, 5, 4, 2, 3, 4, 2, 1, 3, 5, 6, 6, 2, 6, 5, 4, 2, 2, 4, 6, 4, 3, 3, 2, 2, 4, 1, 2, 1, 2, 5, 6, 3, 2, 2, 3, 3, 3, 2, 2]",40,4.985
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_67,"[1, 5, 3, 4, 3, 4, 6, 4, 1, 2, 3, 3, 4, 2, 2, 5, 2, 3, 2, 3, 4, 1, 2, 1, 2, 2, 1, 2, 3, 6, 2, 4, 3, 4, 3, 3, 1, 3, 4, 3, 3, 2, 2, 6]",44,5.474
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_69,"[1, 4, 3, 4, 4, 6, 3, 3, 4, 3, 2, 4, 1, 4, 3, 3, 4, 4, 6, 2, 3, 3, 3, 4, 1, 3, 6, 4, 3, 3, 4, 6, 3, 2, 4, 2, 4, 1, 3]",39,4.869
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_70,"[1, 6, 4, 4, 1, 5, 5, 3, 2, 4, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 4, 3, 2, 2, 5, 2, 4, 2, 5, 5, 6, 2, 3, 6, 4, 5, 2, 2, 3]",41,5.096
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_73,"[4, 6, 4, 3, 6, 5, 4, 4, 5, 4, 3, 3, 3, 3, 1, 3, 4, 2, 3, 4, 2, 1, 3, 3, 4, 5, 3, 4, 3, 2, 6, 4, 1, 2, 3, 2, 1, 2, 2, 2]",40,5.032
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_74,"[5, 4, 5, 2, 4, 6, 6, 2, 4, 3, 2, 1, 3, 4, 1, 4, 3, 2, 4, 1, 4, 3, 3, 2, 3, 2, 3, 4, 2, 4, 2, 4, 3, 4, 2, 3, 4, 1, 5, 4]",40,4.955
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_75,"[4, 3, 3, 3, 6, 3, 2, 2, 4, 4, 4, 5, 4, 5, 3, 4, 3, 5, 2, 3, 3, 2, 2, 6, 4, 2, 6, 2, 6, 2, 6, 3, 3, 3, 2, 2, 2]",37,4.638
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_76,"[1, 6, 2, 4, 4, 2, 6, 4, 4, 4, 2, 2, 3, 4, 5, 4, 5, 6, 3, 2, 4, 2, 3, 3, 3, 2, 3, 6, 6, 2, 4, 3, 3, 4, 4, 3]",36,4.544
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_77,"[3, 6, 3, 3, 3, 3, 4, 3, 2, 2, 4, 2, 3, 2, 2, 4, 1, 3, 1, 1, 4, 1, 1, 2, 2, 2, 3, 4, 2, 3, 4, 4, 2, 2, 6, 3, 3, 2, 4, 4, 3, 2, 2, 4, 4]",45,5.648
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_79,"[3, 4, 3, 1, 1, 4, 4, 2, 4, 3, 5, 4, 4, 3, 5, 5, 6, 3, 3, 3, 2, 4, 1, 4, 2, 2, 4, 3, 2, 6, 3, 2, 3, 6, 3, 4, 2, 4, 4]",39,4.953
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_80,"[2, 6, 4, 4, 4, 6, 4, 5, 4, 4, 4, 5, 6, 4, 4, 5, 4, 6, 4, 4, 6, 4, 4, 5, 4, 4, 2, 2, 4, 1, 5]",31,3.936
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_83,"[1, 2, 5, 4, 2, 4, 2, 4, 3, 3, 3, 3, 2, 4, 3, 3, 3, 4, 6, 4, 4, 3, 5, 2, 2, 4, 3, 5, 4, 3, 1, 2, 1, 2, 2, 4, 4, 5, 3, 5]",40,5.066
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_84,"[3, 6, 2, 1, 4, 3, 4, 4, 4, 1, 4, 5, 3, 6, 2, 4, 4, 4, 5, 6, 4, 4, 6, 6, 6, 2, 6, 6, 6, 6, 4]",31,3.997
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_86,"[1, 5, 6, 2, 6, 5, 4, 6, 5, 4, 1, 6, 2, 5, 4, 1, 1, 5, 6, 6, 2, 3, 2, 4, 5, 4, 4, 5, 6, 5, 4, 4]",32,4.121
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_90,"[1, 4, 6, 3, 4, 2, 4, 2, 3, 4, 6, 6, 3, 3, 4, 4, 4, 3, 2, 3, 3, 3, 2, 3, 3, 1, 4, 6, 2, 3, 6, 4, 1, 2, 3, 4, 3, 2, 3]",39,4.999
CFIN_QH_ls_s0,int4,sharegpt,sharegpt_91,"[1, 4, 3, 4, 2, 3, 2, 1, 4, 3, 2, 6, 1, 3, 4, 1, 4, 3, 2, 3, 6, 4, 3, 4, 6, 2, 3, 2, 2, 3, 2, 3, 2, 4, 2, 4, 1, 3, 3, 3, 3, 4, 2, 3]",44,5.57
