tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
TRANSPLANT,int4,gsm8k,gsm8k_test_0,"[3, 3, 5, 3, 3, 2, 2, 4, 4, 4, 3, 5, 4, 1, 1, 6, 3, 4, 2, 4, 2, 2, 6, 2, 3, 4, 4, 4, 5, 3, 2, 6, 2, 2, 5, 3, 2, 4, 3]",39,6.71
TRANSPLANT,int4,gsm8k,gsm8k_test_1,"[1, 2, 3, 5, 1, 4, 1, 3, 5, 4, 3, 2, 4, 4, 3, 1, 4, 2, 4, 4, 4, 5, 3, 2, 2, 6, 6, 1, 2, 4, 4, 4, 4, 2, 4, 2, 4, 3, 3, 2, 6]",41,5.53
TRANSPLANT,int4,gsm8k,gsm8k_test_2,"[1, 2, 3, 5, 3, 3, 2, 2, 4, 3, 4, 3, 6, 5, 3, 2, 4, 6, 2, 2, 2, 2, 2, 3, 6, 6, 6, 3, 5, 6, 4, 6, 5, 3, 6]",35,4.943
TRANSPLANT,int4,gsm8k,gsm8k_test_3,"[1, 3, 3, 4, 3, 3, 4, 5, 5, 3, 6, 3, 6, 2, 4, 6, 2, 3, 4, 2, 1, 3, 3, 4, 5, 3, 4, 1, 3, 5, 3, 5, 3, 4, 2, 3, 4]",37,5.57
TRANSPLANT,int4,gsm8k,gsm8k_test_4,"[2, 4, 4, 3, 3, 3, 2, 6, 3, 5, 2, 6, 4, 3, 2, 3, 3, 6, 5, 3, 4, 4, 2, 4, 6, 3, 6, 5, 3, 6, 6, 5, 5]",33,4.559
TRANSPLANT,int4,gsm8k,gsm8k_test_5,"[4, 4, 3, 4, 2, 2, 2, 2, 6, 4, 3, 3, 4, 4, 4, 4, 4, 5, 5, 1, 3, 3, 5, 2, 6, 4, 4, 2, 4, 2, 3, 4, 6, 6, 6]",35,4.826
TRANSPLANT,int4,gsm8k,gsm8k_test_6,"[2, 3, 3, 4, 3, 2, 2, 2, 4, 4, 5, 2, 1, 6, 4, 1, 5, 5, 3, 3, 5, 4, 3, 5, 2, 6, 3, 2, 4, 6, 3, 1, 5, 1, 4, 6, 5]",37,6.389
TRANSPLANT,int4,gsm8k,gsm8k_test_7,"[2, 2, 3, 2, 3, 6, 4, 3, 1, 4, 2, 2, 2, 4, 3, 4, 5, 3, 3, 3, 5, 3, 3, 4, 3, 2, 2, 3, 2, 2, 3, 5, 2, 4, 3, 3, 6, 5, 1, 2, 3, 2]",42,5.712
TRANSPLANT,int4,gsm8k,gsm8k_test_8,"[2, 3, 3, 2, 2, 2, 3, 5, 2, 4, 4, 3, 3, 1, 4, 2, 4, 5, 2, 2, 3, 4, 3, 5, 6, 3, 6, 6, 2, 4, 5, 5, 2, 4, 2, 5, 4, 4]",38,5.177
TRANSPLANT,int4,gsm8k,gsm8k_test_9,"[5, 5, 4, 4, 4, 4, 5, 4, 4, 3, 4, 5, 2, 4, 6, 4, 5, 4, 4, 1, 2, 3, 5, 4, 1, 6, 4, 5, 3, 3, 4, 6, 5]",33,4.488
TRANSPLANT,int4,gsm8k,gsm8k_test_10,"[5, 5, 4, 4, 4, 6, 3, 3, 5, 2, 5, 1, 3, 3, 3, 4, 5, 3, 5, 4, 2, 3, 2, 6, 4, 3, 3, 3, 6, 3, 2, 1, 5, 3, 4, 6]",36,4.93
TRANSPLANT,int4,gsm8k,gsm8k_test_11,"[1, 1, 4, 5, 3, 3, 4, 2, 4, 5, 3, 3, 3, 2, 2, 4, 4, 4, 2, 2, 6, 1, 1, 2, 1, 3, 4, 4, 3, 6, 6, 6, 5, 4, 2, 1, 4, 4, 3, 5]",40,5.477
TRANSPLANT,int4,gsm8k,gsm8k_test_12,"[2, 2, 3, 4, 1, 4, 2, 2, 4, 4, 4, 2, 3, 3, 4, 1, 1, 4, 3, 2, 4, 2, 4, 5, 3, 3, 3, 5, 4, 1, 2, 3, 5, 4, 3, 1, 4, 5, 2, 2, 2, 2, 4]",43,5.858
TRANSPLANT,int4,gsm8k,gsm8k_test_13,"[4, 2, 5, 4, 3, 3, 5, 5, 4, 1, 3, 6, 5, 2, 6, 6, 3, 6, 6, 4, 5, 6, 5, 4, 4, 4, 4, 5, 3, 2, 5]",31,4.246
TRANSPLANT,int4,gsm8k,gsm8k_test_14,"[1, 1, 4, 5, 3, 4, 3, 2, 5, 3, 2, 3, 2, 4, 2, 4, 3, 3, 5, 6, 4, 6, 4, 3, 6, 3, 6, 6, 4, 3, 3, 3, 3, 6, 4]",35,4.762
