tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/0,"[6, 2, 6, 6, 3, 4, 3, 5, 2, 2, 4, 4, 4, 3, 4, 1, 1, 6, 6, 6, 6, 3, 3, 6, 4, 5, 6, 5, 5, 6, 6]",31,5.597
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/1,"[5, 2, 4, 2, 1, 3, 6, 6, 6, 6, 4, 6, 1, 2, 3, 2, 4, 3, 4, 2, 2, 4, 6, 3, 4, 4, 2, 3, 5, 5, 3, 6, 3, 4, 3]",35,5.806
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/2,"[6, 3, 6, 5, 4, 4, 2, 2, 3, 3, 4, 3, 2, 2, 4, 2, 3, 4, 2, 3, 4, 6, 2, 6, 3, 5, 2, 2, 4, 4, 1, 4, 2, 4, 6, 4, 3]",37,6.106
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/3,"[6, 3, 5, 4, 4, 5, 4, 3, 4, 4, 4, 3, 6, 6, 5, 2, 5, 3, 3, 3, 2, 1, 4, 5, 4, 6, 6, 2, 4, 2, 4, 4, 4]",33,5.472
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/4,"[6, 3, 6, 6, 3, 2, 3, 5, 2, 3, 6, 4, 4, 5, 4, 2, 3, 2, 3, 6, 5, 4, 4, 2, 4, 4, 6, 6, 6, 2, 6, 4]",32,5.3
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/5,"[6, 3, 4, 6, 6, 2, 3, 2, 6, 2, 3, 4, 5, 2, 1, 2, 3, 3, 3, 2, 4, 3, 6, 6, 4, 6, 4, 4, 4, 5, 2, 4, 4, 5]",34,4.677
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/6,"[6, 3, 1, 1, 3, 4, 6, 4, 4, 6, 3, 1, 3, 2, 3, 1, 2, 4, 4, 2, 2, 4, 2, 5, 3, 2, 2, 2, 3, 3, 2, 2, 4, 3, 4, 4, 2, 2, 3, 3, 4, 3, 3]",43,5.32
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/7,"[6, 3, 4, 4, 4, 5, 4, 4, 5, 3, 4, 3, 3, 4, 2, 3, 4, 3, 3, 3, 4, 5, 6, 6, 3, 5, 6, 4, 4, 2, 4, 5]",32,3.989
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/8,"[6, 3, 4, 6, 4, 3, 3, 4, 3, 6, 4, 3, 3, 4, 6, 3, 3, 4, 3, 6, 3, 1, 4, 3, 6, 2, 6, 6, 6, 4, 6]",31,3.863
CFIN_P2conv_gs_s2,int4,humaneval,HumanEval/9,"[4, 3, 2, 3, 2, 4, 6, 2, 3, 6, 1, 2, 4, 5, 2, 2, 2, 1, 6, 4, 3, 4, 2, 4, 6, 4, 3, 3, 2, 3, 6, 4, 4, 1, 4, 3, 5, 4]",38,4.697
