tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_0,"[2, 2, 2, 1, 2, 1, 3, 1, 2, 1, 1, 1, 4, 2, 2, 2, 1, 3, 1, 3, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 3, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 3, 2, 2]",74,13.005
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_1,"[1, 2, 2, 3, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 3, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 3, 1, 2, 1, 2, 1, 2]",76,12.782
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_2,"[1, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 3, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2]",73,9.982
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_4,"[2, 1, 1, 2, 2, 2, 2, 1, 1, 3, 1, 1, 2, 1, 2, 3, 1, 3, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2]",65,8.533
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_5,"[1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 1, 1, 1, 1, 3, 2, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1]",72,9.361
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_6,"[2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 2, 2, 1, 2, 2, 3, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2]",76,9.839
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_8,"[2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 2, 1, 1, 1, 2, 2, 1, 1, 3, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1, 1, 2, 2, 3]",80,10.347
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_9,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1]",74,9.62
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_10,"[1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2]",73,9.561
CFIN_QH_naive_s0,int4,sharegpt,sharegpt_13,"[1, 2, 2, 2, 2, 3, 2, 1, 2, 2, 3, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]",81,10.471
