tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
JOINT_s2,int4,humaneval,HumanEval/0,"[6, 3, 4, 6, 4, 2, 3, 2, 5, 2, 2, 3, 6, 6, 5, 1, 6, 6, 6, 3, 6, 4, 6, 6, 6, 3, 6, 4, 6]",29,5.568
JOINT_s2,int4,humaneval,HumanEval/1,"[6, 3, 2, 2, 1, 3, 4, 6, 6, 4, 6, 3, 1, 4, 3, 6, 5, 2, 3, 3, 4, 2, 4, 4, 2, 2, 6, 3, 2, 3, 6, 4, 2, 1, 4, 2, 4]",37,5.2
JOINT_s2,int4,humaneval,HumanEval/2,"[6, 2, 3, 6, 4, 6, 1, 4, 4, 5, 4, 2, 6, 4, 4, 2, 3, 5, 4, 4, 6, 3, 1, 2, 2, 1, 3, 4, 6, 3, 1, 5, 6, 6]",34,4.742
JOINT_s2,int4,humaneval,HumanEval/3,"[6, 1, 2, 1, 4, 6, 3, 4, 5, 2, 6, 2, 6, 4, 3, 2, 1, 3, 4, 6, 4, 2, 3, 4, 4, 4, 2, 3, 6, 5, 3, 2, 4, 4, 2, 4, 5]",37,5.226
JOINT_s2,int4,humaneval,HumanEval/4,"[6, 1, 3, 4, 6, 6, 3, 5, 5, 4, 5, 2, 4, 4, 6, 4, 5, 3, 4, 6, 4, 5, 4, 6, 4, 6, 6, 5, 4]",29,4.277
JOINT_s2,int4,humaneval,HumanEval/5,"[4, 3, 2, 1, 6, 6, 5, 4, 6, 3, 3, 4, 6, 2, 2, 3, 5, 3, 5, 3, 5, 6, 4, 4, 4, 4, 6, 5, 4, 1, 3, 4, 3]",33,4.561
JOINT_s2,int4,humaneval,HumanEval/6,"[6, 4, 1, 4, 5, 6, 3, 4, 6, 2, 3, 3, 2, 4, 6, 3, 3, 2, 6, 5, 3, 2, 2, 6, 2, 2, 2, 4, 3, 2, 5, 3, 3, 4, 4, 5]",36,4.944
JOINT_s2,int4,humaneval,HumanEval/7,"[4, 3, 3, 5, 5, 6, 4, 4, 6, 6, 4, 5, 6, 5, 2, 2, 4, 4, 5, 6, 4, 4, 2, 4, 6, 3, 5, 2, 4, 3, 4]",31,4.144
JOINT_s2,int4,humaneval,HumanEval/8,"[4, 3, 2, 1, 4, 6, 3, 3, 5, 5, 6, 4, 4, 6, 4, 3, 3, 6, 3, 6, 3, 5, 3, 5, 3, 5, 6, 5, 4, 4, 5]",31,4.132
JOINT_s2,int4,humaneval,HumanEval/9,"[6, 1, 3, 4, 6, 3, 3, 4, 3, 2, 5, 6, 1, 4, 3, 4, 4, 2, 6, 5, 2, 4, 2, 4, 4, 4, 6, 3, 4, 3, 4, 5, 3, 3, 1, 3]",36,4.834
JOINT_s2,int4,humaneval,HumanEval/10,"[4, 3, 4, 1, 5, 5, 3, 4, 6, 4, 6, 4, 5, 3, 4, 6, 3, 5, 5, 3, 4, 5, 4, 6, 6, 5, 4, 4, 3, 2, 3]",31,4.153
JOINT_s2,int4,humaneval,HumanEval/11,"[4, 3, 2, 1, 4, 6, 5, 4, 6, 3, 3, 4, 4, 6, 4, 1, 2, 2, 2, 2, 6, 4, 4, 4, 3, 3, 4, 4, 4, 3, 4, 5, 5, 2, 2, 2, 4]",37,4.94
JOINT_s2,int4,humaneval,HumanEval/12,"[4, 3, 2, 4, 3, 4, 3, 6, 1, 5, 3, 2, 3, 5, 3, 3, 3, 4, 6, 2, 4, 2, 4, 3, 4, 5, 6, 3, 4, 5, 5, 4, 4, 3, 6]",35,4.646
JOINT_s2,int4,humaneval,HumanEval/13,"[4, 3, 2, 1, 4, 4, 6, 3, 6, 3, 1, 2, 3, 1, 1, 6, 1, 2, 6, 3, 3, 2, 2, 6, 4, 4, 5, 4, 3, 6, 5, 5, 3, 6, 6, 4]",36,4.756
JOINT_s2,int4,humaneval,HumanEval/14,"[6, 1, 3, 3, 3, 6, 6, 3, 6, 4, 5, 1, 3, 6, 5, 4, 1, 3, 2, 2, 4, 2, 5, 6, 6, 3, 6, 4, 4, 4, 2, 6, 1, 3]",34,4.511
JOINT_s2,int4,humaneval,HumanEval/15,"[5, 1, 3, 4, 4, 2, 3, 4, 6, 3, 5, 2, 3, 3, 2, 3, 1, 2, 1, 4, 4, 5, 2, 4, 2, 3, 3, 5, 5, 4, 3, 3, 3, 4, 6, 2, 4, 5]",38,5.064
JOINT_s2,int4,humaneval,HumanEval/16,"[4, 4, 4, 3, 3, 4, 2, 4, 6, 6, 2, 5, 3, 4, 5, 5, 5, 1, 6, 2, 1, 4, 4, 6, 4, 6, 4, 2, 2, 3, 4, 4, 6]",33,4.557
JOINT_s2,int4,humaneval,HumanEval/17,"[5, 1, 4, 4, 6, 5, 4, 6, 2, 6, 4, 6, 5, 6, 3, 4, 4, 1, 5, 3, 4, 4, 3, 6, 3, 6, 6, 4, 4, 3, 4]",31,4.12
JOINT_s2,int4,humaneval,HumanEval/18,"[6, 1, 2, 1, 4, 4, 6, 3, 4, 6, 4, 4, 6, 2, 6, 1, 5, 6, 6, 5, 6, 4, 6, 2, 4, 3, 4, 2, 2, 3, 2, 4, 4]",33,4.39
JOINT_s2,int4,humaneval,HumanEval/19,"[5, 1, 4, 4, 4, 6, 6, 2, 3, 2, 4, 2, 6, 2, 4, 1, 4, 3, 3, 5, 4, 2, 4, 4, 3, 3, 4, 6, 5, 6, 6, 2, 4, 4]",34,6.715
JOINT_s2,int4,humaneval,HumanEval/20,"[4, 3, 6, 4, 6, 6, 4, 2, 3, 4, 5, 3, 2, 4, 4, 3, 4, 4, 4, 6, 1, 2, 2, 5, 4, 4, 3, 2, 2, 4, 4, 4, 4, 5, 5]",35,5.755
JOINT_s2,int4,humaneval,HumanEval/21,"[6, 2, 4, 6, 6, 6, 5, 4, 5, 6, 6, 3, 5, 4, 6, 6, 2, 6, 6, 6, 6, 3, 6, 4, 6, 6]",26,3.578
JOINT_s2,int4,humaneval,HumanEval/22,"[4, 3, 4, 3, 3, 4, 6, 4, 5, 3, 4, 4, 4, 5, 4, 5, 4, 6, 6, 4, 5, 3, 6, 4, 4, 6, 5, 4, 3, 6]",30,4.083
JOINT_s2,int4,humaneval,HumanEval/23,"[5, 2, 3, 5, 4, 5, 3, 6, 3, 6, 2, 6, 3, 4, 3, 2, 2, 3, 2, 6, 4, 3, 2, 2, 5, 5, 2, 4, 4, 3, 4, 4, 6, 6]",34,4.6
JOINT_s2,int4,humaneval,HumanEval/24,"[6, 1, 3, 3, 4, 2, 4, 6, 4, 4, 6, 2, 4, 5, 6, 5, 4, 4, 5, 3, 6, 6, 4, 6, 2, 4, 3, 5, 6, 4, 2]",31,4.185
JOINT_s2,int4,humaneval,HumanEval/25,"[4, 2, 3, 2, 2, 5, 3, 5, 4, 6, 3, 3, 4, 2, 4, 2, 4, 3, 5, 6, 5, 2, 4, 4, 3, 4, 5, 6, 5, 4, 5, 4, 4, 4]",34,5.47
JOINT_s2,int4,humaneval,HumanEval/26,"[4, 3, 5, 4, 4, 6, 3, 4, 6, 1, 4, 2, 1, 6, 4, 2, 3, 4, 3, 5, 4, 4, 4, 6, 4, 2, 4, 6, 2, 6, 6, 6]",32,4.302
JOINT_s2,int4,humaneval,HumanEval/27,"[4, 2, 2, 1, 4, 6, 3, 6, 1, 6, 6, 4, 6, 5, 4, 4, 6, 2, 2, 3, 4, 3, 2, 4, 3, 4, 3, 6, 1, 1, 2, 3, 4, 2, 4, 4, 4]",37,4.816
