tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/0,"[4, 3, 5, 6, 4, 3, 3, 4, 4, 1, 2, 3, 6, 4, 2, 5, 1, 5, 6, 5, 4, 4, 3, 3, 6, 6, 4, 6, 6, 4, 5, 4]",32,4.424
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/1,"[4, 4, 2, 2, 2, 2, 6, 4, 6, 6, 2, 4, 5, 3, 4, 5, 4, 1, 4, 2, 1, 1, 6, 3, 4, 4, 5, 4, 6, 5, 2, 3, 5, 1, 6]",35,4.419
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/2,"[4, 5, 4, 6, 4, 5, 2, 5, 6, 2, 3, 6, 4, 4, 2, 2, 4, 4, 3, 4, 4, 3, 2, 3, 2, 2, 4, 4, 4, 2, 4, 4, 4, 4, 2, 5]",36,4.516
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/3,"[5, 4, 3, 3, 4, 4, 4, 6, 1, 3, 4, 6, 4, 4, 4, 4, 3, 4, 2, 2, 5, 6, 5, 2, 3, 3, 1, 4, 2, 4, 4, 3, 5, 4, 4]",35,4.398
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/4,"[5, 4, 3, 3, 6, 4, 4, 5, 5, 5, 4, 2, 4, 5, 5, 5, 4, 3, 5, 5, 4, 4, 4, 1, 2, 6, 6, 6, 6, 3]",30,3.777
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/5,"[5, 4, 3, 6, 6, 3, 4, 6, 3, 4, 3, 6, 6, 1, 1, 5, 3, 3, 3, 6, 4, 6, 3, 5, 2, 4, 4, 4, 1, 2, 1, 2, 3, 4, 2]",35,4.414
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/6,"[4, 3, 2, 2, 3, 6, 6, 5, 5, 4, 1, 5, 3, 2, 3, 2, 5, 3, 2, 4, 3, 2, 4, 4, 6, 2, 3, 3, 2, 1, 2, 2, 3, 5, 3, 3, 2, 3, 6]",39,4.887
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/7,"[5, 2, 2, 3, 3, 6, 5, 6, 2, 4, 6, 3, 5, 2, 3, 4, 5, 2, 4, 2, 3, 6, 6, 4, 6, 4, 4, 6, 4, 2, 3, 3, 3]",33,4.154
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/8,"[4, 4, 2, 6, 6, 4, 5, 6, 4, 4, 4, 4, 4, 5, 2, 2, 3, 4, 3, 6, 3, 5, 3, 6, 4, 3, 6, 6, 4, 4, 6]",31,3.875
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/9,"[5, 4, 1, 2, 2, 4, 6, 6, 5, 1, 4, 3, 4, 3, 2, 2, 4, 2, 4, 2, 3, 3, 5, 3, 2, 3, 2, 3, 4, 5, 2, 6, 4, 4, 3, 3, 2, 6]",38,4.77
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/10,"[5, 2, 2, 1, 4, 3, 6, 6, 4, 4, 3, 4, 5, 4, 3, 6, 1, 5, 4, 3, 4, 4, 6, 4, 4, 4, 4, 2, 3, 2, 1, 2, 3, 4, 4, 3]",36,4.52
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/11,"[5, 3, 2, 4, 6, 4, 4, 2, 4, 4, 3, 3, 6, 4, 2, 3, 4, 4, 6, 3, 3, 1, 4, 3, 6, 2, 5, 3, 5, 3, 2, 4, 2, 3, 3, 1, 1, 6]",38,4.723
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/12,"[5, 2, 2, 2, 6, 4, 4, 6, 2, 5, 2, 3, 3, 5, 3, 2, 5, 4, 5, 2, 2, 4, 3, 2, 5, 6, 5, 2, 5, 2, 4, 4, 2, 4, 4, 4]",36,4.491
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/13,"[5, 3, 2, 4, 1, 6, 6, 4, 5, 1, 2, 3, 1, 1, 2, 2, 5, 1, 2, 3, 3, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 4, 2, 3, 3, 4, 1, 6, 5, 5]",40,4.986
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/14,"[5, 2, 2, 2, 4, 6, 4, 6, 1, 4, 3, 2, 3, 4, 2, 2, 4, 4, 4, 5, 5, 1, 3, 2, 3, 4, 1, 2, 3, 6, 5, 5, 4, 6, 5, 3, 4]",37,4.607
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/15,"[4, 2, 2, 1, 4, 4, 3, 5, 6, 4, 4, 1, 1, 2, 3, 4, 3, 1, 4, 3, 3, 5, 1, 2, 2, 5, 4, 4, 3, 6, 6, 4, 4, 3, 6, 4, 6]",37,4.55
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/16,"[4, 6, 3, 6, 1, 4, 6, 5, 3, 5, 3, 3, 5, 6, 4, 2, 6, 3, 3, 4, 2, 6, 3, 6, 5, 4, 2, 3, 1, 4, 6, 5]",32,3.934
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/17,"[3, 4, 3, 4, 6, 5, 6, 4, 2, 6, 4, 6, 5, 6, 3, 4, 3, 4, 3, 5, 4, 5, 4, 3, 4, 5, 5, 3, 3, 3, 4]",31,3.812
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/18,"[5, 2, 3, 4, 3, 6, 3, 4, 4, 4, 6, 4, 4, 2, 4, 1, 3, 4, 6, 3, 6, 3, 6, 4, 5, 1, 4, 3, 5, 3, 3, 4, 3, 2, 5]",35,4.347
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/19,"[6, 2, 2, 3, 4, 6, 4, 5, 2, 5, 5, 2, 6, 4, 5, 3, 4, 2, 4, 3, 3, 2, 3, 5, 2, 5, 4, 6, 5, 5, 2, 3, 2, 4]",34,4.286
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/20,"[4, 3, 2, 4, 4, 5, 6, 6, 3, 2, 4, 6, 2, 2, 1, 4, 6, 2, 5, 3, 1, 2, 4, 5, 3, 3, 4, 4, 2, 3, 2, 2, 4, 5, 4, 3, 4]",37,4.591
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/21,"[4, 4, 4, 6, 6, 6, 5, 3, 3, 6, 4, 5, 3, 4, 4, 4, 3, 6, 3, 6, 5, 6, 4, 5, 6, 4, 5, 4]",28,3.541
CFIN_QH_lsr5_s0,int4,humaneval,HumanEval/22,"[5, 2, 2, 3, 2, 3, 4, 6, 4, 6, 4, 2, 2, 3, 2, 3, 3, 1, 3, 6, 5, 2, 4, 4, 3, 4, 3, 2, 3, 3, 4, 2, 2, 4, 4, 4, 3, 2, 4]",39,4.884
