tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_0,"[5, 5, 4, 4, 5, 6, 4, 6, 5, 2, 3, 4, 1, 4, 4, 3, 4, 4, 4, 1, 1, 3, 3, 3, 6, 5, 2, 4, 5, 2, 6, 2, 1, 5, 4]",35,6.407
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_1,"[4, 4, 5, 4, 3, 3, 4, 5, 1, 3, 2, 4, 4, 3, 3, 3, 3, 5, 3, 2, 1, 3, 3, 4, 3, 3, 1, 5, 1, 1, 2, 1, 5, 2, 3, 3, 2, 6, 1, 4, 4, 1, 3]",43,7.231
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_2,"[6, 5, 3, 3, 3, 6, 4, 5, 4, 4, 4, 1, 2, 1, 4, 3, 1, 2, 3, 3, 4, 2, 3, 2, 5, 2, 3, 6, 4, 3, 3, 1, 4, 4, 6, 1, 5, 6]",38,6.438
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_4,"[2, 2, 4, 5, 4, 2, 4, 4, 3, 2, 4, 1, 2, 4, 1, 5, 3, 2, 3, 1, 2, 3, 1, 5, 2, 5, 3, 4, 2, 1, 5, 1, 5, 6, 6, 4, 5, 6, 4]",39,6.44
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_5,"[3, 4, 3, 3, 1, 4, 2, 6, 1, 3, 3, 6, 2, 4, 6, 5, 4, 2, 3, 4, 4, 2, 3, 2, 3, 4, 2, 5, 3, 3, 2, 1, 6, 1, 4, 3, 3, 3, 6]",39,6.453
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_6,"[6, 6, 5, 2, 4, 4, 3, 3, 6, 2, 3, 3, 4, 1, 4, 3, 3, 2, 4, 1, 3, 3, 3, 2, 4, 3, 4, 2, 4, 4, 4, 2, 4, 4, 2, 5, 2, 6]",38,6.202
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_8,"[3, 3, 3, 6, 1, 3, 3, 4, 4, 1, 3, 1, 5, 5, 2, 4, 3, 3, 1, 1, 1, 2, 2, 1, 1, 1, 4, 3, 2, 3, 2, 4, 2, 2, 2, 3, 4, 3, 1, 1, 4, 3, 4, 4, 3, 4, 4]",47,7.336
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_9,"[6, 6, 4, 6, 4, 6, 1, 4, 4, 3, 6, 1, 2, 3, 2, 3, 3, 5, 3, 4, 4, 3, 3, 4, 3, 4, 3, 5, 2, 6, 5, 4, 4, 4]",34,5.763
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_10,"[4, 4, 4, 4, 6, 4, 3, 3, 2, 2, 1, 2, 4, 3, 2, 3, 2, 2, 3, 4, 3, 3, 3, 5, 2, 2, 4, 6, 2, 6, 3, 6, 6, 4, 1, 2, 6, 2]",38,6.417
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_13,"[4, 4, 3, 3, 6, 2, 5, 2, 2, 2, 2, 4, 5, 3, 5, 3, 1, 1, 1, 5, 4, 4, 2, 2, 3, 4, 1, 3, 3, 5, 4, 3, 3, 2, 1, 1, 2, 1, 2, 1, 2, 1, 3, 1, 1, 3, 2, 4]",48,8.193
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_15,"[6, 6, 2, 3, 5, 3, 4, 2, 4, 5, 4, 5, 4, 4, 5, 4, 4, 2, 4, 2, 5, 4, 2, 6, 3, 2, 3, 1, 2, 4, 2, 4, 1, 1, 2, 2, 5, 1]",38,6.425
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_16,"[1, 1, 4, 3, 3]",5,0.957
CFIN_T6hybrid_gsr5_s1,int4,sharegpt,sharegpt_19,"[3, 3, 5, 3, 3, 3, 5, 3, 5, 6, 4, 3, 4, 6, 6, 3, 2, 6, 4, 1, 4, 3, 2, 3, 4, 6, 4, 3, 6, 4, 1, 3, 4, 3]",34,5.625
