tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_0,"[4, 4, 4, 5, 2, 4, 6, 4, 5, 6, 3, 2, 4, 4, 4, 2, 3, 4, 4, 2, 3, 2, 4, 3, 6, 2, 4, 4, 2, 2, 3, 3, 4, 2, 4, 6]",36,6.44
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_1,"[3, 6, 4, 4, 1, 4, 6, 6, 4, 4, 6, 3, 1, 4, 2, 4, 3, 1, 3, 4, 1, 4, 2, 5, 2, 4, 4, 4, 3, 3, 2, 4, 3, 4, 1, 3, 3, 4]",38,6.393
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_2,"[6, 5, 3, 3, 3, 6, 6, 3, 4, 4, 5, 2, 1, 4, 3, 3, 3, 3, 4, 2, 1, 4, 5, 4, 4, 5, 1, 4, 6, 3, 4, 4, 3, 4, 6]",35,5.844
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_4,"[2, 2, 5, 4, 3, 3, 1, 3, 4, 3, 2, 4, 2, 1, 4, 2, 4, 5, 4, 1, 2, 3, 4, 4, 2, 1, 2, 3, 6, 2, 4, 6, 2, 5, 3, 1, 1, 3, 6, 3, 6]",41,6.84
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_5,"[3, 4, 2, 4, 5, 6, 2, 3, 2, 6, 3, 3, 3, 6, 2, 5, 3, 1, 2, 4, 3, 1, 4, 2, 3, 4, 5, 1, 2, 3, 2, 2, 4, 6, 5, 4, 2, 2, 6]",39,5.832
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_6,"[5, 6, 4, 4, 4, 4, 3, 3, 6, 1, 3, 4, 4, 2, 1, 1, 3, 4, 5, 1, 2, 2, 3, 3, 4, 1, 2, 4, 2, 4, 3, 2, 1, 4, 1, 2, 6, 2, 3, 1, 1, 1, 3, 4]",44,5.562
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_8,"[1, 4, 4, 4, 3, 6, 4, 1, 4, 4, 2, 2, 3, 1, 4, 2, 1, 4, 5, 3, 2, 3, 1, 2, 1, 4, 3, 1, 4, 3, 4, 2, 6, 5, 6, 3, 6, 4, 3, 6]",40,5.069
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_9,"[6, 6, 4, 5, 2, 3, 5, 5, 4, 3, 5, 1, 2, 2, 2, 4, 2, 2, 2, 2, 4, 4, 4, 3, 6, 2, 6, 1, 2, 2, 5, 3, 2, 5, 3, 1, 3, 2, 1, 6]",40,5.066
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_10,"[4, 4, 4, 4, 4, 5, 4, 3, 4, 1, 2, 4, 3, 4, 3, 3, 3, 3, 1, 2, 3, 3, 3, 4, 4, 3, 1, 3, 3, 5, 3, 3, 6, 2, 1, 4, 4, 2, 1, 3, 2]",41,5.238
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_13,"[6, 5, 3, 4, 4, 4, 5, 3, 2, 1, 5, 2, 3, 4, 4, 4, 5, 4, 1, 3, 3, 3, 6, 6, 3, 2, 2, 4, 4, 1, 2, 4, 5, 4, 3, 4]",36,4.573
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_15,"[6, 5, 3, 4, 4, 4, 3, 2, 6, 4, 3, 5, 4, 5, 3, 6, 3, 4, 3, 4, 4, 2, 4, 4, 2, 5, 4, 4, 1, 6, 3, 3, 5]",33,4.258
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_16,"[1, 1, 4, 3, 3]",5,0.747
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_19,"[3, 3, 4, 1, 3, 4, 2, 5, 3, 4, 1, 2, 5, 1, 3, 6, 6, 4, 6, 2, 3, 2, 3, 3, 3, 4, 2, 2, 1, 2, 2, 2, 3, 3, 3, 3, 2, 2, 5, 5, 1, 5]",42,5.363
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_23,"[6, 6, 2, 1, 5, 3, 4, 4, 3, 3, 6, 3, 4, 6, 3, 2, 3, 2, 2, 2, 3, 3, 2, 3, 1, 3, 4, 4, 4, 2, 3, 4, 3, 2, 3, 3, 3, 4, 5]",39,4.997
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_24,"[6, 6, 2, 1, 5, 3, 2, 3, 3, 2, 4, 4, 6, 2, 6, 4, 3, 3, 3, 3, 6, 6, 3, 6, 2, 6, 4, 6, 4, 3, 3, 4, 3, 4]",34,4.338
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_25,"[3, 4, 2, 4, 3, 4, 4, 4, 3, 4, 5, 3, 3, 3, 6, 4, 4, 2, 3, 6, 2, 2, 4, 4, 4, 3, 5, 4, 4, 2, 3, 4, 6, 3, 6]",35,4.509
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_26,"[6, 6, 4, 1, 2, 5, 4, 4, 4, 4, 3, 2, 3, 4, 1, 2, 4, 3, 1, 4, 1, 2, 6, 5, 5, 4, 5, 4, 6, 3, 2, 1, 4, 2, 3, 1, 4, 3]",38,4.819
CFIN_T6hybrid_ls_s2,int4,sharegpt,sharegpt_28,"[6, 5, 3, 3, 4, 3, 4, 2, 5, 4, 3, 1, 2, 1, 4, 3, 2, 4, 3, 3, 3, 4, 3, 1, 2, 1, 4, 3, 3, 4, 3, 3, 2, 2, 4, 2, 5, 4, 2, 4, 3, 3]",42,5.352
