tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_0,"[5, 5, 4, 3, 4, 3, 5, 4, 6, 5, 2, 4, 3, 4, 4, 3, 5, 4, 3, 3, 3, 6, 3, 2, 5, 2, 1, 5, 3, 6, 2, 6, 4, 4]",34,6.224
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_1,"[4, 4, 4, 5, 1, 5, 4, 6, 3, 5, 6, 3, 2, 2, 1, 6, 4, 2, 2, 2, 1, 2, 5, 2, 1, 3, 3, 4, 3, 3, 5, 6, 5, 4, 2, 3, 2, 2, 4]",39,6.686
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_2,"[6, 5, 3, 3, 1, 4, 4, 6, 3, 6, 4, 3, 2, 1, 2, 5, 5, 3, 2, 3, 3, 2, 4, 1, 6, 5, 1, 4, 6, 5, 4, 4, 4, 4, 4]",35,6.007
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_4,"[2, 6, 5, 4, 2, 2, 2, 5, 2, 4, 3, 2, 2, 6, 2, 4, 4, 6, 1, 4, 5, 2, 4, 2, 6, 4, 4, 3, 4, 4, 5, 4, 4, 2, 1, 1, 1, 2, 6]",39,6.652
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_5,"[4, 4, 5, 5, 2, 5, 1, 3, 4, 5, 1, 4, 3, 6, 3, 5, 4, 4, 3, 3, 1, 4, 4, 5, 2, 1, 2, 4, 5, 4, 2, 3, 6, 4, 3, 4]",36,6.106
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_6,"[6, 6, 5, 2, 4, 4, 3, 3, 6, 2, 4, 2, 3, 3, 1, 5, 4, 1, 4, 2, 5, 2, 2, 4, 4, 2, 3, 3, 4, 2, 2, 2, 5, 5, 6, 3, 2, 3]",38,5.269
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_8,"[3, 4, 3, 5, 3, 1, 3, 2, 4, 2, 4, 1, 5, 5, 2, 4, 3, 2, 1, 3, 2, 3, 1, 6, 1, 4, 2, 6, 5, 4, 2, 2, 3, 3, 6, 3, 1, 4, 6, 6]",40,5.287
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_9,"[6, 6, 2, 6, 3, 3, 6, 3, 1, 5, 4, 5, 1, 2, 3, 2, 3, 4, 4, 3, 5, 5, 1, 3, 4, 6, 4, 2, 6, 2, 3, 4, 5, 5, 6]",35,4.659
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_10,"[4, 4, 4, 3, 3, 6, 6, 5, 6, 4, 2, 4, 1, 2, 3, 2, 2, 2, 5, 3, 4, 4, 6, 5, 3, 6, 6, 3, 2, 1, 5, 6, 3, 3]",34,4.553
CFIN_T6hybrid_gs_s2,int4,sharegpt,sharegpt_13,"[6, 5, 3, 6, 2, 5, 4, 2, 2, 4, 6, 3, 6, 3, 3, 4, 2, 3, 6, 1, 1, 1, 2, 3, 3, 2, 2, 2, 5, 1, 1, 3, 4, 4, 6, 1, 5, 4, 3]",39,5.116
