tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/0,"[5, 2, 5, 6, 4, 3, 4, 6, 2, 3, 6, 6, 2, 5, 1, 6, 6, 6, 3, 3, 3, 3, 6, 6, 4, 6, 6, 5, 4, 2]",30,4.422
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/1,"[3, 3, 4, 2, 2, 2, 6, 4, 6, 6, 2, 3, 5, 4, 2, 4, 3, 5, 4, 2, 1, 1, 6, 3, 2, 2, 4, 5, 4, 6, 5, 2, 3, 6, 4, 4]",36,4.741
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/2,"[4, 3, 5, 6, 3, 6, 3, 2, 5, 5, 3, 2, 2, 5, 4, 4, 2, 2, 4, 5, 4, 4, 4, 1, 4, 2, 3, 3, 3, 3, 5, 6, 5, 3, 6]",35,4.539
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/3,"[3, 3, 3, 3, 3, 5, 4, 4, 6, 3, 4, 6, 4, 3, 6, 6, 2, 4, 1, 4, 3, 3, 3, 4, 2, 3, 1, 3, 3, 3, 4, 2, 4, 4, 5, 1, 4]",37,4.768
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/4,"[5, 4, 3, 3, 4, 4, 4, 6, 1, 6, 3, 5, 2, 4, 5, 5, 6, 3, 4, 5, 4, 3, 5, 5, 3, 5, 6, 6, 6, 3]",30,3.859
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/5,"[3, 3, 3, 3, 4, 6, 5, 5, 6, 2, 4, 3, 6, 4, 3, 1, 5, 3, 3, 3, 6, 6, 4, 3, 5, 4, 5, 5, 2, 1, 2, 4, 2, 1, 2, 3]",36,5.41
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/6,"[4, 4, 2, 1, 3, 6, 6, 2, 4, 4, 4, 3, 2, 2, 2, 1, 3, 3, 6, 2, 2, 2, 3, 2, 2, 2, 6, 4, 3, 1, 4, 4, 3, 4, 2, 4, 2, 6, 3, 4, 1]",41,6.568
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/7,"[4, 4, 2, 4, 4, 5, 6, 4, 3, 6, 4, 3, 3, 2, 3, 4, 5, 2, 2, 4, 3, 6, 6, 5, 4, 5, 4, 6, 5, 4, 3, 3]",32,3.936
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/8,"[4, 4, 2, 6, 5, 4, 4, 2, 6, 4, 3, 3, 3, 5, 4, 4, 3, 1, 6, 3, 6, 3, 2, 3, 3, 5, 3, 5, 5, 5, 3, 4, 5]",33,4.085
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/9,"[4, 4, 1, 1, 4, 4, 4, 5, 6, 3, 4, 3, 4, 3, 2, 1, 3, 4, 1, 4, 1, 4, 4, 3, 4, 3, 4, 5, 4, 4, 6, 1, 5, 4, 6, 3, 3]",37,4.567
CFIN_QH_gsr5_s0,int4,humaneval,HumanEval/10,"[4, 3, 4, 1, 4, 6, 4, 6, 4, 3, 5, 5, 4, 4, 3, 6, 3, 5, 5, 3, 6, 6, 6, 4, 5, 4, 4, 2, 4, 2, 3]",31,3.818
