tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_0,"[4, 4, 6, 4, 4, 5, 2, 4, 5, 6, 4, 4, 1, 4, 2, 4, 5, 1, 1, 4, 1, 2, 1, 3, 2, 6, 5, 3, 6, 5, 2, 5, 4, 3, 5, 3]",36,6.472
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_1,"[6, 5, 4, 5, 3, 6, 6, 1, 2, 3, 3, 5, 2, 3, 2, 6, 3, 1, 3, 2, 3, 2, 5, 2, 4, 1, 3, 1, 4, 3, 3, 2, 4, 1, 6, 3, 6, 3, 2]",39,6.555
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_2,"[6, 6, 2, 3, 3, 6, 6, 3, 3, 4, 4, 4, 1, 2, 2, 2, 4, 5, 5, 2, 4, 4, 2, 3, 3, 2, 2, 3, 5, 4, 4, 2, 4, 1, 4, 5, 1, 3]",38,6.355
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_4,"[1, 2, 5, 4, 3, 4, 3, 1, 4, 3, 2, 4, 2, 3, 3, 4, 4, 4, 2, 3, 3, 4, 6, 3, 3, 4, 4, 3, 5, 1, 3, 2, 2, 4, 4, 2, 6, 1, 4, 6]",40,6.659
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_5,"[3, 4, 2, 5, 4, 2, 6, 1, 3, 3, 2, 6, 3, 4, 2, 2, 4, 1, 3, 4, 4, 3, 2, 2, 4, 4, 4, 4, 3, 4, 3, 1, 4, 6, 4, 6, 2, 3, 2]",39,6.22
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_6,"[6, 6, 5, 2, 4, 5, 5, 6, 2, 4, 2, 3, 4, 2, 2, 4, 2, 3, 3, 3, 1, 1, 2, 2, 5, 6, 4, 1, 5, 3, 4, 4, 4, 3, 5, 2, 4]",37,4.668
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_8,"[5, 4, 6, 4, 3, 4, 4, 4, 1, 4, 1, 4, 2, 1, 4, 3, 2, 1, 4, 3, 2, 5, 4, 3, 1, 4, 1, 1, 3, 4, 3, 2, 6, 3, 3, 3, 4, 6, 4, 4]",40,5.045
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_9,"[6, 6, 4, 5, 4, 6, 2, 4, 4, 3, 5, 2, 2, 3, 3, 3, 4, 3, 6, 3, 1, 3, 4, 4, 3, 3, 5, 5, 6, 4, 2, 1, 2, 5, 1, 4]",36,4.541
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_10,"[4, 4, 4, 3, 4, 6, 4, 3, 3, 2, 2, 4, 2, 2, 3, 2, 6, 5, 3, 1, 2, 4, 1, 4, 2, 2, 3, 2, 6, 4, 1, 4, 1, 2, 2, 3, 3, 4, 4, 3, 2, 4]",42,5.281
FIN_HB_B_hybrid_b0.0025_s0_st3000__sharegpt,int4,sharegpt,sharegpt_13,"[6, 4, 2, 2, 4, 4, 5, 4, 3, 2, 2, 4, 2, 3, 4, 6, 4, 1, 4, 3, 3, 3, 3, 1, 3, 2, 3, 2, 3, 4, 1, 3, 3, 1, 1, 1, 2, 1, 4, 3, 3, 4, 2, 1, 2]",45,5.662
