tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_0,"[5, 5, 3, 3, 3, 5, 4, 5, 4, 6, 1, 2, 3, 6, 3, 3, 2, 6, 4, 2, 3, 3, 5, 4, 5, 6, 4, 5, 4, 2, 3, 4, 5]",33,6.973
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_1,"[3, 6, 3, 4, 1, 1, 4, 6, 6, 2, 4, 3, 4, 4, 1, 3, 3, 3, 4, 3, 3, 2, 3, 2, 3, 6, 5, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 2, 3, 2, 4, 4, 3, 6]",45,8.739
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_2,"[6, 5, 3, 3, 1, 4, 4, 3, 4, 2, 3, 4, 4, 4, 1, 4, 3, 3, 3, 4, 1, 4, 6, 4, 3, 2, 4, 4, 2, 3, 1, 2, 4, 4, 4, 2, 6, 2, 5]",39,7.486
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_4,"[1, 3, 4, 4, 4, 3, 2, 2, 6, 1, 2, 5, 1, 3, 3, 6, 6, 2, 3, 3, 4, 6, 1, 3, 2, 4, 6, 2, 3, 3, 4, 3, 2, 4, 3, 4, 6, 1, 2, 3]",40,8.996
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_5,"[3, 4, 6, 4, 1, 4, 3, 3, 3, 4, 5, 4, 1, 3, 4, 4, 1, 4, 3, 4, 3, 5, 2, 2, 3, 3, 2, 4, 2, 4, 5, 4, 5, 2, 1, 6, 2, 4, 1]",39,7.433
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_6,"[6, 6, 3, 4, 4, 4, 3, 3, 4, 4, 1, 5, 3, 3, 1, 2, 1, 3, 3, 2, 2, 3, 5, 4, 3, 3, 2, 2, 1, 2, 4, 2, 4, 3, 2, 4, 4, 6, 1, 4, 3]",41,7.791
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_8,"[4, 5, 4, 6, 4, 4, 3, 6, 4, 2, 4, 3, 1, 4, 3, 2, 4, 1, 3, 2, 1, 1, 4, 3, 1, 4, 3, 2, 1, 3, 3, 5, 1, 5, 4, 4, 4, 2, 3, 4, 5]",41,7.356
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_9,"[6, 6, 4, 5, 4, 5, 3, 3, 3, 4, 2, 2, 1, 3, 2, 1, 3, 3, 2, 3, 3, 3, 2, 3, 1, 1, 4, 5, 2, 4, 3, 2, 3, 3, 3, 3, 1, 4, 3, 3, 5, 3]",42,5.098
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_10,"[4, 4, 4, 6, 6, 5, 3, 3, 2, 2, 3, 2, 4, 3, 2, 4, 4, 2, 3, 3, 5, 4, 3, 4, 4, 2, 3, 3, 4, 5, 6, 1, 2, 5, 3, 3, 2]",37,4.551
CFIN_P2hybrid_gs_s2,int4,sharegpt,sharegpt_13,"[4, 6, 1, 3, 3, 3, 2, 4, 4, 2, 2, 2, 3, 4, 3, 3, 3, 5, 4, 2, 3, 2, 2, 4, 4, 1, 1, 1, 1, 4, 2, 2, 3, 1, 4, 1, 1, 2, 2, 3, 1, 1, 1, 4, 4, 2, 4, 3, 2]",49,5.899
