tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/0,"[4, 4, 3, 6, 4, 2, 2, 4, 5, 1, 2, 2, 4, 4, 6, 4, 2, 4, 3, 5, 6, 4, 6, 3, 6, 4, 5, 6, 6, 5, 4, 4]",32,5.664
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/1,"[6, 3, 3, 2, 4, 4, 5, 6, 4, 3, 4, 3, 3, 5, 2, 3, 3, 4, 4, 3, 4, 4, 2, 3, 6, 2, 4, 4, 1, 2, 1, 2, 4, 4, 5, 4, 1, 4]",38,6.255
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/2,"[6, 2, 3, 6, 4, 2, 5, 3, 3, 4, 3, 2, 2, 5, 2, 4, 3, 2, 1, 4, 5, 3, 4, 3, 4, 6, 6, 6, 4, 4, 4, 5, 4, 4]",34,5.607
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/3,"[6, 3, 6, 5, 6, 4, 3, 3, 2, 1, 3, 4, 6, 5, 2, 3, 2, 4, 2, 5, 4, 2, 3, 3, 3, 2, 6, 2, 3, 1, 4, 6, 4, 4, 4, 4]",36,5.912
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/4,"[6, 1, 2, 4, 6, 4, 3, 3, 4, 1, 5, 4, 5, 2, 4, 3, 3, 4, 5, 2, 3, 2, 5, 5, 4, 3, 4, 2, 6, 1, 2, 5, 6, 4, 4, 3]",36,5.901
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/5,"[6, 3, 4, 4, 5, 5, 5, 4, 4, 4, 3, 5, 3, 2, 3, 4, 2, 2, 4, 3, 6, 3, 4, 3, 3, 5, 4, 6, 5, 4, 2, 2, 2, 3, 5]",35,5.741
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/6,"[4, 3, 2, 2, 3, 6, 4, 4, 3, 2, 3, 4, 2, 1, 5, 2, 2, 4, 5, 3, 3, 2, 5, 4, 2, 3, 2, 2, 2, 5, 2, 2, 1, 4, 3, 4, 1, 2, 2, 1, 2, 4, 6]",43,5.61
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/7,"[4, 3, 2, 4, 4, 4, 5, 3, 5, 4, 5, 2, 2, 6, 3, 5, 6, 5, 5, 6, 6, 3, 4, 3, 4, 4, 5, 6, 1, 3, 5, 4]",32,3.953
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/8,"[4, 2, 3, 1, 4, 6, 4, 2, 4, 5, 1, 6, 2, 2, 2, 4, 6, 3, 4, 6, 4, 6, 3, 4, 4, 5, 4, 4, 3, 6, 4, 4, 6]",33,4.038
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/9,"[4, 3, 2, 3, 2, 4, 5, 4, 2, 4, 2, 1, 6, 6, 2, 3, 3, 4, 2, 3, 2, 4, 3, 4, 4, 3, 4, 3, 1, 3, 3, 3, 6, 1, 5, 2, 2, 4, 4, 3]",40,4.906
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/10,"[4, 3, 3, 2, 4, 6, 4, 6, 3, 4, 5, 5, 4, 4, 4, 5, 2, 1, 5, 2, 6, 4, 6, 3, 4, 4, 3, 5, 3, 3, 3, 4, 3, 4]",34,4.194
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/11,"[6, 3, 5, 6, 3, 4, 4, 2, 1, 5, 2, 4, 2, 2, 5, 4, 1, 2, 3, 1, 1, 3, 2, 5, 5, 6, 4, 3, 2, 3, 2, 2, 6, 4, 3, 4, 4, 3, 5]",39,4.819
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/12,"[4, 3, 1, 1, 4, 3, 3, 4, 4, 3, 5, 5, 3, 5, 3, 5, 4, 2, 5, 6, 1, 4, 5, 3, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3]",36,4.411
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/13,"[4, 3, 2, 5, 6, 4, 4, 4, 4, 1, 2, 4, 6, 1, 4, 2, 2, 2, 3, 3, 3, 4, 2, 6, 4, 3, 2, 3, 4, 3, 3, 6, 5, 2, 2, 5, 2, 4]",38,4.656
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/14,"[4, 3, 2, 1, 3, 6, 4, 6, 4, 3, 4, 3, 4, 3, 5, 2, 2, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 6, 3, 4, 3, 4, 5, 1, 2, 3, 2, 3]",38,4.647
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/15,"[4, 2, 2, 1, 3, 2, 3, 2, 1, 5, 6, 4, 5, 1, 4, 2, 6, 1, 3, 3, 5, 3, 3, 4, 3, 2, 3, 5, 4, 1, 5, 2, 3, 4, 4, 2, 3, 3, 1, 5, 4]",41,5.011
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/16,"[5, 6, 4, 4, 2, 5, 6, 4, 3, 5, 1, 3, 4, 4, 5, 4, 3, 5, 2, 4, 4, 5, 3, 4, 3, 6, 3, 3, 4, 3, 2, 2, 5, 2]",34,4.185
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/17,"[5, 1, 2, 2, 4, 6, 4, 2, 4, 4, 4, 4, 3, 3, 4, 4, 5, 3, 6, 1, 3, 4, 4, 4, 4, 4, 3, 5, 4, 6, 5, 1, 5, 1, 1, 4]",36,4.443
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/18,"[6, 2, 1, 5, 3, 6, 3, 4, 6, 2, 4, 4, 6, 2, 5, 6, 6, 4, 6, 3, 6, 3, 6, 1, 4, 3, 5, 3, 2, 4, 2, 4, 3]",33,4.06
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/19,"[4, 2, 2, 2, 3, 4, 6, 4, 5, 3, 4, 4, 6, 2, 4, 2, 4, 3, 2, 3, 4, 4, 4, 2, 4, 1, 1, 2, 4, 5, 5, 6, 4, 4, 5, 3, 4]",37,4.589
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/20,"[6, 1, 2, 4, 4, 6, 6, 4, 3, 2, 3, 6, 1, 2, 5, 4, 5, 2, 3, 2, 3, 4, 2, 3, 5, 1, 6, 2, 5, 6, 6, 6, 4, 4]",34,4.161
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/21,"[5, 2, 3, 4, 6, 2, 3, 3, 4, 3, 3, 2, 6, 5, 4, 5, 4, 4, 4, 2, 6, 3, 2, 3, 6, 6, 4, 4, 4, 5, 6, 5]",32,3.945
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/22,"[6, 2, 1, 4, 2, 2, 4, 6, 3, 2, 3, 4, 3, 3, 4, 4, 6, 4, 3, 6, 4, 4, 4, 6, 2, 2, 1, 3, 5, 6, 6, 6, 3, 4]",34,4.219
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/23,"[4, 2, 3, 1, 4, 6, 5, 4, 5, 4, 3, 3, 3, 4, 4, 4, 4, 2, 3, 4, 4, 4, 3, 4, 2, 2, 5, 5, 4, 3, 5, 5, 4, 4, 4]",35,4.409
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/24,"[4, 3, 2, 1, 4, 5, 6, 6, 1, 4, 6, 5, 4, 6, 6, 1, 1, 3, 1, 6, 5, 3, 2, 2, 2, 2, 2, 5, 6, 4, 4, 3, 4, 4, 2, 5]",36,4.53
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/25,"[4, 2, 2, 1, 2, 3, 4, 4, 3, 4, 4, 4, 4, 2, 4, 3, 4, 5, 3, 5, 1, 5, 4, 4, 4, 4, 4, 4, 3, 5, 2, 2, 4, 3, 2, 5, 3, 3]",38,4.748
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/26,"[6, 3, 4, 4, 4, 6, 4, 2, 4, 3, 2, 3, 4, 3, 4, 2, 2, 1, 3, 2, 3, 3, 5, 2, 3, 4, 4, 3, 4, 4, 3, 4, 3, 5, 2, 6, 2, 4]",38,4.752
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/27,"[4, 2, 2, 5, 6, 3, 4, 2, 1, 5, 2, 6, 3, 3, 3, 5, 5, 4, 2, 4, 1, 2, 3, 4, 4, 5, 3, 4, 5, 4, 5, 2, 4, 3, 4, 4]",36,4.579
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/28,"[5, 3, 3, 5, 6, 6, 4, 5, 3, 4, 6, 3, 4, 3, 3, 6, 5, 4, 2, 4, 4, 5, 4, 6, 6, 6, 2, 1, 6, 4]",30,3.765
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/29,"[4, 3, 3, 4, 6, 5, 5, 4, 3, 3, 3, 2, 5, 5, 3, 3, 4, 3, 3, 6, 6, 5, 3, 5, 4, 5, 4, 4, 4, 3, 3, 4, 4]",33,4.167
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/30,"[4, 3, 2, 3, 6, 4, 6, 4, 5, 3, 2, 6, 6, 6, 4, 5, 3, 1, 3, 4, 1, 4, 1, 4, 4, 2, 4, 2, 2, 3, 4, 3, 5, 4, 2, 3]",36,4.59
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/31,"[4, 2, 3, 4, 3, 4, 6, 6, 3, 4, 3, 4, 4, 4, 3, 3, 4, 2, 4, 3, 4, 3, 2, 4, 3, 1, 3, 4, 3, 3, 4, 2, 3, 6, 4, 5, 4]",37,4.695
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/32,"[4, 3, 4, 4, 6, 4, 2, 4, 4, 4, 3, 4, 3, 5, 4, 3, 4, 5, 3, 4, 4, 5, 4, 5, 4, 3, 4, 5, 1, 4, 3, 4, 5]",33,4.259
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/33,"[6, 1, 2, 4, 3, 1, 4, 6, 3, 4, 4, 6, 4, 3, 2, 3, 4, 2, 5, 3, 2, 2, 6, 3, 4, 4, 4, 6, 4, 5, 4, 4, 4, 3, 4]",35,4.464
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/34,"[4, 3, 3, 1, 2, 6, 4, 3, 5, 1, 4, 5, 5, 3, 1, 2, 2, 6, 3, 4, 5, 6, 3, 4, 4, 3, 3, 4, 4, 6, 6, 4, 4, 2, 6]",35,4.496
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/35,"[6, 3, 1, 6, 4, 6, 2, 5, 1, 3, 4, 6, 4, 6, 4, 6, 6, 3, 1, 4, 6, 4, 5, 5, 4, 3, 2, 4, 6, 3, 3, 3]",32,4.07
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/36,"[5, 3, 5, 4, 6, 2, 3, 4, 6, 4, 4, 1, 2, 1, 6, 2, 4, 4, 3, 4, 4, 6, 4, 3, 4, 5, 2, 3, 3, 4, 2, 1, 4, 5, 5]",35,4.497
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/37,"[5, 3, 2, 4, 2, 6, 6, 5, 3, 4, 4, 2, 2, 5, 3, 4, 2, 3, 2, 3, 4, 5, 4, 4, 1, 5, 1, 2, 2, 2, 3, 4, 4, 4, 4, 2, 4, 5]",38,4.822
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/38,"[4, 3, 2, 2, 5, 4, 6, 2, 5, 3, 2, 4, 5, 4, 4, 2, 3, 3, 4, 3, 2, 2, 1, 3, 5, 3, 2, 5, 6, 4, 5, 4, 2, 6, 5, 3]",36,4.565
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/39,"[4, 3, 4, 5, 6, 6, 3, 4, 3, 1, 6, 4, 4, 3, 3, 3, 3, 3, 4, 1, 1, 2, 4, 4, 3, 1, 1, 1, 3, 2, 3, 2, 2, 2, 4, 3, 3, 5, 6, 4]",40,6.624
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/40,"[4, 2, 2, 5, 5, 2, 6, 4, 5, 4, 4, 5, 4, 6, 5, 4, 4, 4, 3, 4, 4, 3, 3, 4, 2, 4, 3, 4, 3, 4, 4, 5, 6]",33,5.529
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/41,"[4, 6, 3, 4, 2, 5, 3, 6, 4, 2, 5, 4, 3, 5, 3, 4, 3, 4, 4, 3, 4, 2, 6, 5, 1, 4, 2, 4, 4, 3, 6, 6, 1, 5]",34,5.773
CFIN_P2hybrid_gsr5_s0,int4,humaneval,HumanEval/42,"[6, 1, 2, 5, 6, 3, 3, 6, 4, 4, 6, 4, 6, 5, 4, 3, 4, 3, 3, 5, 3, 5, 2, 5, 5, 5, 6, 3, 6, 3, 3]",31,5.221
