tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SRT_W8A8_SQ,int4,humaneval,HumanEval/0,"[4, 3, 3, 6, 5, 5, 4, 6, 1, 2, 3, 4, 4, 4, 6, 2, 6, 3, 3, 2, 3, 5, 3, 3, 6, 4, 5, 5, 4, 5, 6, 6]",32,6.076
SRT_W8A8_SQ,int4,humaneval,HumanEval/1,"[4, 4, 1, 3, 2, 3, 4, 4, 6, 6, 4, 4, 4, 3, 4, 5, 5, 5, 2, 4, 6, 4, 4, 5, 6, 6, 3, 3, 6, 4, 6]",31,5.242
SRT_W8A8_SQ,int4,humaneval,HumanEval/2,"[6, 2, 4, 6, 4, 6, 4, 3, 6, 5, 6, 4, 3, 3, 1, 6, 6, 4, 4, 4, 2, 5, 2, 4, 4, 2, 1, 3, 4, 4, 3, 3, 5]",33,5.531
SRT_W8A8_SQ,int4,humaneval,HumanEval/3,"[6, 3, 3, 3, 6, 5, 5, 3, 1, 4, 6, 4, 3, 6, 4, 5, 4, 3, 6, 4, 4, 4, 4, 4, 4, 6, 6, 4, 6, 6]",30,5.071
SRT_W8A8_SQ,int4,humaneval,HumanEval/4,"[5, 4, 3, 4, 6, 5, 4, 3, 5, 4, 6, 5, 5, 5, 5, 2, 6, 4, 5, 5, 3, 5, 6, 3, 5, 5, 6, 4]",28,3.842
SRT_W8A8_SQ,int4,humaneval,HumanEval/5,"[6, 3, 6, 6, 6, 5, 6, 2, 6, 6, 6, 2, 6, 3, 3, 5, 6, 5, 3, 4, 6, 6, 6, 2, 1, 4, 3, 3, 4]",29,3.688
SRT_W8A8_SQ,int4,humaneval,HumanEval/6,"[6, 2, 2, 1, 4, 6, 4, 5, 4, 5, 1, 3, 4, 2, 4, 6, 4, 4, 5, 6, 5, 2, 5, 3, 2, 2, 4, 6, 2, 2, 3, 3, 3, 6, 4]",35,4.457
SRT_W8A8_SQ,int4,humaneval,HumanEval/7,"[6, 1, 2, 4, 4, 6, 5, 5, 5, 6, 3, 5, 4, 5, 6, 4, 3, 4, 5, 6, 6, 5, 3, 4, 6, 6, 4, 5]",28,3.564
SRT_W8A8_SQ,int4,humaneval,HumanEval/8,"[6, 3, 3, 4, 6, 4, 4, 4, 2, 6, 4, 5, 3, 6, 3, 3, 6, 3, 6, 4, 4, 3, 5, 4, 6, 5, 6, 3, 4, 5]",30,3.836
SRT_W8A8_SQ,int4,humaneval,HumanEval/9,"[6, 3, 3, 4, 5, 6, 6, 4, 4, 5, 3, 2, 6, 5, 2, 4, 5, 2, 6, 5, 4, 5, 6, 3, 6, 4, 4, 3, 4, 6]",30,3.826
SRT_W8A8_SQ,int4,humaneval,HumanEval/10,"[5, 4, 1, 6, 6, 6, 6, 1, 6, 3, 4, 4, 4, 2, 5, 6, 6, 6, 4, 4, 6, 2, 3, 2, 4, 4, 4, 2, 6, 6]",30,3.847
SRT_W8A8_SQ,int4,humaneval,HumanEval/11,"[5, 3, 1, 3, 4, 6, 5, 6, 3, 1, 4, 4, 6, 5, 5, 5, 6, 4, 3, 3, 4, 6, 6, 4, 3, 5, 2, 2, 6, 4, 4]",31,3.899
