tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_naive_s0,int4,humaneval,HumanEval/0,"[2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4, 2, 2, 2, 1, 1, 3, 3, 2, 3, 4, 3, 3, 2, 3, 2, 3, 3, 2, 2]",62,10.699
CFIN_QH_naive_s0,int4,humaneval,HumanEval/1,"[1, 1, 2, 3, 3, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2]",73,12.052
CFIN_QH_naive_s0,int4,humaneval,HumanEval/2,"[2, 2, 3, 2, 1, 2, 2, 3, 2, 3, 2, 2, 2, 2, 1, 1, 2, 1, 3, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 1, 2, 3, 2, 2]",66,10.911
CFIN_QH_naive_s0,int4,humaneval,HumanEval/3,"[2, 2, 3, 2, 1, 2, 2, 1, 2, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 3, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 3, 3, 2]",68,10.38
CFIN_QH_naive_s0,int4,humaneval,HumanEval/4,"[1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 3, 3, 2, 3]",65,8.254
CFIN_QH_naive_s0,int4,humaneval,HumanEval/5,"[2, 2, 3, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 3, 3, 4, 2, 2, 2, 2, 1, 1, 1, 3]",64,8.174
CFIN_QH_naive_s0,int4,humaneval,HumanEval/6,"[1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 2, 1, 4, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 4, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 2]",72,9.131
CFIN_QH_naive_s0,int4,humaneval,HumanEval/7,"[1, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 1, 1, 2, 1, 2, 2, 2]",68,8.653
CFIN_QH_naive_s0,int4,humaneval,HumanEval/8,"[2, 2, 3, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 1, 1, 1, 2, 2, 3, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 3, 3, 1, 2, 3, 2, 3, 3, 2, 2, 2, 3, 3, 2, 2]",61,7.792
CFIN_QH_naive_s0,int4,humaneval,HumanEval/9,"[2, 2, 3, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 1, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 3]",70,8.911
CFIN_QH_naive_s0,int4,humaneval,HumanEval/10,"[2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 3, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 4, 3]",68,8.679
CFIN_QH_naive_s0,int4,humaneval,HumanEval/11,"[2, 2, 3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 1, 2, 1, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2]",73,9.286
CFIN_QH_naive_s0,int4,humaneval,HumanEval/12,"[2, 2, 3, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 1, 2, 3]",69,8.797
CFIN_QH_naive_s0,int4,humaneval,HumanEval/13,"[1, 1, 2, 3, 2, 1, 2, 2, 1, 2, 2, 2, 3, 3, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 3, 2, 1, 3, 2, 2, 3, 2, 2, 3, 3, 2, 2, 1, 2, 3, 3, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2]",66,8.421
CFIN_QH_naive_s0,int4,humaneval,HumanEval/14,"[2, 2, 3, 1, 2, 3, 2, 2, 3, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 2, 3, 2, 2, 1, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 3, 2, 3, 2, 1, 2, 2, 2, 2, 1, 2, 3, 2, 2]",67,8.494
CFIN_QH_naive_s0,int4,humaneval,HumanEval/15,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 1, 2, 2, 1, 2, 2]",65,8.093
CFIN_QH_naive_s0,int4,humaneval,HumanEval/16,"[2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 2, 2, 1, 2]",65,8.133
