tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_0,"[5, 5, 3, 4, 4, 3, 5, 6, 4, 5, 5, 3, 1, 2, 5, 3, 4, 3, 4, 4, 3, 2, 6, 4, 4, 5, 5, 3, 4, 4, 1, 5, 4]",33,5.937
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_1,"[3, 6, 3, 4, 2, 4, 5, 6, 3, 4, 3, 4, 1, 4, 2, 1, 4, 4, 3, 3, 5, 5, 6, 4, 3, 2, 3, 1, 2, 2, 3, 3, 2, 4, 3, 2, 5, 3, 4]",39,6.517
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_2,"[6, 6, 4, 2, 4, 4, 5, 4, 2, 4, 6, 1, 3, 6, 4, 5, 3, 1, 4, 2, 2, 3, 1, 4, 6, 4, 2, 4, 4, 4, 2, 4, 1, 4, 3, 2, 6]",37,6.242
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_4,"[1, 3, 4, 5, 3, 3, 2, 2, 4, 3, 4, 4, 3, 4, 5, 5, 3, 3, 3, 3, 5, 3, 5, 4, 3, 2, 2, 4, 6, 3, 5, 3, 2, 4, 6, 2, 6]",37,6.206
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_5,"[3, 4, 6, 3, 2, 4, 4, 4, 3, 6, 5, 1, 2, 2, 4, 3, 1, 5, 2, 4, 3, 5, 2, 4, 2, 4, 4, 2, 3, 4, 4, 2, 2, 4, 4, 4, 2, 3, 4]",39,6.49
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_6,"[6, 6, 5, 2, 4, 4, 3, 4, 5, 1, 3, 5, 1, 3, 1, 1, 1, 3, 3, 1, 4, 4, 4, 2, 2, 4, 2, 2, 2, 3, 3, 3, 2, 5, 2, 4, 1, 1, 3, 2, 4, 4, 4]",43,5.534
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_8,"[4, 4, 6, 2, 6, 3, 2, 3, 6, 1, 2, 2, 3, 2, 3, 1, 5, 3, 2, 2, 2, 1, 3, 1, 1, 1, 3, 3, 4, 4, 4, 4, 3, 2, 1, 2, 4, 4, 6, 6, 4, 5]",42,5.245
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_9,"[6, 6, 5, 5, 5, 4, 4, 2, 3, 3, 2, 2, 2, 2, 2, 1, 2, 4, 3, 5, 1, 2, 5, 2, 4, 3, 2, 2, 4, 1, 2, 4, 1, 1, 2, 3, 4, 1, 4, 2, 5, 3, 3]",43,5.436
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_10,"[4, 4, 4, 3, 4, 6, 4, 3, 3, 2, 2, 3, 3, 2, 3, 2, 4, 3, 4, 4, 4, 2, 3, 2, 3, 2, 4, 5, 3, 5, 2, 6, 3, 2, 3, 3, 1, 6, 6]",39,4.949
FIN_DP_B_hybrid_beta0.1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_13,"[6, 5, 3, 3, 4, 1, 5, 3, 2, 2, 2, 1, 3, 1, 3, 5, 3, 6, 4, 4, 2, 2, 3, 5, 2, 2, 1, 3, 2, 2, 2, 4, 4, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 1, 3, 6]",48,6.033
