tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_0,"[6, 4, 6, 1, 6, 5, 4, 5, 5, 4, 3, 2, 4, 3, 3, 3, 4, 4, 2, 1, 2, 4, 2, 6, 4, 2, 6, 2, 1, 1, 1, 6, 2, 3, 2, 3, 5, 5]",38,7.05
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_1,"[2, 4, 6, 4, 2, 3, 4, 6, 3, 2, 2, 1, 3, 5, 1, 2, 2, 2, 4, 3, 5, 1, 1, 2, 4, 3, 4, 3, 4, 2, 4, 4, 3, 3, 1, 1, 3, 2, 2, 2, 4, 1, 3, 3, 3]",45,7.687
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_2,"[1, 5, 6, 2, 3, 3, 4, 5, 6, 6, 4, 3, 4, 5, 4, 5, 3, 4, 2, 3, 2, 2, 5, 5, 3, 3, 6, 4, 4, 4, 1, 2, 3, 2, 4]",35,6.067
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_4,"[2, 2, 4, 5, 4, 2, 2, 2, 3, 4, 6, 2, 1, 2, 4, 4, 3, 2, 3, 3, 2, 6, 4, 4, 4, 3, 5, 6, 4, 4, 6, 5, 1, 3, 2, 6, 6]",37,6.35
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_5,"[3, 4, 3, 2, 3, 3, 2, 4, 4, 3, 3, 4, 6, 2, 2, 3, 4, 4, 2, 4, 4, 4, 3, 2, 4, 2, 4, 4, 2, 4, 3, 2, 2, 2, 3, 3, 1, 1, 1, 3, 1, 1, 4, 2, 2]",45,6.142
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_6,"[4, 4, 4, 4, 3, 2, 6, 3, 3, 6, 2, 4, 3, 2, 5, 4, 2, 2, 1, 4, 2, 5, 2, 3, 3, 4, 4, 3, 3, 1, 2, 3, 5, 4, 5, 3, 4, 1, 2, 4]",40,5.422
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_8,"[4, 4, 2, 4, 1, 1, 4, 4, 2, 5, 2, 4, 3, 2, 2, 3, 1, 3, 4, 3, 3, 6, 2, 2, 4, 4, 5, 4, 2, 4, 6, 3, 2, 2, 2, 3, 2, 2, 1, 1, 3, 4, 6]",43,5.806
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_9,"[4, 6, 4, 5, 4, 3, 4, 5, 2, 1, 1, 2, 4, 2, 2, 4, 1, 2, 2, 2, 3, 4, 4, 5, 1, 1, 1, 5, 2, 6, 2, 1, 4, 2, 3, 3, 3, 5, 4, 5, 4]",41,5.652
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_10,"[1, 2, 1, 6, 3, 3, 2, 4, 4, 4, 1, 1, 3, 6, 1, 3, 3, 3, 5, 4, 3, 5, 3, 2, 2, 2, 2, 1, 1, 2, 4, 4, 2, 3, 3, 2, 3, 4, 3, 3, 2, 4, 1, 3, 2, 1, 3]",47,6.415
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_13,"[1, 5, 4, 4, 6, 2, 4, 3, 3, 3, 2, 4, 3, 3, 6, 4, 2, 2, 3, 2, 4, 4, 2, 1, 3, 2, 3, 2, 4, 4, 1, 3, 4, 1, 1, 2, 2, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 3, 3]",50,7.081
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_15,"[1, 2, 4, 5, 2, 4, 6, 4, 3, 4, 4, 4, 3, 4, 4, 4, 2, 6, 3, 1, 2, 2, 4, 2, 4, 2, 4, 6, 4, 4, 2, 3, 2, 2, 5, 2, 2, 3, 3]",39,5.245
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_16,"[1, 4, 2, 2, 2]",5,0.783
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_19,"[1, 4, 3, 2, 1, 3, 2, 3, 1, 4, 1, 2, 4, 1, 3, 5, 6, 3, 2, 5, 2, 4, 4, 4, 4, 6, 2, 3, 2, 3, 5, 3, 4, 2, 1, 4, 3, 3, 2, 3, 6, 6]",42,5.665
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_23,"[1, 5, 4, 4, 3, 3, 3, 3, 3, 4, 1, 2, 3, 4, 4, 3, 4, 3, 2, 1, 4, 2, 4, 2, 2, 2, 1, 3, 2, 2, 1, 4, 6, 3, 1, 4, 2, 3, 5, 4, 4, 1, 3, 4]",44,6.063
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_24,"[1, 6, 5, 2, 3, 5, 4, 4, 2, 2, 3, 2, 4, 6, 2, 4, 4, 5, 3, 2, 4, 2, 2, 1, 4, 3, 4, 4, 2, 1, 1, 3, 2, 4, 4, 5, 4, 2, 2, 4, 4]",41,5.603
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_25,"[1, 2, 3, 3, 3, 4, 1, 3, 5, 4, 3, 4, 4, 6, 6, 3, 6, 3, 3, 4, 2, 6, 4, 3, 4, 4, 4, 2, 2, 2, 5, 5, 3, 3, 3, 4, 2]",37,4.975
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_26,"[1, 5, 4, 2, 2, 3, 2, 4, 3, 2, 3, 4, 6, 3, 2, 5, 1, 2, 6, 4, 3, 3, 4, 3, 3, 3, 2, 2, 2, 2, 1, 3, 2, 1, 1, 2, 1, 2, 1, 1, 3, 3, 3, 3, 3, 4, 1, 1, 2]",49,6.606
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_28,"[1, 6, 5, 2, 3, 2, 3, 1, 1, 2, 2, 4, 1, 5, 2, 3, 4, 4, 4, 4, 3, 3, 4, 4, 5, 2, 5, 2, 3, 4, 3, 5, 2, 2, 2, 3, 4, 4, 4, 4, 2]",41,5.458
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_29,"[6, 6, 2, 4, 1, 4, 4, 4, 4, 2, 4, 4, 2, 3, 4, 2, 4, 3, 5, 3, 4, 4, 3, 2, 4, 5, 4, 1, 1, 1, 6, 4, 2, 4, 4, 1, 2, 2, 3]",39,5.19
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_31,"[1, 2, 3, 4, 3, 6, 4, 2, 3, 5, 4, 6, 4, 2, 6, 6, 6, 1, 2, 2, 5, 4, 4, 4, 4, 4, 2, 5, 6, 1, 3, 2, 4, 2, 4, 3]",36,4.733
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_34,"[1, 5, 2, 5, 2, 2, 3, 5, 3, 2, 2, 5, 1, 2, 2, 1, 2, 1, 6, 1, 3, 2, 4, 4, 3, 6, 5, 6, 5, 1, 6, 4, 4, 6, 6, 2, 4, 4]",38,5.116
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_35,"[3, 6, 4, 1, 3, 3, 5, 4, 2, 2, 3, 2, 2, 2, 2, 2, 3, 4, 1, 6, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 3, 5, 2, 6, 4, 6]",36,5.572
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_36,"[4, 4, 3, 3, 2, 2, 2, 4, 6, 3, 5, 5, 4, 3, 4, 2, 4, 3, 5, 4, 3, 5, 3]",23,4.202
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_39,"[1, 3, 3, 1, 4, 3, 3, 2, 4, 5, 2, 4, 5, 4, 3, 4, 1, 3, 3, 2, 1, 2, 4, 4, 4, 3, 4, 6, 2, 4, 3, 4, 6, 2, 3, 3, 3, 5, 1]",39,5.215
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_41,"[1, 1, 1, 1, 4, 6, 4, 3, 2, 4, 3, 5, 5, 5, 4, 5, 3, 2, 4, 2, 6, 5, 2, 4, 2, 2, 3, 3, 1, 3, 4, 4, 4, 6, 5, 2]",36,4.778
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_43,"[1, 6, 5, 2, 2, 4, 3, 2, 3, 3, 6, 3, 3, 6, 2, 4, 4, 1, 4, 3, 6, 3, 1, 3, 2, 3, 3, 3, 4, 6, 4, 6, 3, 2, 4, 2, 6]",37,4.942
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_46,"[3, 3, 4, 6, 3, 5, 3, 2, 3, 3, 3, 3, 4, 4, 3, 3, 6, 3, 2, 3, 4, 4, 6, 2, 2, 2, 3, 4, 6, 4, 2, 6, 4, 3, 5, 4]",36,4.755
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_48,"[3, 2, 2, 4, 2, 2, 4, 2, 3, 2, 5, 4, 4, 6, 1, 3, 3, 3, 2, 3, 2, 4, 4, 2, 1, 2, 3, 2, 3, 3, 1, 1, 4, 2, 2, 5, 6, 1, 3, 6, 3, 1, 1, 3, 4]",45,5.874
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_54,"[1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 3, 1, 1, 2, 1, 2, 2, 1, 3, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 3, 4, 2, 1, 3, 1, 4, 2, 1, 1, 1, 3, 2, 3, 3, 3, 2, 4, 1, 2, 1, 5, 3, 3, 4, 5, 1, 2, 6, 3]",60,8.083
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_56,"[4, 1, 6, 4, 4, 1, 3, 3, 4, 1, 3, 6, 2, 6, 3, 1, 3, 4, 2, 3, 1, 3, 2, 2, 4, 1, 2, 2, 3, 2, 2, 3, 1, 2, 3, 4, 2, 2, 3, 2, 4, 3, 2, 3, 2, 1, 3]",47,6.234
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_58,"[6, 3, 2, 2, 2, 6, 3, 4, 5, 4, 2, 3, 4, 4, 4, 4, 5, 3, 4, 4, 3, 5, 2, 3, 3, 4, 4, 1, 3, 2, 5, 3, 5, 4, 4, 6]",36,4.497
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_60,"[3, 6, 4, 1, 2, 3, 3, 3, 4, 1, 3, 5, 5, 3, 3, 3, 1, 2, 3, 4, 4, 4, 3, 3, 6, 1, 3, 1, 3, 5, 3, 4, 3, 3, 2, 2, 3, 4, 3, 3, 3]",41,5.143
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_65,"[1, 3, 6, 4, 6, 2, 4, 5, 2, 5, 2, 4, 2, 3, 3, 4, 4, 5, 6, 3, 6, 4, 6, 3, 6, 4, 3, 5, 5, 5, 2, 4, 2]",33,4.173
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_66,"[1, 5, 4, 2, 5, 4, 2, 3, 3, 1, 2, 6, 3, 4, 3, 6, 6, 4, 5, 2, 5, 4, 3, 3, 1, 4, 5, 5, 3, 4, 3, 5, 5, 3, 4]",35,4.396
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_67,"[1, 5, 3, 4, 3, 6, 4, 5, 2, 2, 1, 4, 2, 3, 4, 3, 3, 5, 2, 2, 3, 2, 3, 1, 2, 5, 3, 3, 5, 5, 5, 4, 6, 2, 2, 3, 5, 2, 4]",39,4.881
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_69,"[1, 6, 3, 6, 5, 2, 4, 3, 3, 4, 3, 4, 2, 4, 3, 1, 4, 5, 4, 2, 2, 1, 1, 2, 2, 2, 1, 4, 4, 5, 1, 2, 4, 2, 5, 1, 1, 1, 4, 5, 3, 4, 6]",43,5.334
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_70,"[1, 6, 3, 3, 2, 3, 3, 5, 4, 3, 4, 2, 3, 5, 1, 1, 2, 2, 2, 4, 4, 3, 4, 2, 3, 6, 2, 2, 3, 5, 3, 4, 6, 4, 4, 4, 3, 4, 5]",39,4.907
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_73,"[4, 6, 4, 3, 6, 5, 4, 3, 4, 4, 2, 4, 3, 2, 4, 4, 3, 2, 4, 3, 3, 5, 3, 4, 3, 3, 2, 5, 4, 4, 4, 3, 3, 3, 3, 3]",36,5.152
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_74,"[4, 2, 3, 5, 4, 2, 5, 2, 5, 6, 4, 3, 4, 6, 2, 2, 2, 5, 3, 1, 3, 3, 4, 4, 1, 2, 2, 3, 2, 2, 4, 4, 5, 4, 2, 2, 6, 4, 3]",39,5.059
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_75,"[4, 3, 2, 1, 3, 4, 5, 2, 2, 4, 4, 3, 4, 6, 6, 4, 3, 2, 5, 6, 2, 2, 2, 2, 2, 6, 5, 1, 1, 3, 1, 1, 4, 4, 4, 3, 4, 4, 3, 2]",40,5.101
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_76,"[1, 6, 2, 6, 4, 4, 6, 4, 4, 4, 1, 3, 3, 5, 4, 4, 4, 3, 3, 5, 3, 2, 3, 3, 2, 5, 5, 6, 3, 4, 4, 2, 2, 3, 3, 3]",36,6.366
CFIN_QH_gsr5_s0,int4,sharegpt,sharegpt_77,"[1, 4, 6, 3, 4, 4, 2, 4, 6, 4, 2, 5, 2, 4, 3, 2, 3, 3, 5, 3, 3, 3, 4, 3, 6, 1, 2, 4, 3, 4, 1, 3, 3, 2, 1, 4, 2, 3, 3, 2, 2]",41,5.117
