prompt_id,turn,n_cycles,taus
0,0,346,"1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;3;2;1;2;2;1;3;2;1;1;1;1;2;1;2;3;1;2;2;3;1;2;2;1;2;2;1;1;1;1;3;2;2;3;2;2;4;3;2;2;4;3;3;2;2;1;1;2;4;3;3;2;3;1;2;3;5;2;3;3;2;2;2;3;5;1;1;2;4;4;4;2;3;1;2;9;1;4;4;4;5;3;5;2;1;4;3;3;8;2;4;1;1;2;2;2;4;1;1;2;1;3;3;2;3;3;5;4;4;4;1;1;2;5;6;1;1;2;5;4;4;1;2;4;3;4;1;1;6;4;3;6;2;1;2;2;6;2;3;2;1;3;4;3;1;3;4;1;3;4;4;9;3;4;2;7;2;4;2;1;3;3;6;7;2;3;5;4;4;2;2;1;7;4;4;2;4;6;2;6;4;1;4;8;7;5;3;4;4;4;5;3;6;5;4;4;5;4;1;3;4;4;4;1;3;1;3;7;5;8;8;6;3;3;5;3;2;3;3;6;6;4;1;5;1;1;2;7;4;5;4;7;3;6;8;5;1;5;2;2;2;5;6;8;4;1;1;2;1;3;3;5;1;3;4;4;7;5;4;1;1;2;1;1;1;2;2;2;1;7;5;7;4;4;4;4;4;4;4;4;4;3;2;6;5;4;5;4;3;1;6;5;8;1;2;1;6;2;2;4;4;4;5;4;8"
1,0,716,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;3;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;2;2;1;1;3;1;1;1;1;1;1;1;1;2;1;3;1;1;1;3;1;1;1;1;2;3;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;3;1;1;1;1;1;1;1;2;1;2;1;2;2;1;1;1;1;4;1;1;1;2;1;2;1;1;2;1;1;1;3;1;2;2;1;3;1;1;2;1;1;1;1;2;1;1;1;1;1;1;3;2;2;1;1;2;1;1;2;1;2;1;1;1;3;2;1;3;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;1;2;1;1;2;2;1;1;3;2;2;2;2;1;2;2;1;1;1;3;3;3;2;3;1;3;3;2;1;2;2;3;3;2;4;1;1;1;2;1;1;1;2;1;2;3;2;2;2;4;1;2;1;1;2;1;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;3;2;5;1;2;1;1;2;1;1;2;1;1;3;4;1;1;3;3;1;1;2;1;1;1;2;1;2;4;2;1;2;2;2;1;1;1;1;1;1;1;3;2;3;2;1;3;1;1;1;1;1;1;2;2;4;4;1;1;2;1;1;2;3;1;1;1;1;1;1;1;2;1;2;2;1;2;2;1;1;1;1;3;1;2;1;1;4;1;1;3;2;1;2;1;3;2;1;1;1;1;1;2;1;3;2;3;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;1;1;1;1;1;2;2;3;2;1;1;2;2;1;1;1;3;1;1;1;2;1;2;2;3;1;1;2;1;1;1;3;1;1;1;1;1;3;1;2;3;3;3;1;1;2;3;1;2;2;3;2;2;3;2;2;1;2;2;2;1;1;1;1;2;1;1;1;2;3;1;2;5;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;2;2;1;1;1;2;4;2;1;1;1;1;1;1;3;1;3;2;1;3;3;2;1;1;1;3;2;1;1;2;1;3;1;1;4;1;1;1;2;2"
2,0,67,"1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;2;3;1;2;1;1;1;1;1;1;1"
3,0,565,"1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;2;2;1;2;4;1;1;1;1;1;2;3;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;4;1;2;1;2;2;3;1;1;1;2;1;2;1;3;2;3;2;3;3;2;2;1;2;1;4;4;3;1;2;2;2;2;1;1;1;3;2;2;1;1;1;3;2;3;3;1;3;2;1;1;1;2;2;1;2;1;1;1;1;2;2;1;4;2;1;3;1;1;2;1;2;1;1;2;2;1;1;2;4;1;2;1;2;1;2;2;1;2;2;3;1;3;1;2;3;2;3;1;3;3;2;3;1;1;2;3;2;2;2;1;3;2;1;1;3;2;2;1;1;1;1;2;1;3;1;3;3;2;5;1;3;2;1;4;2;2;1;1;1;3;1;1;2;2;2;1;1;2;2;4;2;1;2;3;2;1;1;1;3;2;2;1;1;2;1;2;3;1;1;3;1;3;3;6;4;1;1;1;4;2;1;3;3;2;3;4;1;2;1;1;2;2;4;1;1;2;2;1;1;2;1;3;4;1;3;2;1;4;3;1;3;2;2;2;1;2;2;1;5;2;2;1;2;1;1;2;5;3;2;4;2;2;2;1;1;1;1;1;2;2;2;4;2;3;2;1;2;1;1;2;2;2;3;3;2;3;2;2;1;2;1;3;2;1;2;3;3;3;1;2;3;1;2;1;1;3;1;3;1;2;2;1;2;3;1;1;3;3;2;2;1;2;1;3;1;3;2;3;1;2;1;3;2;2;2;2;2;3;1;4;3;1;1;1;1;1;2;3;3;2;2;1;1;2;2;4;1;1;4;2;4;2;2;3;1;2;2;2;2;2;2;2;1;2;3;2;1;3;3;3;2;3;3;1;1;4;4;1;2;1;3;3;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;3;1;2;3;1;3;3;3;4;2;1;3;2;1;1;1;1;4;1;3;4;3;5;3;1;3;3;3;2;1;2;5;3;2;1;1;1;1;3;1;1;1;3;2;1;2;3;1;3"
4,0,396,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1;2;1;1;2;2;1;3;3;2;1;2;1;1;2;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;4;1;1;1;2;1;2;1;2;1;1;3;1;1;2;1;2;1;1;1;4;3;1;1;1;1;1;1;2;1;1;3;1;1;1;1;3;1;2;1;2;3;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;4;1;2;1;2;1;2;1;1;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;3;1;1;1"
5,0,739,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;4;1;2;1;1;2;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;2;1;1;2;2;2;1;2;1;2;2;1;1;2;2;2;1;1;1;2;4;2;2;1;1;2;2;1;1;2;1;2;2;1;1;1;1;1;2;1;1;2;2;1;1;1;2;1;1;1;2;1;1;1;3;1;1;1;1;2;1;2;1;2;1;1;2;3;2;1;1;2;2;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;2;1;2;1;1;2;1;2;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;2;3;1;4;2;1;1;1;1;1;1;2;1;1;1;1;1;2;4;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;6;3;2;1;2;1;2;1;1;3;1;1;2;2;1;2;1;1;1;2;1;1;1;1;2;1;1;2;3;1;1;1;1;4;2;2;2;3;2;1;1;2;2;1;1;2;1;2;1;4;1;4;1;2;3;1;3;4;2;1;1;2;1;2;3;1;2;1;1;2;1;1;1;1;1;2;2;1;1;3;1;2;1;1;3;1;1;2;4;1;2;2;1;1;1;2;3;2;2;3;2;1;1;3;1;3;3;1;1;1;1;3;1;3;1;1;1;3;3;2;1;1;1;2;2;1;3;1;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;3;1;1;1;1;1;2;1;1;1;1;1;1;2;1;2;1;1;1;1;2;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;3;2;1;3;1;1;1;1;1;2;1;1;1;1;1;2;1;2;1;2;1;3;1;3;1;1;3;4;3;5;1;1;1;6;2;4;1;1;2;2;3;6;1;9;4;4;1;2;1;1;3;3;3"
6,0,453,"1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;2;1;2;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;3;2;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;4;1;1;2;1;2;2;1;2;1;1;2;2;1;1;2;3;2;1;1;1;1;2;1;1;1;1;1;2;3;3;2;2;2;2;1;1;2;2;1;1;2;2;1;1;1;1;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;4;1;2;3;10;1;1;1;10;10;10;10;10;10;8;7;10;10;10;2;10;3;5;10;10;10;10;10;10;10;8;10;6;10;10;10;10;9;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1;10;10;10;10;10;10;6;10;10"
7,0,681,"1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;1;3;2;1;1;2;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;2;1;2;1;1;1;1;2;1;2;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;2;1;1;2;1;2;1;2;1;2;2;2;1;2;2;1;1;1;1;1;2;1;3;2;1;1;3;1;2;1;1;1;1;1;1;3;1;2;1;1;1;1;1;1;2;1;3;2;1;3;1;1;2;2;1;1;1;1;3;3;2;1;2;1;1;1;1;2;1;1;1;2;1;2;2;1;1;1;1;1;2;1;2;1;2;1;1;1;1;3;4;1;2;1;1;1;2;1;2;1;1;1;1;2;1;3;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;2;1;1;2;1;2;1;1;1;2;3;1;2;2;1;2;1;2;4;3;1;1;2;3;1;1;2;1;1;1;1;4;2;3;4;1;2;1;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;1;2;1;1;1;2;2;2;2;1;2;2;1;2;2;2;1;1;4;1;2;3;1;1;1;5;2;3;1;1;3;5;2;1;1;1;3;2;1;2;1;2;1;2;3;1;3;2;1;3;3;2;2;2;2;3;2;2;2;1;1;2;4;5;2;1;2;4;2;2;3;3;3;1;3;1;2;1;3;2;2;2;3;3;2;4;1;3;1;1;1;2;3;4;1;1;1;4;1;1;2;1;1;2;3;3;3;2;2;2;4;1;2;3;2;4;1;1;2;2;2;1;1;4;3;1;1;2;2;5;2;3;4;2;4;2;4;4;3;3;1;4;2;1;3;2;2;6;3;1;2;2;2;5;3;1;1;4;3;1;1;2;1;7;2;2;1;1;1;2;1;4;3"
8,0,573,"1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;2;1;2;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;1;3;2;1;1;1;2;2;1;2;3;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;1;2;1;1;1;1;2;1;1;1;1;1;1;2;4;3;3;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;2;1;1;1;1;1;1;1;2;2;4;1;1;1;1;2;1;2;2;1;2;3;2;2;2;2;1;1;1;3;2;1;2;2;2;2;2;1;2;2;1;2;1;2;2;3;4;1;1;1;1;1;2;1;3;4;1;2;1;2;1;1;1;3;1;1;1;1;1;3;1;2;1;2;3;2;2;1;1;1;1;1;1;1;1;1;1;2;1;2;4;2;1;1;1;2;2;2;2;2;3;4;2;1;1;1;1;3;4;4;3;1;1;2;1;1;1;1;4;3;2;3;2;3;3;8;2;1;1;4;1;1;2;1;2;2;1;1;2;1;1;1;1;2;1;2;5;3;2;1;1;1;1;1;2;2;2;5;3;1;3;1;2;3;6;3;2;1;1;1;1;1;3;5;3;2;1;1;1;1;1;2;1;1;2;3;2;1;1;2;1;1;1;1;1;2;6;1;2;2;1;2;1;2;4;1;1;4;1;1;1;1;2;2;2;4;1;1;1;2;4;2;2;1;3;2;1;3;4;4;3;6;2;3;2;2;2;2;4;2;2;1;1;1;1;1;1;2;5;3;1;1;2;1;1;1;4;2;3;3;3;1;1;2;3;1;4;2;2;1;1;2;1;2;3;3;3;2;2;2;1;1;4;3;1;2;2;2;2;1;3;1;5;2;4;2;3;3;3;2;2;2;3;1;3;2;2;1;1;1;1;1;1;2;3;1;3;2;2;1;2;3;2;2;2;4;2;2;3;1;1;3;2;1;1;2;4;5;3;2;2;1;2;1;4;1;1;2;2;2;3;2;2;1;4;1;2;1;4;2;2;3;2;2;4;2;1;2;4;2;2;4;2;4;2;2;3;2;4;2;3;2;2;2;1;1;1;3;3;2;3;2;1;1;2;5;2;5;1;2;1;1;2;2;1;4;2;3;3;2;1;3;2;1;1;1;3;2;1"
9,0,640,"1;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;2;1;1;1;1;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;2;2;1;2;1;2;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;2;1;2;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;2;1;3;5;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;5;7;1;1;1;1;1;1;2;3;1;2;3;1;1;1;1;1;1;1;1;3;2;1;1;2;1;1;1;3;4;2;1;1;1;1;2;1;3;1;2;2;1;3;1;1;1;1;3;1;2;2;1;1;2;1;3;1;1;1;1;1;4;1;1;1;1;4;2;1;1;1;1;2;2;1;4;1;2;3;1;2;1;1;1;3;1;2;3;1;2;3;7;2;1;1;1;1;1;1;2;1;1;2;1;2;1;2;2;1;2;1;1;2;3;1;2;3;1;2;3;1;1;2;1;1;1;3;4;1;2;3;1;1;3;3;1;1;1;1;1;1;3;2;1;2;2;1;1;1;2;1;1;1;4;2;2;3;2;1;1;2;1;1;2;2;2;2;3;1;7;1;1;1;2;2;1;1;1;2;2;1;1;3;4;1;4;1;2;4;3;3;1;1;1;1;1;2;3;3;2;1;1;1;1;1;1;1;3;3;3;2;1;1;3;1;1;2;1;2;1;4;4;4;4;5;3;1;2;1;1;1;1;1;1;1;1;4;1;2;2;2;1;1;1;2;1;1;2;2;2;2;1;1;2;1;3;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;2;3;3;2;1;2;1;4;3;3;3;3;1;1;2;2;3;5;5;1;2;1;2;1;1;2;3;4;2;3;1;1;1;3;3;2;1;1;1;2;3;1;1;2;1;1;3;1;1;1;1;2;1;1;1;2;2;3;4;1;1;2;3;1;1;1;1;3;2;1;2;1;3;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;1;4;1;1;3;1;3;3;2;2;2;1;3;1;2;3;2;1;4;4;1;3;1;4;6;1;2;1;4;1;2;1;1;1;1;1;4;1;2;1;7;2;3;1;3;1;4;5;1;2;1;2;2"
