prompt_id,turn,n_cycles,taus
0,0,475,"1;3;1;2;2;2;1;2;3;4;1;1;2;1;1;2;4;1;2;3;3;1;2;1;1;1;2;1;2;1;2;5;2;3;2;2;1;3;1;5;2;3;1;4;4;4;3;1;1;1;4;2;2;3;1;2;4;1;5;1;4;1;3;3;2;1;4;2;1;1;1;2;1;2;2;3;2;1;1;1;1;2;2;1;1;1;4;1;2;2;3;1;1;1;4;2;2;2;1;3;1;6;2;1;2;2;2;1;2;1;2;3;2;1;2;2;2;2;3;5;1;1;3;1;1;1;2;1;2;1;2;1;1;2;1;2;1;2;4;1;1;1;1;2;3;3;1;2;4;1;1;3;3;3;4;3;2;4;1;4;1;2;2;2;1;3;2;4;6;1;1;2;4;3;4;5;1;1;5;1;2;1;1;1;2;1;2;2;2;3;2;1;3;1;2;2;1;3;2;2;4;1;1;1;1;2;3;1;6;1;2;1;1;2;3;1;3;4;2;1;3;1;4;2;2;1;1;2;1;1;2;1;3;1;2;2;1;3;6;3;3;3;6;2;2;4;2;2;1;4;3;1;2;1;1;1;4;5;3;3;1;3;1;2;1;1;1;1;2;1;1;4;1;2;2;1;3;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;3;1;3;2;1;5;1;1;3;1;1;6;1;3;1;4;2;1;3;6;1;1;3;1;2;2;1;1;1;1;2;1;4;2;1;1;3;1;1;1;3;1;1;2;1;1;2;4;2;3;4;3;1;3;3;1;1;1;3;1;2;2;2;1;1;1;4;4;3;4;1;1;4;3;1;1;1;3;1;5;4;2;2;2;2;1;1;3;4;1;2;1;1;1;1;1;1;1;5;2;1;2;2;1;3;3;3;3;1;1;1;3;4;2;1;1;2;5;2;2;2;1;2;2;3;5;2;2;1;3;1;2;2;1;2;2;3;1;2;1;2;2;1;3;4;2;2;3;3;1;3;4;2;1;1;1;1;5;2;4;2;1;2;2;2;2;1;2;1;2;1;1;1;1;1;2;3;4;1;2;2;2;2"
0,1,338,"1;1;1;3;3;3;2;5;2;6;5;5;5;1;3;1;1;1;2;1;1;2;4;2;4;3;1;3;1;2;1;2;1;1;1;2;1;2;2;3;3;2;1;3;1;1;1;2;4;1;2;1;1;5;2;2;3;1;1;1;3;2;6;2;3;2;2;2;3;4;2;4;4;4;2;2;1;3;5;1;2;2;1;3;1;1;2;6;2;2;3;1;1;2;3;2;1;1;1;2;2;1;1;2;1;1;1;2;3;1;1;1;1;1;1;1;5;2;2;4;1;2;1;1;4;1;2;1;1;2;3;3;4;1;4;4;2;5;1;2;4;2;1;2;1;3;3;1;2;1;1;1;7;3;4;3;2;6;1;2;1;2;2;3;1;2;3;1;4;1;1;3;4;2;2;4;3;3;2;3;1;3;4;3;1;3;1;2;1;3;3;3;2;2;5;3;1;5;1;3;2;2;1;1;1;1;1;4;1;3;3;1;2;1;4;5;4;1;2;4;1;1;1;1;4;2;1;1;3;2;2;1;3;5;1;3;2;2;2;3;3;3;1;1;3;1;4;4;1;2;3;1;2;1;3;1;2;2;3;1;1;3;2;3;2;2;1;2;1;1;1;1;1;2;1;3;3;3;1;2;1;1;1;2;1;1;1;4;5;4;3;1;2;1;1;5;5;1;5;1;2;1;1;1;2;2;3;2;1;2;3;2;3;2;1;1;3;2;2;2;1;2;2;3;1;1;1;1;3;1;1;1;1;1;1;1;2;1"
1,0,66,"1;3;3;2;3;4;4;2;4;1;2;5;3;3;2;6;2;3;2;1;2;2;6;7;4;1;1;1;2;1;5;1;2;4;1;3;2;4;3;1;1;3;1;6;1;2;1;1;1;2;2;3;1;1;2;1;2;1;1;1;1;4;4;2;6;1"
1,1,190,"1;2;2;2;2;3;1;2;7;3;6;1;1;2;3;2;2;2;1;1;4;1;1;2;6;1;2;2;1;3;2;3;1;1;1;1;1;1;3;2;1;1;2;1;2;1;3;1;1;2;2;1;4;2;1;3;4;3;1;5;3;1;1;2;2;1;1;2;1;4;2;1;3;2;2;1;2;6;2;5;2;6;2;1;1;2;1;1;1;5;2;2;1;1;2;5;1;1;3;3;2;1;2;2;1;3;5;3;3;1;2;3;2;6;1;4;2;6;1;2;2;5;1;1;1;3;1;1;1;1;2;2;1;2;3;2;5;2;2;2;3;3;5;3;3;1;1;4;1;4;3;3;1;1;1;1;4;1;1;4;2;2;2;2;3;3;3;5;10;2;5;5;4;4;10;2;1;5;2;3;4;1;3;3;7;5;5;5;4;1"
2,0,108,"2;1;1;3;2;1;2;2;1;2;2;1;4;1;3;3;2;2;2;1;1;1;4;2;3;2;3;1;2;1;4;1;1;2;3;3;5;1;1;2;1;1;2;1;1;3;2;1;1;1;1;3;2;1;3;2;4;1;2;1;2;3;1;3;2;1;1;1;2;2;6;2;1;2;1;2;1;1;1;1;2;2;1;1;3;1;2;1;5;1;2;3;4;1;1;1;2;5;3;1;2;1;1;2;3;3;3;1"
2,1,24,"1;1;2;1;1;1;3;1;4;3;1;1;3;2;2;2;2;1;1;2;1;1;1;1"
3,0,204,"2;1;1;1;1;2;2;3;3;2;3;1;1;7;3;2;1;1;2;1;4;2;1;1;1;2;1;2;1;1;4;2;1;2;3;3;3;2;3;3;5;3;2;1;5;3;2;1;1;2;1;1;3;3;4;2;2;4;1;7;2;1;1;1;5;2;5;1;2;5;1;1;1;2;1;2;4;1;1;3;1;8;4;3;1;3;2;1;4;3;3;1;2;2;3;3;1;3;2;2;5;3;2;2;3;1;1;1;3;1;1;1;1;5;1;1;2;3;1;4;1;2;1;3;2;2;4;2;2;5;2;1;1;5;2;1;3;1;2;1;2;2;2;3;1;2;1;3;2;1;2;1;1;4;1;1;1;1;4;1;2;1;3;2;1;4;1;1;2;1;1;1;5;1;2;1;2;1;3;1;1;1;1;1;1;2;1;2;1;4;3;2;1;1;2;1;2;1;1;2;6;4;4;1"
3,1,216,"1;1;1;2;1;1;2;1;1;1;1;2;4;1;2;1;1;1;2;1;2;5;1;1;2;3;1;1;1;2;1;1;2;3;1;2;2;2;4;4;2;2;1;3;2;1;2;3;2;1;2;3;2;2;1;1;1;3;1;2;2;3;1;3;5;2;5;3;1;1;5;4;1;2;1;1;1;3;1;1;1;5;1;2;3;3;1;1;2;3;3;2;2;1;3;2;3;3;1;1;3;2;4;2;3;3;3;3;2;1;2;1;3;4;2;1;1;2;2;1;2;8;1;2;2;1;2;3;4;1;1;3;1;4;1;1;5;5;4;1;1;3;1;4;4;3;1;2;3;2;1;1;1;1;6;3;3;4;1;1;1;1;1;6;3;3;1;3;3;2;1;1;1;2;1;4;2;1;1;4;4;3;1;2;2;3;3;2;1;2;1;1;2;1;2;1;5;4;1;5;1;4;3;3;3;1;2;5;2;2;4;2;5;3;5;1"
4,0,118,"2;1;2;2;1;3;1;1;1;2;1;1;1;2;3;2;2;1;2;4;1;3;2;2;2;2;3;2;1;2;1;4;2;2;9;2;2;2;2;1;2;1;1;2;2;1;1;2;1;2;2;3;1;1;1;3;1;1;3;1;1;2;2;1;2;5;2;1;3;4;1;2;3;2;2;1;2;2;4;1;1;3;1;4;2;1;3;2;1;4;3;1;6;1;3;5;1;1;4;1;2;1;1;1;1;1;2;1;3;2;2;1;1;1;2;1;2;1"
4,1,143,"2;1;3;2;3;1;1;1;4;2;2;2;1;2;2;1;2;2;3;4;4;3;1;2;1;2;4;4;2;4;1;1;3;2;7;3;1;1;1;1;1;2;2;1;1;4;3;2;5;5;7;1;2;4;5;3;1;1;2;1;1;1;1;1;1;1;2;1;4;4;4;1;2;2;5;4;3;2;2;2;1;3;2;3;2;2;2;1;3;4;5;8;6;3;1;4;2;1;2;1;1;1;1;1;1;2;6;4;3;7;3;2;3;1;1;2;2;1;3;3;4;4;3;6;4;3;3;1;1;1;3;1;1;1;2;1;1;2;1;1;1;1;2"
5,0,120,"1;1;2;2;4;3;3;3;1;1;1;3;2;1;2;1;3;2;2;7;6;4;1;5;1;3;1;4;1;1;3;3;4;2;4;2;4;1;1;1;1;3;3;2;6;1;2;3;2;2;2;1;2;1;1;1;2;2;1;2;1;3;2;2;1;1;1;3;2;1;3;1;1;3;4;6;1;4;3;1;3;2;4;1;1;1;3;2;2;3;1;3;1;4;3;1;2;2;2;1;1;3;2;1;1;5;2;3;2;5;1;2;2;1;1;1;2;6;1;1"
