tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CTRL_OI,int4,sharegpt,sharegpt_0,"[4, 4, 5, 4, 5, 6, 4, 4, 6, 4, 6, 2, 4, 1, 5, 1, 4, 3, 2, 1, 4, 3, 2, 4, 4, 2, 4, 6, 3, 4, 5, 5, 1, 4, 4]",35,5.456
CTRL_OI,int4,sharegpt,sharegpt_1,"[3, 3, 6, 4, 2, 2, 6, 6, 3, 2, 1, 3, 5, 3, 3, 1, 3, 4, 3, 2, 3, 4, 4, 4, 3, 5, 6, 4, 2, 2, 1, 1, 1, 1, 3, 2, 2, 3, 2, 6, 5]",41,5.881
CTRL_OI,int4,sharegpt,sharegpt_2,"[1, 5, 3, 5, 3, 4, 6, 6, 2, 5, 6, 2, 4, 6, 3, 5, 3, 4, 2, 3, 2, 4, 2, 2, 6, 1, 5, 2, 2, 2, 2, 1, 3, 2, 2, 4, 2, 3, 4]",39,5.617
CTRL_OI,int4,sharegpt,sharegpt_4,"[3, 3, 2, 5, 4, 2, 3, 3, 1, 4, 4, 3, 1, 1, 2, 2, 3, 3, 3, 2, 3, 4, 6, 5, 4, 2, 3, 5, 4, 5, 3, 4, 2, 1, 4, 2, 4, 5, 2, 6]",40,5.756
CTRL_OI,int4,sharegpt,sharegpt_5,"[4, 2, 3, 3, 4, 2, 2, 4, 2, 4, 3, 3, 3, 2, 2, 3, 3, 4, 2, 4, 2, 3, 3, 2, 2, 4, 3, 2, 3, 2, 4, 4, 5, 3, 3, 4, 4, 2, 3, 1, 4, 3, 2, 4]",44,6.308
CTRL_OI,int4,sharegpt,sharegpt_6,"[4, 3, 6, 4, 2, 2, 6, 4, 4, 4, 2, 2, 4, 2, 4, 1, 1, 3, 4, 4, 4, 4, 2, 2, 6, 2, 4, 2, 4, 4, 3, 3, 4, 1, 5, 3, 3, 4, 2]",39,5.597
CTRL_OI,int4,sharegpt,sharegpt_8,"[3, 3, 4, 5, 3, 4, 4, 4, 3, 3, 1, 2, 2, 1, 3, 4, 4, 4, 2, 4, 4, 2, 1, 5, 3, 3, 4, 3, 3, 6, 6, 6, 2, 3, 2, 4, 2, 3, 2, 2]",40,5.711
CTRL_OI,int4,sharegpt,sharegpt_9,"[3, 3, 5, 5, 5, 2, 3, 6, 4, 1, 1, 2, 1, 4, 2, 2, 4, 1, 2, 4, 1, 4, 2, 2, 4, 4, 1, 1, 4, 2, 1, 1, 1, 4, 5, 2, 4, 5, 4, 4, 5, 4, 1, 3]",44,6.246
CTRL_OI,int4,sharegpt,sharegpt_10,"[3, 1, 6, 3, 2, 2, 1, 5, 3, 4, 2, 3, 6, 4, 3, 2, 3, 2, 3, 4, 4, 2, 5, 1, 6, 2, 3, 3, 6, 4, 4, 3, 4, 4, 3, 5, 2, 3, 1, 5]",40,4.93
CTRL_OI,int4,sharegpt,sharegpt_13,"[1, 5, 2, 2, 4, 6, 4, 3, 1, 3, 1, 2, 3, 3, 5, 3, 4, 3, 1, 2, 1, 1, 4, 2, 2, 5, 3, 4, 4, 5, 4, 4, 6, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 5, 3]",49,5.302
CTRL_OI,int4,sharegpt,sharegpt_15,"[1, 4, 3, 4, 2, 2, 4, 5, 4, 4, 3, 4, 4, 6, 4, 2, 4, 2, 3, 6, 1, 4, 4, 4, 4, 6, 3, 2, 4, 2, 4, 2, 4, 3, 4, 5, 4]",37,4.036
CTRL_OI,int4,sharegpt,sharegpt_16,"[1, 4, 1, 3, 2]",5,0.635
CTRL_OI,int4,sharegpt,sharegpt_19,"[1, 4, 4, 2, 3, 3, 2, 1, 5, 2, 4, 2, 2, 6, 3, 6, 3, 1, 3, 5, 4, 3, 6, 2, 4, 1, 2, 2, 1, 3, 3, 4, 2, 3, 2, 3, 3, 4, 2, 2, 4, 2, 5]",43,4.685
CTRL_OI,int4,sharegpt,sharegpt_23,"[1, 4, 4, 4, 1, 5, 4, 4, 3, 3, 2, 6, 3, 3, 3, 3, 2, 1, 4, 4, 2, 1, 1, 2, 2, 2, 5, 2, 1, 4, 1, 2, 3, 3, 3, 2, 4, 1, 2, 2, 2, 3, 1, 1, 1, 2, 3, 3, 4]",49,5.312
CTRL_OI,int4,sharegpt,sharegpt_24,"[1, 4, 4, 3, 2, 2, 4, 4, 4, 5, 3, 3, 3, 5, 4, 2, 2, 3, 3, 1, 3, 4, 3, 3, 2, 6, 4, 5, 4, 4, 3, 2, 2, 4, 4, 6, 6, 1]",38,4.151
CTRL_OI,int4,sharegpt,sharegpt_25,"[1, 2, 3, 3, 6, 2, 4, 5, 4, 4, 3, 4, 2, 4, 4, 6, 3, 6, 3, 5, 3, 3, 5, 5, 2, 3, 4, 3, 2, 4, 2, 3, 6, 4, 5]",35,3.83
CTRL_OI,int4,sharegpt,sharegpt_26,"[1, 5, 4, 3, 1, 3, 6, 3, 3, 6, 3, 3, 2, 2, 3, 2, 2, 1, 3, 2, 1, 3, 2, 3, 1, 1, 4, 4, 3, 3, 5, 1, 2, 5, 4, 4, 3, 4, 3, 3, 6, 6]",42,4.599
CTRL_OI,int4,sharegpt,sharegpt_28,"[1, 5, 4, 2, 2, 2, 3, 2, 2, 3, 2, 4, 5, 1, 2, 3, 3, 2, 4, 4, 4, 4, 6, 3, 3, 2, 6, 4, 4, 4, 4, 2, 2, 3, 1, 1, 4, 4, 3, 3, 2, 2, 2]",43,4.697
CTRL_OI,int4,sharegpt,sharegpt_29,"[6, 4, 4, 4, 1, 4, 1, 4, 3, 5, 3, 3, 5, 4, 4, 4, 3, 1, 3, 5, 4, 4, 5, 6, 2, 4, 6, 3, 3, 6, 5, 2, 4, 3]",34,3.714
CTRL_OI,int4,sharegpt,sharegpt_31,"[1, 2, 3, 4, 3, 5, 4, 3, 5, 4, 6, 4, 2, 2, 2, 6, 3, 6, 3, 5, 3, 1, 2, 3, 4, 3, 5, 5, 2, 3, 2, 5, 2, 3, 3, 4, 4, 6]",38,4.127
CTRL_OI,int4,sharegpt,sharegpt_34,"[6, 2, 6, 4, 3, 3, 1, 3, 4, 2, 4, 4, 3, 6, 2, 4, 3, 6, 2, 2, 3, 3, 2, 4, 4, 3, 4, 2, 3, 1, 3, 2, 2, 2, 2, 4, 3, 4, 3, 1, 3]",41,4.453
CTRL_OI,int4,sharegpt,sharegpt_35,"[3, 4, 6, 4, 5, 3, 4, 3, 6, 3, 3, 4, 3, 6, 5, 2, 3, 3, 3, 2, 4, 5, 2, 2, 4, 2, 4, 4, 5, 3, 2, 4, 3, 6, 6]",35,3.827
CTRL_OI,int4,sharegpt,sharegpt_36,"[4, 3, 4, 3, 2, 4, 4, 6, 1, 4, 2, 6, 4, 2, 5, 3, 4, 5, 2, 4, 6, 2, 1, 3, 1]",25,2.782
CTRL_OI,int4,sharegpt,sharegpt_39,"[1, 5, 2, 1, 6, 1, 3, 5, 4, 3, 1, 2, 5, 3, 3, 5, 1, 1, 2, 2, 1, 2, 1, 3, 3, 2, 4, 4, 6, 6, 3, 2, 5, 3, 2, 1]",36,3.948
CTRL_OI,int4,sharegpt,sharegpt_41,"[1, 1, 1, 1, 4, 4, 4, 4, 4, 2, 2, 3, 4, 3, 2, 2, 3, 4, 4, 6, 4, 3, 4, 5, 5, 4, 3, 4, 4, 4, 6, 2, 5, 6, 4, 2, 5]",37,4.054
CTRL_OI,int4,sharegpt,sharegpt_43,"[3, 5, 6, 4, 3, 2, 4, 2, 1, 2, 2, 4, 2, 5, 4, 2, 3, 3, 1, 6, 1, 2, 3, 6, 1, 2, 3, 3, 1, 5, 1, 4, 1, 4, 5, 1, 2, 4, 1, 3, 1, 4, 6]",43,4.706
CTRL_OI,int4,sharegpt,sharegpt_46,"[3, 4, 3, 4, 4, 6, 3, 3, 1, 2, 3, 2, 4, 6, 4, 4, 4, 4, 2, 3, 2, 4, 5, 2, 4, 4, 6, 2, 6, 5, 4, 4, 4, 6, 5]",35,3.824
CTRL_OI,int4,sharegpt,sharegpt_48,"[3, 2, 2, 3, 3, 2, 6, 3, 2, 5, 4, 4, 6, 1, 3, 3, 4, 2, 4, 6, 6, 3, 2, 3, 3, 3, 6, 3, 4, 2, 4, 1, 3, 2, 1, 3, 6, 3, 6]",39,4.27
CTRL_OI,int4,sharegpt,sharegpt_54,"[1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 3, 1, 1, 2, 1, 2, 3, 2, 2, 1, 2, 1, 2, 4, 3, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 3, 2, 2, 1, 2, 2, 1, 2, 2, 4, 1, 3, 3, 3, 1, 3, 3, 1, 1, 1, 2, 2, 3, 2, 1, 3, 2, 1, 2]",70,7.55
CTRL_OI,int4,sharegpt,sharegpt_56,"[1, 4, 6, 2, 3, 4, 4, 2, 4, 1, 3, 4, 4, 6, 3, 3, 6, 2, 2, 1, 4, 2, 4, 2, 2, 3, 3, 1, 4, 2, 4, 3, 4, 3, 4, 1, 2, 3, 3, 4, 2, 2, 3]",43,4.686
CTRL_OI,int4,sharegpt,sharegpt_58,"[6, 3, 4, 3, 6, 4, 4, 6, 3, 1, 4, 2, 4, 5, 2, 5, 5, 4, 3, 2, 3, 3, 4, 4, 4, 4, 3, 4, 4, 6, 6, 6, 4]",33,3.629
CTRL_OI,int4,sharegpt,sharegpt_60,"[3, 6, 4, 1, 2, 5, 1, 2, 5, 1, 4, 4, 5, 3, 3, 2, 1, 2, 4, 1, 3, 3, 5, 3, 4, 2, 2, 1, 1, 3, 5, 4, 1, 2, 2, 4, 3, 2, 3, 2, 4, 2, 6, 3]",44,4.79
CTRL_OI,int4,sharegpt,sharegpt_65,"[1, 2, 3, 4, 5, 2, 4, 3, 6, 4, 3, 4, 4, 3, 6, 6, 5, 4, 6, 4, 6, 5, 4, 1, 5, 4, 4, 4, 6, 6, 4]",31,3.406
CTRL_OI,int4,sharegpt,sharegpt_66,"[1, 4, 3, 4, 4, 4, 2, 4, 3, 1, 4, 4, 3, 4, 3, 4, 6, 4, 6, 4, 3, 3, 4, 2, 4, 3, 3, 4, 4, 2, 4, 3, 3, 4, 2, 4, 4]",37,4.047
CTRL_OI,int4,sharegpt,sharegpt_67,"[1, 4, 6, 5, 3, 5, 4, 3, 3, 2, 3, 4, 4, 5, 4, 4, 1, 6, 2, 2, 3, 1, 2, 1, 4, 4, 2, 4, 4, 2, 6, 3, 4, 2, 3, 5, 4, 3]",38,4.15
CTRL_OI,int4,sharegpt,sharegpt_69,"[1, 4, 3, 3, 5, 6, 3, 6, 1, 2, 1, 4, 2, 6, 4, 1, 4, 6, 3, 3, 5, 4, 4, 5, 4, 4, 3, 4, 2, 3, 5, 6, 6, 4, 5]",35,3.83
CTRL_OI,int4,sharegpt,sharegpt_70,"[1, 6, 4, 4, 2, 6, 4, 2, 3, 3, 3, 2, 2, 3, 2, 5, 3, 3, 1, 2, 1, 1, 3, 1, 1, 2, 1, 2, 4, 1, 2, 3, 2, 3, 3, 2, 4, 3, 6, 4, 1, 6, 3, 6, 2]",45,4.878
CTRL_OI,int4,sharegpt,sharegpt_73,"[4, 6, 4, 3, 4, 6, 1, 3, 6, 3, 4, 2, 4, 5, 5, 2, 3, 4, 4, 3, 3, 2, 3, 2, 2, 3, 2, 6, 2, 1, 1, 1, 3, 2, 1, 4, 3, 4, 2, 2, 5]",41,4.47
CTRL_OI,int4,sharegpt,sharegpt_74,"[6, 4, 4, 4, 4, 5, 5, 6, 3, 1, 1, 6, 3, 1, 3, 4, 4, 2, 3, 2, 4, 5, 1, 1, 4, 4, 2, 2, 2, 3, 5, 3, 3, 3, 6, 1, 5, 3]",38,4.134
CTRL_OI,int4,sharegpt,sharegpt_75,"[4, 3, 2, 2, 2, 4, 5, 2, 6, 4, 4, 5, 4, 6, 2, 4, 3, 3, 4, 3, 3, 2, 2, 4, 6, 2, 3, 4, 1, 6, 5, 3, 4, 2, 2, 6, 2]",37,4.007
CTRL_OI,int4,sharegpt,sharegpt_76,"[1, 6, 1, 4, 3, 3, 4, 6, 5, 4, 5, 4, 6, 4, 4, 5, 2, 4, 5, 6, 3, 1, 4, 3, 2, 3, 2, 2, 2, 3, 6, 4, 3, 5, 5]",35,3.807
CTRL_OI,int4,sharegpt,sharegpt_77,"[3, 4, 5, 4, 2, 3, 4, 1, 2, 2, 3, 4, 3, 3, 4, 1, 3, 2, 2, 4, 4, 4, 4, 1, 2, 4, 4, 3, 6, 3, 2, 2, 6, 6, 1, 1, 4, 2, 3, 1, 3, 2, 4]",43,4.661
CTRL_OI,int4,sharegpt,sharegpt_79,"[3, 4, 2, 2, 1, 6, 4, 4, 4, 4, 3, 1, 6, 3, 4, 4, 3, 1, 1, 2, 4, 4, 4, 5, 5, 5, 4, 5, 2, 3, 5, 5, 3, 1, 6, 4, 4]",37,4.045
CTRL_OI,int4,sharegpt,sharegpt_80,"[4, 5, 4, 4, 4, 6, 3, 3, 5, 3, 4, 2, 4, 3, 5, 6, 3, 4, 5, 6, 5, 4, 4, 3, 4, 6, 4, 2, 4, 4, 6]",31,3.413
CTRL_OI,int4,sharegpt,sharegpt_83,"[1, 2, 5, 4, 2, 6, 4, 2, 2, 2, 2, 3, 2, 5, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 2, 2, 2, 5, 4, 4, 3, 5, 2, 5, 2, 2, 6, 4, 1]",39,4.266
CTRL_OI,int4,sharegpt,sharegpt_84,"[3, 6, 3, 6, 6, 6, 2, 4, 3, 4, 2, 6, 5, 6, 4, 6, 4, 3, 4, 6, 6, 6, 4, 6, 6, 6, 6]",27,2.98
CTRL_OI,int4,sharegpt,sharegpt_86,"[1, 4, 3, 5, 6, 6, 4, 6, 6, 4, 1, 2, 3, 6, 5, 3, 2, 2, 3, 6, 4, 4, 2, 1, 3, 4, 5, 4, 4, 1, 3, 6, 2, 1, 3, 4]",36,3.952
CTRL_OI,int4,sharegpt,sharegpt_90,"[1, 1, 4, 4, 4, 4, 2, 5, 4, 3, 2, 6, 3, 2, 2, 2, 2, 3, 4, 6, 3, 1, 3, 4, 2, 2, 1, 2, 4, 4, 3, 3, 5, 3, 4, 5, 4, 1, 3, 3, 1, 2, 3]",43,4.682
CTRL_OI,int4,sharegpt,sharegpt_91,"[1, 2, 5, 4, 2, 4, 2, 4, 3, 2, 2, 2, 4, 3, 4, 4, 1, 3, 2, 4, 4, 3, 1, 2, 4, 4, 4, 4, 3, 2, 6, 2, 1, 3, 4, 3, 4, 5, 2, 2, 2, 1, 4]",43,4.686
CTRL_OI,int4,sharegpt,sharegpt_93,"[1, 2, 1, 4, 2, 1, 3, 5, 3, 3, 5, 2, 4, 5, 4, 2, 3, 6, 4, 6, 5, 4, 6, 2, 3, 4, 1, 2, 3, 3, 4, 3, 3, 2, 3, 2, 4, 4, 4]",39,4.257
CTRL_OI,int4,sharegpt,sharegpt_95,"[1, 4, 1, 4, 3, 3, 3, 3, 1, 2, 6, 2, 1, 4, 4, 3, 2, 5, 4, 3, 2, 3, 4, 3, 4, 4, 2, 1, 4, 4, 3, 1, 3, 5, 2, 2, 3, 4, 2, 4, 3, 1, 2, 4]",44,4.795
CTRL_OI,int4,sharegpt,sharegpt_96,"[6, 2, 5, 2, 3, 1, 4, 4, 5, 1, 4, 5, 4, 3, 4, 3, 4, 3, 3, 2, 4, 2, 4, 2, 4, 3, 4, 2, 3, 2, 3, 4, 3, 5, 2, 2, 4, 1, 4, 3]",40,4.369
CTRL_OI,int4,sharegpt,sharegpt_99,"[1, 2, 2, 3, 3, 4, 4, 3, 3, 3, 2, 6, 4, 4, 2, 5, 2, 1, 2, 1, 4, 4, 2, 2, 2, 4, 1, 2, 2, 3, 3, 5, 5, 3, 3, 3, 4, 4, 6, 4, 4, 2]",42,4.611
CTRL_OI,int4,sharegpt,sharegpt_105,"[1, 3, 2, 3, 1, 2, 2, 3, 5, 2, 2, 2, 1, 3, 2, 2, 1, 3, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 5, 2, 3, 2, 4, 2, 2, 2, 3, 4, 3, 1, 1, 2, 4, 3, 2, 3, 3, 2, 2, 2, 2]",55,5.951
CTRL_OI,int4,sharegpt,sharegpt_106,"[4, 6, 4, 2, 3, 1, 3, 5, 4, 6, 6, 4, 2, 2, 5, 4, 4, 3, 5, 5, 2, 6, 6, 4, 2, 4, 5, 3, 6, 6]",30,3.338
CTRL_OI,int4,sharegpt,sharegpt_108,"[3, 6, 4, 4, 3, 4, 4, 1, 4, 5, 3, 6, 3, 3, 4, 2, 5, 2, 6, 3, 4, 4, 5, 3, 4, 2, 2, 5, 4, 1, 3, 1, 4, 3, 3, 3, 4]",37,4.068
CTRL_OI,int4,sharegpt,sharegpt_110,"[1, 5, 3, 4, 5, 5, 4, 6, 2, 4, 4, 5, 2, 5, 4, 4, 3, 4, 6, 2, 3, 5, 6, 4, 3, 6, 3, 4, 4, 4, 3, 6]",32,3.521
CTRL_OI,int4,sharegpt,sharegpt_111,"[1, 4, 4, 3, 2, 3, 3, 4, 3, 5, 5, 2, 6, 5, 3, 3, 1, 2, 4, 4, 4, 3, 4, 3, 2, 3, 5, 1, 3, 5, 3, 3, 4, 1, 3, 4, 6, 4]",38,4.159
CTRL_OI,int4,sharegpt,sharegpt_113,"[1, 2, 5, 3, 4, 4, 3, 3, 4, 4, 3, 4, 6, 4, 5, 6, 3, 2, 4, 6, 4, 1, 2, 3, 4, 3, 2, 2, 3, 6, 4, 3, 4, 4, 6, 1]",36,3.937
CTRL_OI,int4,sharegpt,sharegpt_114,"[4, 4, 6, 4, 6, 6, 5, 3, 4, 4, 3, 2, 4, 4, 5, 2, 1, 3, 6, 4, 3, 2, 3, 1, 6, 3, 3, 4, 4, 3, 1, 3, 3, 2, 2, 4, 6]",37,4.038
CTRL_OI,int4,sharegpt,sharegpt_116,"[5, 3, 3, 3, 5, 2, 3, 2, 6, 2, 2, 5, 2, 3, 3, 2, 6, 5, 2, 2, 5, 3, 4, 4, 2, 2, 3, 1, 4, 1, 4, 2, 3, 5, 3, 1, 1, 4, 4, 4, 2]",41,4.465
CTRL_OI,int4,sharegpt,sharegpt_118,"[1, 5, 4, 2, 2, 3, 4, 2, 2, 3, 2, 2, 3, 6, 2, 2, 3, 2, 3, 1, 5, 1, 3, 4, 6, 3, 4, 4, 5, 6, 1, 6, 2, 3, 5, 4, 2, 5, 1, 2, 3]",41,4.451
CTRL_OI,int4,sharegpt,sharegpt_119,"[1, 5, 3, 3, 4, 4, 3, 2, 4, 3, 4, 4, 2, 2, 4, 6, 4, 5, 2, 2, 6, 4, 3, 4, 5, 5, 6, 3, 3, 4, 1, 1, 4, 3, 2, 2, 1, 6]",38,4.146
CTRL_OI,int4,sharegpt,sharegpt_120,"[5, 6, 2, 6, 1, 6, 6, 2, 1, 3, 3, 1, 3, 4, 2, 3, 3, 3, 2, 4, 6, 4, 2, 5, 5, 2, 6, 5, 4, 2, 4, 6, 4, 5, 3]",35,3.829
CTRL_OI,int4,sharegpt,sharegpt_121,"[3, 3, 3, 4, 4, 4, 6, 1, 6, 4, 6, 2, 2, 2, 3, 2, 6, 3, 4, 6, 2, 3, 3, 3, 4, 4, 4, 6, 4, 4, 1, 4, 5, 2, 2, 6]",36,3.961
CTRL_OI,int4,sharegpt,sharegpt_122,"[4, 5, 4, 2, 5, 3, 2, 4, 2, 2, 4, 2, 4, 5, 3, 3, 3, 3, 2, 2, 6, 1, 1, 3, 1, 3, 1, 2, 1, 3, 4, 2, 3, 3, 1, 3, 4, 3, 5, 2, 3, 3, 2, 4]",44,4.819
CTRL_OI,int4,sharegpt,sharegpt_124,"[1, 5, 4, 2, 2, 3, 4, 6, 4, 5, 6, 3, 6, 3, 4, 2, 2, 2, 2, 2, 4, 6, 3, 3, 1, 6, 4, 2, 4, 6, 4, 3, 4, 3, 5, 3]",36,3.992
CTRL_OI,int4,sharegpt,sharegpt_125,"[2, 3, 2, 1, 3, 4, 3, 1, 1, 5, 5, 2, 2, 3, 2, 3, 3, 6, 4, 3, 2, 4, 6, 3, 2, 2, 4, 4, 2, 2, 2, 1, 3, 1, 6, 1, 2, 6, 2, 3, 2, 4, 4, 3]",44,4.818
CTRL_OI,int4,sharegpt,sharegpt_133,"[3, 4, 1, 5, 3, 2, 2, 4, 3, 5, 3, 2, 2, 3, 6, 4, 3, 2, 1, 3, 2, 1, 2, 1, 6, 2, 2, 4, 3, 2, 4, 2, 2, 1, 3, 3, 5, 1, 1, 2, 4, 2, 4, 2, 3, 3]",46,5.064
CTRL_OI,int4,sharegpt,sharegpt_138,"[3, 3, 4, 4, 2, 6, 4, 4, 1, 3, 5, 3, 2, 5, 4, 5, 4, 3, 5, 4, 4, 1, 4, 2, 5, 1, 3, 3, 2, 3, 5, 6, 3, 3, 2, 4, 4]",37,4.073
CTRL_OI,int4,sharegpt,sharegpt_140,"[4, 2, 3, 5, 4, 4, 5, 6, 5, 4, 6, 4, 4, 6, 4, 2, 3, 6, 6, 4, 6, 6, 2, 3, 2, 6, 6, 4, 5, 6]",30,3.358
CTRL_OI,int4,sharegpt,sharegpt_141,"[1, 1, 3, 2, 5, 3, 2, 2, 2, 4, 4, 4, 5, 4, 3, 4, 4, 6, 5, 1, 5, 5, 3, 5, 2, 6, 3, 2, 2, 3, 4, 3, 3, 2, 4, 3, 4, 5]",38,4.219
CTRL_OI,int4,sharegpt,sharegpt_142,"[1, 2, 4, 1, 2, 3, 6, 4, 3, 4, 3, 5, 3, 6, 5, 2, 2, 2, 2, 4, 4, 2, 4, 4, 4, 3, 4, 1, 2, 5, 5, 4, 4, 4, 2, 2, 3, 2, 1, 5]",40,4.415
CTRL_OI,int4,sharegpt,sharegpt_143,"[1, 2, 5, 2, 2, 3, 6, 2, 4, 2, 3, 2, 6, 4, 1, 1, 1, 5, 6, 5, 6, 5, 2, 3, 2, 1, 2, 3, 5, 2, 2, 3, 6, 4, 3, 2, 5, 3, 3, 4]",40,4.418
CTRL_OI,int4,sharegpt,sharegpt_145,"[3, 5, 4, 4, 3, 3, 5, 6, 3, 4, 1, 4, 3, 3, 4, 3, 5, 2, 4, 3, 6, 3, 2, 6, 3, 5, 5, 3, 3, 4, 5, 4, 4, 2, 6]",35,3.927
CTRL_OI,int4,sharegpt,sharegpt_146,"[4, 2, 4, 6, 1, 2, 4, 3, 2, 2, 2, 3, 2, 6, 6, 2, 5, 4, 4, 4, 2, 5, 2, 5, 2, 4, 6, 1, 1, 1, 3, 1, 3, 6, 3, 3, 2, 6, 4]",39,4.317
CTRL_OI,int4,sharegpt,sharegpt_147,"[4, 2, 5, 2, 6, 3, 4, 6, 5, 4, 1, 2, 3, 4, 4, 2, 6, 2, 1, 1, 4, 2, 6, 3, 2, 2, 6, 3, 2, 1, 6, 4, 1, 3, 3, 4, 1, 3, 2, 2, 6]",41,4.552
CTRL_OI,int4,sharegpt,sharegpt_148,"[1, 5, 4, 2, 5, 4, 2, 1, 2, 1, 2, 2, 3, 3, 6, 3, 2, 1, 2, 3, 4, 3, 3, 5, 1, 2, 1, 1, 3, 3, 2, 1, 6, 3, 5, 3, 3, 4, 4, 3, 3, 3, 1, 3, 3, 4]",46,5.045
CTRL_OI,int4,sharegpt,sharegpt_150,"[1, 3, 5, 5, 2, 5, 3, 6, 4, 6, 1, 1, 4, 3, 4, 2, 5, 5, 5, 3, 3, 4, 2, 3, 3, 1, 3, 2, 4, 1, 1, 3, 1, 4, 1, 2, 3, 1, 2, 3, 3, 2, 4]",43,4.714
CTRL_OI,int4,sharegpt,sharegpt_153,"[6, 5, 3, 4, 6, 5, 4, 5, 4, 4, 5, 3, 4, 6, 6, 4, 1, 2, 4, 3, 4, 6, 3, 6, 2, 4, 4, 1, 4, 4, 3, 1, 2]",33,3.65
