tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SR6_s1,int4,humaneval,HumanEval/0,"[5, 2, 2, 4, 6, 4, 5, 2, 4, 3, 2, 3, 6, 6, 5, 1, 6, 6, 5, 4, 6, 3, 6, 3, 5, 4, 5, 6, 6, 5]",30,5.445
SR6_s1,int4,humaneval,HumanEval/1,"[4, 3, 3, 2, 2, 2, 5, 2, 6, 6, 5, 4, 6, 2, 3, 5, 6, 6, 1, 3, 5, 3, 3, 5, 4, 3, 2, 5, 4, 3, 6, 3, 4, 3]",34,4.591
SR6_s1,int4,humaneval,HumanEval/2,"[5, 3, 3, 6, 4, 6, 1, 2, 5, 6, 4, 2, 5, 5, 5, 4, 4, 4, 4, 5, 4, 1, 2, 4, 1, 3, 4, 6, 5, 3, 1, 3, 1, 4, 2, 4]",36,4.806
SR6_s1,int4,humaneval,HumanEval/3,"[6, 3, 1, 5, 6, 4, 2, 6, 1, 4, 4, 4, 5, 3, 2, 6, 2, 5, 2, 3, 3, 6, 2, 5, 5, 1, 3, 4, 4, 2, 4, 4, 4, 3, 4]",35,4.605
SR6_s1,int4,humaneval,HumanEval/4,"[5, 2, 2, 1, 4, 4, 5, 3, 3, 4, 1, 2, 4, 3, 5, 2, 4, 6, 4, 3, 6, 3, 5, 5, 5, 3, 3, 2, 6, 3, 6, 6, 6, 3]",34,4.635
SR6_s1,int4,humaneval,HumanEval/5,"[5, 2, 2, 1, 6, 6, 5, 4, 6, 3, 3, 4, 6, 2, 2, 3, 5, 3, 4, 4, 5, 6, 4, 4, 4, 4, 5, 4, 2, 6, 6, 5]",32,4.356
SR6_s1,int4,humaneval,HumanEval/6,"[5, 2, 4, 1, 4, 6, 6, 4, 4, 3, 2, 2, 5, 2, 4, 6, 3, 3, 2, 5, 3, 3, 3, 3, 2, 4, 3, 2, 2, 4, 1, 6, 2, 3, 1, 3, 4, 4, 4]",39,5.218
SR6_s1,int4,humaneval,HumanEval/7,"[5, 2, 3, 5, 6, 5, 4, 4, 6, 6, 3, 4, 5, 3, 6, 2, 5, 5, 5, 6, 4, 5, 5, 6, 6, 3, 3, 6]",28,3.734
SR6_s1,int4,humaneval,HumanEval/8,"[5, 2, 2, 1, 4, 6, 3, 3, 4, 6, 6, 3, 4, 5, 5, 4, 5, 4, 3, 6, 3, 4, 4, 5, 4, 4, 6, 5, 4, 4, 4]",31,4.982
SR6_s1,int4,humaneval,HumanEval/9,"[4, 3, 3, 4, 4, 6, 5, 6, 1, 2, 5, 6, 4, 3, 6, 4, 6, 4, 4, 5, 4, 6, 6, 6, 6, 3, 2, 4, 6]",29,3.877
SR6_s1,int4,humaneval,HumanEval/10,"[5, 3, 2, 4, 4, 5, 6, 4, 6, 1, 4, 5, 4, 3, 6, 1, 5, 2, 5, 4, 6, 6, 4, 4, 4, 6, 3, 3, 6, 1, 3, 4]",32,4.323
SR6_s1,int4,humaneval,HumanEval/11,"[6, 3, 1, 4, 6, 5, 4, 4, 1, 5, 2, 6, 3, 2, 2, 2, 3, 4, 4, 6, 3, 3, 4, 4, 6, 2, 3, 3, 3, 4, 4, 2, 1, 3, 1, 4, 3, 2]",38,5.153
SR6_s1,int4,humaneval,HumanEval/12,"[4, 5, 4, 4, 4, 2, 6, 1, 6, 4, 3, 4, 4, 2, 5, 4, 6, 4, 6, 6, 4, 6, 5, 3, 4, 2, 4, 6, 3, 6, 3]",31,4.206
SR6_s1,int4,humaneval,HumanEval/13,"[5, 2, 3, 4, 4, 6, 6, 6, 1, 2, 3, 1, 3, 4, 1, 2, 4, 6, 4, 1, 1, 6, 4, 6, 5, 6, 2, 3, 6, 3, 4, 6, 3, 3, 2]",35,4.817
SR6_s1,int4,humaneval,HumanEval/14,"[5, 2, 2, 1, 4, 6, 3, 6, 4, 5, 3, 3, 6, 2, 3, 4, 2, 4, 5, 6, 4, 6, 4, 2, 6, 6, 5, 5, 3, 2, 2, 4, 2, 6]",34,4.72
SR6_s1,int4,humaneval,HumanEval/15,"[5, 3, 1, 5, 4, 5, 6, 4, 4, 1, 3, 1, 3, 3, 3, 1, 3, 1, 6, 2, 3, 3, 5, 4, 3, 4, 4, 3, 3, 6, 2, 1, 4, 2, 4, 6, 4, 4]",38,5.275
SR6_s1,int4,humaneval,HumanEval/16,"[4, 2, 4, 3, 5, 3, 6, 6, 3, 2, 4, 1, 3, 6, 4, 4, 6, 4, 3, 2, 2, 4, 5, 4, 6, 5, 4, 6, 4, 3, 4, 2, 3, 6]",34,4.649
SR6_s1,int4,humaneval,HumanEval/17,"[6, 2, 2, 5, 6, 4, 4, 4, 3, 2, 2, 4, 6, 6, 6, 6, 2, 4, 3, 5, 3, 4, 4, 4, 6, 2, 6, 4, 4, 3, 3, 3]",32,4.516
SR6_s1,int4,humaneval,HumanEval/18,"[6, 1, 2, 1, 4, 6, 5, 4, 4, 4, 4, 6, 5, 1, 6, 1, 5, 6, 6, 5, 6, 2, 6, 4, 4, 3, 4, 2, 2, 1, 4, 3, 1, 2, 4]",35,4.737
SR6_s1,int4,humaneval,HumanEval/19,"[4, 2, 2, 2, 3, 4, 6, 5, 4, 5, 6, 2, 4, 4, 4, 1, 5, 2, 4, 1, 3, 4, 4, 2, 1, 4, 4, 4, 3, 3, 2, 1, 5, 5, 4, 3, 2, 5]",38,5.208
SR6_s1,int4,humaneval,HumanEval/20,"[4, 3, 2, 3, 1, 4, 5, 6, 6, 2, 4, 3, 6, 5, 6, 2, 4, 3, 4, 3, 4, 2, 3, 6, 4, 4, 3, 4, 4, 4, 4, 3, 3, 2, 2]",35,4.818
SR6_s1,int4,humaneval,HumanEval/21,"[4, 3, 4, 6, 4, 5, 2, 6, 1, 5, 6, 6, 4, 3, 4, 5, 6, 6, 4, 5, 4, 6, 5, 5, 6, 6, 6, 6]",28,3.926
SR6_s1,int4,humaneval,HumanEval/22,"[6, 4, 4, 4, 3, 6, 4, 5, 5, 3, 5, 1, 4, 3, 3, 2, 3, 2, 4, 3, 6, 4, 3, 1, 1, 1, 5, 6, 3, 3, 2, 3, 5, 3, 2, 4, 5]",37,5.117
SR6_s1,int4,humaneval,HumanEval/23,"[6, 3, 1, 4, 5, 5, 3, 5, 5, 3, 3, 4, 3, 4, 4, 4, 2, 2, 3, 4, 4, 4, 3, 3, 1, 3, 5, 2, 5, 1, 2, 4, 4, 2, 2, 4, 6]",37,5.028
SR6_s1,int4,humaneval,HumanEval/24,"[5, 2, 3, 3, 2, 4, 4, 6, 3, 6, 2, 4, 1, 4, 5, 4, 2, 5, 2, 5, 6, 4, 4, 4, 4, 4, 6, 2, 2, 4, 3, 2, 3, 3, 4, 3]",36,4.863
SR6_s1,int4,humaneval,HumanEval/25,"[6, 3, 2, 2, 5, 6, 3, 6, 2, 2, 5, 4, 5, 2, 3, 5, 4, 4, 3, 1, 3, 2, 2, 5, 2, 6, 4, 4, 6, 6, 4, 4, 2, 2, 2, 2]",36,4.863
SR6_s1,int4,humaneval,HumanEval/26,"[4, 3, 4, 4, 5, 6, 3, 5, 6, 2, 1, 2, 3, 2, 4, 5, 4, 4, 3, 5, 6, 2, 5, 6, 3, 3, 2, 3, 6, 4, 4, 1, 5, 6]",34,4.709
SR6_s1,int4,humaneval,HumanEval/27,"[5, 3, 1, 4, 6, 3, 6, 1, 5, 4, 4, 3, 5, 1, 5, 5, 6, 4, 1, 2, 3, 4, 4, 4, 3, 4, 4, 2, 3, 2, 4, 2, 4, 2, 4, 4, 3]",37,5.112
SR6_s1,int4,humaneval,HumanEval/28,"[5, 1, 3, 4, 5, 4, 6, 6, 4, 6, 5, 4, 2, 2, 5, 3, 4, 1, 4, 4, 3, 1, 3, 3, 2, 5, 6, 5, 5, 4, 2, 2, 6, 3]",34,4.668
SR6_s1,int4,humaneval,HumanEval/29,"[5, 2, 2, 1, 4, 6, 6, 3, 6, 5, 6, 5, 6, 6, 4, 6, 6, 6, 6, 4, 4, 3, 6, 4, 4, 3, 3, 3, 4]",29,4.063
SR6_s1,int4,humaneval,HumanEval/30,"[6, 3, 1, 4, 6, 4, 2, 4, 5, 4, 3, 2, 4, 6, 5, 5, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 4, 5, 4, 4, 2, 2, 1, 3, 4]",35,4.855
SR6_s1,int4,humaneval,HumanEval/31,"[4, 3, 2, 1, 4, 4, 6, 5, 3, 3, 4, 4, 6, 2, 3, 3, 4, 2, 5, 3, 1, 4, 3, 4, 1, 3, 2, 4, 3, 2, 6, 5, 6, 4, 2, 5, 3]",37,5.146
SR6_s1,int4,humaneval,HumanEval/32,"[5, 2, 2, 4, 4, 5, 4, 4, 4, 4, 4, 6, 1, 5, 4, 3, 4, 6, 2, 5, 3, 4, 5, 6, 6, 5, 3, 2, 4, 4, 4, 5]",32,4.476
SR6_s1,int4,humaneval,HumanEval/33,"[5, 2, 2, 2, 5, 1, 4, 6, 4, 3, 2, 2, 4, 3, 4, 4, 2, 6, 4, 5, 5, 3, 5, 4, 4, 6, 1, 4, 2, 6, 6, 4, 5, 5]",34,4.731
SR6_s1,int4,humaneval,HumanEval/34,"[5, 2, 2, 1, 4, 5, 4, 3, 3, 3, 4, 5, 4, 4, 4, 2, 4, 1, 6, 5, 4, 4, 4, 1, 3, 4, 2, 1, 1, 1, 5, 1, 4, 3, 4, 6, 6, 5]",38,5.164
SR6_s1,int4,humaneval,HumanEval/35,"[6, 3, 1, 4, 6, 6, 4, 3, 4, 5, 4, 5, 5, 4, 3, 4, 2, 4, 3, 4, 6, 3, 6, 2, 2, 5, 2, 4, 4, 4, 3, 2, 6]",33,4.44
SR6_s1,int4,humaneval,HumanEval/36,"[4, 2, 2, 1, 6, 6, 4, 3, 2, 3, 4, 2, 4, 3, 2, 4, 4, 4, 4, 2, 1, 6, 6, 4, 6, 2, 3, 2, 4, 3, 6, 5, 6, 4, 6]",35,4.777
SR6_s1,int4,humaneval,HumanEval/37,"[6, 2, 2, 5, 1, 6, 6, 6, 6, 5, 3, 5, 3, 3, 3, 4, 3, 4, 3, 4, 4, 6, 3, 1, 2, 2, 3, 4, 4, 4, 4, 2, 3, 5, 4]",35,4.795
SR6_s1,int4,humaneval,HumanEval/38,"[4, 4, 6, 4, 4, 6, 6, 2, 6, 5, 4, 5, 1, 5, 5, 4, 4, 5, 3, 4, 1, 3, 4, 5, 5, 3, 4, 4, 6, 4, 5]",31,4.252
SR6_s1,int4,humaneval,HumanEval/39,"[4, 2, 3, 4, 6, 4, 6, 4, 2, 2, 2, 4, 1, 3, 1, 2, 4, 2, 4, 3, 4, 1, 4, 4, 6, 1, 3, 3, 3, 4, 6, 4, 4, 4, 3, 3, 2, 4, 4]",39,5.288
SR6_s1,int4,humaneval,HumanEval/40,"[6, 4, 6, 3, 2, 4, 6, 6, 6, 2, 2, 2, 5, 2, 4, 4, 6, 2, 6, 3, 1, 3, 3, 5, 3, 2, 6, 6, 1, 4, 5, 3, 2, 1, 3]",35,4.804
SR6_s1,int4,humaneval,HumanEval/41,"[3, 3, 4, 3, 4, 3, 4, 4, 6, 6, 5, 2, 5, 2, 2, 4, 2, 2, 1, 4, 6, 4, 4, 4, 3, 3, 1, 4, 2, 5, 6, 4, 3, 3, 6, 2]",36,4.902
SR6_s1,int4,humaneval,HumanEval/42,"[4, 3, 3, 1, 2, 2, 5, 6, 6, 5, 4, 3, 6, 6, 4, 6, 3, 4, 4, 3, 2, 6, 4, 3, 4, 5, 4, 4, 6, 6, 6]",31,4.256
SR6_s1,int4,humaneval,HumanEval/43,"[6, 2, 5, 5, 2, 4, 6, 6, 6, 4, 4, 6, 4, 5, 6, 4, 5, 6, 2, 2, 3, 4, 4, 2, 4, 5, 4, 3, 3, 4, 3]",31,4.164
SR6_s1,int4,humaneval,HumanEval/44,"[5, 2, 4, 6, 6, 5, 3, 3, 6, 5, 4, 6, 5, 4, 4, 5, 3, 3, 5, 3, 4, 1, 4, 4, 5, 4, 4, 6, 3, 3, 3]",31,4.227
SR6_s1,int4,humaneval,HumanEval/45,"[5, 4, 4, 4, 4, 6, 4, 3, 4, 2, 1, 4, 3, 5, 6, 2, 5, 2, 4, 6, 1, 4, 3, 3, 1, 5, 5, 2, 4, 1, 2, 4, 6, 6, 4]",35,4.846
SR6_s1,int4,humaneval,HumanEval/46,"[4, 5, 4, 2, 4, 2, 4, 6, 6, 1, 2, 6, 6, 6, 4, 6, 6, 6, 6, 5, 5, 4, 6, 4, 6, 6, 4, 3]",28,4.301
SR6_s1,int4,humaneval,HumanEval/47,"[4, 3, 2, 4, 4, 4, 2, 2, 4, 4, 2, 4, 6, 5, 4, 4, 4, 4, 3, 4, 6, 5, 2, 5, 4, 5, 3, 4, 4, 4, 3, 2, 4, 4]",34,6.245
SR6_s1,int4,humaneval,HumanEval/48,"[5, 2, 3, 4, 6, 4, 4, 5, 6, 6, 4, 4, 2, 3, 1, 2, 4, 1, 2, 3, 4, 6, 2, 1, 1, 5, 6, 4, 5, 6, 3, 6, 6, 6]",34,4.469
SR6_s1,int4,humaneval,HumanEval/49,"[4, 3, 3, 1, 1, 6, 3, 6, 6, 3, 2, 4, 3, 3, 3, 6, 4, 5, 4, 6, 4, 2, 6, 3, 6, 1, 3, 4, 4, 3, 4, 6, 3, 2, 3]",35,4.686
SR6_s1,int4,humaneval,HumanEval/50,"[6, 2, 3, 4, 4, 6, 1, 2, 6, 6, 6, 6, 5, 5, 4, 4, 6, 4, 3, 4, 6, 4, 6, 4, 5, 6, 3, 5, 4]",29,3.938
SR6_s1,int4,humaneval,HumanEval/51,"[4, 4, 1, 4, 6, 6, 5, 4, 2, 4, 4, 1, 2, 2, 1, 2, 3, 2, 2, 6, 5, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 4, 5, 3, 6, 4]",37,5.004
SR6_s1,int4,humaneval,HumanEval/52,"[6, 2, 1, 4, 6, 3, 4, 3, 4, 5, 4, 5, 3, 3, 2, 3, 3, 3, 3, 4, 5, 4, 5, 4, 6, 2, 2, 4, 4, 2, 1, 5, 1, 6, 4, 4]",36,4.961
SR6_s1,int4,humaneval,HumanEval/53,"[4, 3, 4, 6, 6, 6, 5, 6, 2, 3, 3, 4, 6, 6, 3, 4, 2, 4, 2, 3, 3, 4, 4, 5, 1, 4, 3, 4, 3, 2, 3, 6, 5]",33,4.683
SR6_s1,int4,humaneval,HumanEval/54,"[4, 2, 3, 4, 6, 1, 4, 5, 5, 6, 1, 2, 1, 4, 2, 4, 5, 3, 2, 4, 1, 4, 4, 6, 6, 4, 4, 5, 4, 3, 3, 4, 4, 5, 4]",35,4.778
SR6_s1,int4,humaneval,HumanEval/55,"[6, 3, 1, 4, 4, 4, 2, 5, 2, 6, 5, 6, 6, 6, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 6, 2, 6, 4, 5, 3, 1, 2, 2]",34,4.75
SR6_s1,int4,humaneval,HumanEval/56,"[5, 2, 2, 1, 2, 3, 1, 4, 6, 4, 5, 5, 3, 4, 1, 3, 2, 4, 4, 6, 3, 4, 4, 6, 4, 3, 4, 3, 4, 6, 4, 6, 2, 4, 6]",35,4.826
SR6_s1,int4,humaneval,HumanEval/57,"[5, 2, 3, 4, 6, 5, 3, 3, 5, 6, 3, 2, 1, 1, 4, 4, 6, 2, 2, 3, 5, 4, 5, 2, 3, 4, 4, 3, 2, 6, 4, 6, 4, 6]",34,4.787
SR6_s1,int4,humaneval,HumanEval/58,"[5, 3, 2, 4, 6, 5, 6, 2, 1, 2, 2, 4, 3, 6, 6, 5, 4, 5, 4, 5, 3, 2, 3, 4, 2, 4, 4, 4, 4, 3, 4, 4, 6, 1]",34,4.695
SR6_s1,int4,humaneval,HumanEval/59,"[6, 3, 4, 6, 4, 4, 4, 2, 3, 2, 6, 6, 1, 2, 2, 4, 3, 1, 6, 4, 4, 4, 2, 1, 5, 5, 3, 6, 4, 6, 6, 1, 1, 4, 1, 2]",36,4.95
SR6_s1,int4,humaneval,HumanEval/60,"[6, 4, 5, 4, 6, 6, 3, 2, 4, 4, 6, 4, 2, 3, 3, 4, 6, 2, 3, 3, 6, 4, 4, 5, 2, 3, 4, 4, 4, 3, 5, 4]",32,4.354
SR6_s1,int4,humaneval,HumanEval/61,"[5, 2, 2, 1, 2, 3, 1, 4, 6, 5, 5, 2, 2, 1, 4, 4, 2, 1, 4, 2, 6, 3, 6, 5, 3, 5, 1, 3, 6, 3, 3, 5, 2, 5, 4, 4, 2, 6]",38,5.183
SR6_s1,int4,humaneval,HumanEval/62,"[4, 3, 3, 3, 3, 4, 2, 5, 1, 3, 5, 3, 3, 3, 4, 5, 6, 1, 3, 4, 5, 4, 2, 4, 1, 2, 2, 5, 2, 3, 6, 3, 2, 5, 3, 3, 2, 2, 2, 2]",40,5.475
SR6_s1,int4,humaneval,HumanEval/63,"[4, 4, 2, 3, 6, 4, 4, 4, 3, 5, 2, 6, 4, 6, 6, 6, 6, 4, 5, 4, 6, 5, 5, 4, 3, 3, 5, 4, 3, 3]",30,4.885
SR6_s1,int4,humaneval,HumanEval/64,"[5, 2, 4, 6, 5, 4, 1, 1, 1, 2, 4, 2, 4, 1, 3, 6, 6, 5, 5, 3, 4, 2, 2, 4, 2, 5, 3, 2, 2, 6, 2, 4, 3, 3, 1, 1, 3, 6, 1, 2]",40,5.525
SR6_s1,int4,humaneval,HumanEval/65,"[4, 5, 4, 1, 2, 1, 4, 6, 5, 4, 4, 5, 3, 4, 4, 3, 4, 3, 3, 6, 1, 2, 5, 2, 4, 4, 6, 6, 3, 3, 2, 3, 2, 2, 6, 3]",36,4.896
SR6_s1,int4,humaneval,HumanEval/66,"[4, 4, 1, 4, 5, 4, 3, 6, 6, 6, 6, 3, 5, 4, 6, 2, 4, 5, 4, 6, 6, 4, 3, 6, 4, 4, 6, 4, 4]",29,4.007
SR6_s1,int4,humaneval,HumanEval/67,"[6, 2, 1, 4, 6, 1, 5, 1, 4, 6, 6, 4, 5, 2, 6, 3, 4, 2, 3, 4, 2, 3, 5, 2, 3, 5, 4, 3, 4, 5, 3, 6, 6, 3]",34,5.721
