tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SRT_RESCUE,int4,mtbench,81,"[4, 3, 2, 1, 4, 4, 1, 3, 4, 6, 3, 3, 1, 3, 2, 1, 2, 1, 3, 1, 3, 2, 5, 2, 4, 3, 3, 3, 4, 2, 3, 5, 3, 2, 4, 3, 2, 3, 3, 2, 3, 3, 1, 5, 4]",45,7.935
SRT_RESCUE,int4,mtbench,82,"[4, 2, 2, 2, 4, 4, 3, 6, 4, 3, 3, 5, 2, 3, 5, 2, 3, 2, 4, 2, 2, 3, 6, 3, 4, 1, 4, 1, 4, 3, 4, 1, 2, 4, 2, 2, 4, 1, 2, 1, 4, 3, 3]",43,6.818
SRT_RESCUE,int4,mtbench,83,"[3, 4, 4, 2, 6, 2, 6, 6, 2, 2, 4, 4, 2, 4, 1, 3, 2, 1, 1, 2, 3, 1, 4, 3, 1, 4, 2, 3, 2, 3, 2, 4, 4, 1, 3, 2, 1, 2, 2, 3, 4, 1, 3, 3, 1, 4, 3]",47,5.98
SRT_RESCUE,int4,mtbench,84,"[3, 1, 2, 1, 2, 2, 2, 4, 4, 6, 5, 4, 4, 2, 2, 3, 5, 4, 5, 3, 4, 2, 5, 3, 2, 2, 4, 2, 4, 1, 5, 5, 4, 2, 3, 3, 2, 1, 2, 2, 1, 3, 3]",43,5.464
SRT_RESCUE,int4,mtbench,85,"[1, 4, 5, 4, 4, 2, 1, 3, 3, 3, 4, 2, 2, 1, 3, 2, 3, 4, 2, 2, 4, 1, 2, 3, 6, 4, 2, 4, 3, 2, 2, 2, 3, 2, 2, 2, 2, 1, 3, 2, 4, 2, 1, 3, 3, 2, 4, 2]",48,6.109
SRT_RESCUE,int4,mtbench,86,"[3, 3, 6, 3, 4, 4, 3, 4, 1, 1, 2, 5, 2, 4, 2, 2, 2, 1, 3, 1, 3, 4, 2, 1, 3, 2, 3, 4, 3, 2, 4, 1, 1, 1, 2, 4, 6, 1, 1, 2, 2, 1, 3, 2, 3, 3, 2, 3, 4]",49,6.245
SRT_RESCUE,int4,mtbench,87,"[2, 4, 4, 1, 5, 4, 3, 1, 3, 3, 2, 2, 4, 2, 2, 2, 4, 2, 5, 2, 3, 4, 2, 2, 2, 3, 2, 3, 3, 1, 6, 3, 1, 2, 2, 3, 3, 3, 3, 1, 2, 6, 2, 3, 3, 2, 2]",47,5.945
SRT_RESCUE,int4,mtbench,88,"[2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 4, 1, 1, 3, 2, 2, 2, 6, 1, 2, 3, 2, 4, 3, 1, 1, 3, 1, 1, 3, 2, 2, 3, 2, 3, 2, 3, 4, 2, 2, 2, 1, 5, 2, 1, 2, 3, 2, 2, 4, 4, 3, 2]",54,6.828
SRT_RESCUE,int4,mtbench,89,"[3, 4, 4, 2, 3, 4, 3, 4, 4, 2, 3, 4, 3, 3, 4, 3, 4, 5, 5, 4, 3, 3, 3, 4, 4, 4, 1, 2, 5, 3, 4, 1, 5, 4, 2, 3, 4, 3]",38,4.863
SRT_RESCUE,int4,mtbench,90,"[1, 3, 1, 2, 4, 3, 2, 3, 4, 3, 2, 1, 4, 4, 3, 2, 4, 3, 2, 2, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 5, 2, 4, 3, 6, 4, 2, 3, 1, 2, 3, 5]",42,5.377
SRT_RESCUE,int4,mtbench,91,"[1, 4, 2, 6, 3, 3, 3, 2, 2, 4, 5, 3, 3, 1, 2, 4, 4, 2, 4, 2, 3, 4, 1, 2, 2, 4, 4, 2, 3, 3, 6, 4, 4, 2, 2, 3, 1, 4, 2, 2, 2, 2, 1, 2, 2, 2]",46,5.87
