tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_0,"[4, 4, 4, 5, 6, 6, 4, 4, 5, 4, 3, 2, 6, 2, 3, 4, 6, 4, 2, 6, 5, 3, 4, 4, 3, 2, 3, 6, 3, 2, 4, 3, 6]",33,5.921
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_1,"[3, 3, 3, 3, 6, 2, 6, 6, 3, 2, 1, 3, 5, 3, 2, 1, 3, 1, 6, 3, 3, 5, 2, 1, 2, 4, 4, 1, 6, 4, 2, 3, 2, 2, 1, 2, 1, 3, 3, 4, 2, 3, 2, 4]",44,6.992
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_2,"[1, 5, 4, 4, 3, 3, 6, 4, 5, 6, 4, 3, 4, 4, 2, 2, 3, 2, 3, 6, 3, 4, 6, 4, 4, 2, 4, 4, 6, 4, 1, 2, 1, 3, 6]",35,4.448
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_4,"[3, 3, 2, 5, 3, 3, 2, 2, 4, 2, 1, 2, 4, 1, 1, 1, 2, 4, 5, 4, 3, 2, 2, 3, 2, 4, 4, 3, 3, 4, 4, 2, 3, 3, 4, 3, 4, 3, 6, 4, 3, 3, 6]",43,5.467
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_5,"[3, 4, 4, 3, 4, 2, 6, 2, 3, 3, 4, 4, 3, 3, 6, 3, 3, 4, 4, 4, 2, 4, 2, 4, 3, 1, 4, 4, 3, 6, 2, 4, 2, 4, 2, 3, 1, 1, 4]",39,4.955
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_6,"[4, 6, 4, 4, 3, 6, 6, 6, 2, 4, 2, 2, 1, 4, 5, 2, 4, 1, 2, 3, 4, 2, 3, 3, 4, 3, 3, 6, 2, 2, 4, 3, 1, 6, 4, 4, 5]",37,4.76
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_8,"[4, 2, 3, 3, 3, 1, 6, 4, 4, 4, 3, 2, 2, 3, 3, 1, 5, 2, 1, 3, 2, 2, 2, 3, 2, 1, 5, 4, 4, 4, 4, 1, 5, 2, 1, 3, 2, 4, 2, 4, 3, 2, 1, 5, 1]",45,8.187
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_9,"[4, 6, 3, 3, 5, 2, 3, 6, 4, 1, 1, 3, 2, 2, 1, 1, 4, 2, 1, 6, 4, 3, 4, 3, 5, 5, 2, 1, 1, 3, 2, 3, 4, 2, 4, 5, 1, 2, 2, 1, 1, 1, 3, 6]",44,7.685
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_10,"[3, 1, 3, 4, 2, 2, 2, 4, 2, 4, 4, 2, 3, 5, 3, 5, 3, 4, 5, 2, 2, 3, 5, 3, 4, 4, 3, 4, 3, 1, 3, 2, 6, 4, 4, 2, 2, 1, 2, 3, 4]",41,6.906
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_13,"[1, 4, 3, 2, 4, 6, 2, 5, 2, 4, 2, 4, 4, 2, 2, 6, 2, 4, 3, 1, 2, 3, 4, 3, 1, 1, 2, 3, 4, 2, 1, 2, 3, 4, 2, 3, 4, 3, 4, 4, 4, 2, 3, 2]",44,6.649
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_15,"[1, 2, 3, 4, 2, 2, 3, 5, 6, 3, 3, 4, 3, 4, 3, 5, 4, 3, 2, 3, 3, 5, 2, 4, 4, 2, 2, 1, 2, 2, 3, 3, 4, 4, 3, 1, 5, 3, 1, 3, 3, 5]",42,5.427
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_16,"[1, 5, 3, 2]",4,0.638
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_19,"[3, 3, 5, 3, 2, 4, 5, 2, 4, 2, 2, 5, 3, 4, 3, 3, 3, 4, 3, 2, 1, 2, 6, 3, 2, 2, 2, 3, 3, 4, 3, 3, 3, 3, 2, 2, 4, 4, 4, 2, 5]",41,5.286
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_23,"[1, 4, 3, 4, 2, 6, 3, 2, 2, 4, 4, 1, 2, 3, 2, 1, 3, 4, 2, 3, 4, 4, 1, 2, 3, 6, 6, 3, 3, 3, 1, 3, 3, 2, 3, 3, 6, 4, 4, 2, 2, 5]",42,5.394
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_24,"[1, 5, 4, 2, 2, 3, 5, 6, 2, 2, 2, 3, 2, 4, 3, 4, 4, 2, 1, 2, 1, 3, 3, 4, 3, 5, 2, 2, 4, 2, 6, 2, 2, 4, 2, 4, 6, 3, 3, 5, 2, 3]",42,5.427
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_25,"[1, 2, 3, 4, 6, 4, 4, 4, 3, 3, 3, 4, 4, 3, 5, 4, 6, 2, 3, 4, 2, 5, 1, 2, 4, 2, 3, 5, 2, 4, 2, 2, 2, 3, 2, 4, 5, 2, 4]",39,5.051
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_26,"[3, 6, 4, 5, 4, 3, 6, 6, 4, 4, 6, 2, 6, 4, 5, 6, 6, 1, 3, 1, 4, 2, 2, 2, 2, 2, 3, 4, 1, 1, 2, 3, 1, 4, 3, 3, 4]",37,4.809
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_28,"[1, 5, 4, 2, 2, 5, 3, 1, 1, 1, 5, 2, 4, 3, 3, 3, 5, 3, 1, 3, 1, 2, 3, 5, 4, 2, 3, 2, 4, 3, 1, 2, 3, 4, 1, 3, 4, 1, 2, 2, 2, 3, 2, 1, 1, 4, 4, 3]",48,6.178
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_29,"[4, 4, 5, 4, 2, 4, 6, 3, 4, 4, 4, 2, 4, 5, 3, 6, 4, 1, 4, 3, 3, 2, 5, 2, 6, 1, 1, 1, 6, 4, 5, 4, 2, 3, 2, 6]",36,4.962
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_31,"[1, 2, 4, 6, 5, 3, 4, 4, 5, 4, 4, 3, 5, 3, 2, 6, 3, 4, 5, 4, 4, 4, 2, 3, 5, 3, 4, 3, 2, 4, 3, 3, 3, 4, 6]",35,5.755
CFIN_QH_lsr5_s0,int4,sharegpt,sharegpt_34,"[6, 2, 6, 3, 4, 3, 1, 4, 5, 2, 2, 4, 2, 3, 3, 3, 2, 2, 3, 4, 4, 6, 5, 6, 5, 5, 6, 1, 1, 6, 5, 6, 6, 5]",34,5.608
