tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/0,"[4, 4, 3, 6, 6, 6, 5, 1, 2, 2, 3, 4, 6, 4, 4, 2, 2, 2, 2, 6, 3, 3, 5, 2, 2, 4, 3, 3, 5, 4, 6, 4, 3, 6, 4]",35,6.561
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/1,"[5, 2, 4, 3, 2, 4, 3, 4, 6, 6, 4, 5, 4, 4, 6, 4, 4, 3, 3, 6, 3, 6, 5, 3, 4, 6, 4, 4, 5, 4, 4]",31,5.462
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/2,"[4, 5, 4, 6, 5, 3, 3, 4, 3, 6, 4, 5, 2, 6, 3, 1, 4, 6, 4, 6, 4, 5, 2, 2, 3, 4, 4, 3, 4, 6, 2, 5]",32,5.584
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/3,"[6, 3, 1, 4, 6, 3, 2, 2, 4, 1, 2, 3, 3, 6, 4, 1, 3, 4, 5, 3, 6, 4, 6, 4, 2, 2, 4, 1, 4, 6, 4, 4, 3, 4, 4, 2, 3]",37,6.469
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/4,"[4, 3, 3, 6, 6, 4, 4, 6, 3, 4, 4, 3, 1, 2, 2, 4, 5, 4, 4, 3, 6, 3, 5, 4, 4, 6, 4, 4, 2, 4, 2, 4, 2, 4]",34,5.953
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/5,"[4, 4, 2, 4, 4, 5, 4, 4, 4, 4, 1, 3, 4, 4, 4, 2, 3, 5, 3, 4, 3, 6, 4, 5, 4, 5, 4, 6, 4, 1, 3, 4, 3, 3, 4]",35,5.128
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/6,"[4, 3, 2, 2, 1, 4, 6, 6, 4, 4, 4, 1, 4, 2, 3, 3, 2, 4, 4, 3, 2, 5, 2, 4, 4, 4, 4, 1, 4, 1, 3, 3, 4, 4, 3, 1, 3, 5, 2, 5]",40,5.381
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/7,"[4, 3, 2, 3, 3, 6, 5, 4, 4, 4, 5, 3, 3, 3, 4, 5, 6, 4, 3, 3, 6, 6, 3, 5, 2, 4, 6, 4, 3, 3, 3, 6]",32,4.329
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/8,"[4, 3, 2, 3, 4, 6, 5, 4, 4, 1, 6, 5, 6, 6, 4, 6, 5, 4, 6, 5, 4, 4, 3, 6, 4, 6, 4, 4, 5]",29,3.914
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/9,"[4, 3, 4, 3, 4, 5, 3, 3, 4, 2, 1, 4, 4, 6, 3, 1, 2, 4, 3, 4, 4, 6, 3, 5, 1, 4, 4, 5, 4, 3, 5, 5, 3, 4, 5]",35,4.735
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/10,"[6, 4, 2, 5, 6, 3, 4, 5, 4, 4, 2, 5, 4, 3, 3, 5, 3, 3, 4, 4, 6, 6, 6, 6, 4, 4, 5, 4, 4, 3, 3]",31,4.149
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/11,"[4, 3, 2, 3, 4, 6, 3, 4, 4, 3, 5, 3, 4, 6, 4, 3, 2, 2, 1, 3, 6, 4, 6, 2, 3, 4, 3, 3, 1, 1, 1, 1, 2, 3, 4, 6, 3, 1, 6]",39,5.25
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/12,"[4, 3, 2, 4, 5, 4, 6, 4, 4, 4, 2, 4, 5, 6, 6, 5, 4, 2, 6, 3, 4, 2, 2, 6, 4, 6, 5, 2, 6, 6, 3]",31,4.256
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/13,"[4, 4, 2, 4, 6, 6, 4, 6, 1, 2, 4, 1, 2, 2, 5, 3, 3, 2, 4, 2, 4, 5, 4, 4, 3, 3, 3, 5, 4, 3, 6, 6, 4, 4, 5]",35,4.732
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/14,"[4, 3, 4, 3, 6, 4, 6, 4, 5, 2, 5, 1, 5, 4, 6, 3, 2, 6, 1, 4, 5, 3, 4, 5, 6, 6, 4, 6, 4, 3, 4]",31,4.104
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/15,"[5, 3, 1, 3, 3, 5, 5, 6, 4, 4, 2, 3, 3, 6, 1, 3, 5, 4, 6, 4, 2, 4, 4, 6, 4, 5, 4, 5, 3, 3, 2, 3, 1, 1, 2, 2, 6]",37,4.801
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/16,"[6, 5, 2, 6, 1, 4, 6, 6, 6, 1, 3, 6, 4, 5, 5, 2, 4, 5, 4, 2, 4, 5, 5, 2, 4, 3, 4, 4, 5, 4, 4, 4]",32,4.161
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/17,"[4, 2, 4, 4, 6, 4, 4, 5, 3, 3, 4, 2, 3, 2, 3, 4, 3, 2, 4, 3, 5, 6, 3, 3, 4, 2, 2, 3, 2, 3, 3, 4, 1, 2, 5, 3, 4, 3, 3]",39,5.078
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/18,"[4, 2, 3, 3, 3, 6, 3, 4, 4, 4, 6, 6, 2, 2, 5, 6, 4, 4, 6, 4, 4, 3, 6, 4, 4, 3, 4, 2, 5, 5, 2, 3, 4]",33,4.284
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/19,"[5, 3, 2, 3, 4, 6, 4, 5, 1, 3, 6, 4, 4, 3, 6, 2, 5, 3, 5, 4, 3, 2, 3, 2, 5, 6, 5, 6, 6, 4, 4, 4]",32,4.181
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/20,"[5, 2, 4, 2, 4, 5, 6, 6, 2, 4, 4, 4, 1, 2, 5, 6, 4, 6, 3, 4, 5, 6, 6, 3, 6, 6, 6, 5, 4, 3]",30,3.941
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/21,"[6, 4, 4, 6, 4, 4, 3, 3, 1, 4, 5, 4, 4, 4, 3, 4, 5, 4, 2, 4, 5, 6, 6, 6, 6, 6, 5, 4, 5, 6]",30,3.899
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/22,"[4, 3, 3, 2, 3, 4, 3, 6, 4, 3, 6, 1, 3, 4, 4, 6, 4, 3, 6, 4, 4, 4, 6, 4, 4, 3, 6, 6, 6, 5, 6]",31,4.12
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/23,"[5, 4, 1, 5, 4, 5, 4, 4, 2, 6, 3, 3, 4, 4, 4, 3, 4, 4, 3, 6, 2, 6, 3, 4, 4, 5, 3, 4, 2, 4, 3, 6, 6]",33,4.353
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/24,"[4, 4, 2, 4, 4, 3, 4, 6, 4, 6, 5, 3, 5, 4, 6, 4, 4, 3, 6, 2, 6, 3, 5, 6, 5, 1, 3, 3, 4, 4, 4, 3]",32,4.275
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/25,"[5, 1, 3, 2, 2, 4, 6, 2, 4, 4, 3, 2, 6, 4, 4, 1, 5, 3, 5, 4, 4, 4, 3, 3, 3, 6, 4, 3, 1, 2, 5, 4, 1, 6, 2, 3, 3, 4]",38,4.998
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/26,"[6, 3, 4, 4, 4, 6, 3, 3, 6, 1, 2, 3, 2, 3, 6, 4, 3, 2, 4, 5, 4, 4, 2, 6, 6, 4, 3, 6, 6, 2, 5, 6]",32,4.341
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/27,"[4, 2, 2, 1, 4, 6, 4, 4, 2, 5, 6, 5, 4, 2, 6, 5, 6, 4, 2, 6, 4, 4, 3, 4, 4, 4, 4, 2, 2, 4, 4, 6, 4]",33,5.897
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/28,"[4, 2, 5, 5, 6, 6, 4, 5, 4, 6, 4, 2, 2, 4, 3, 2, 4, 4, 3, 4, 1, 6, 5, 5, 3, 2, 5, 3, 5, 2, 5, 3, 4]",33,4.969
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/29,"[4, 5, 4, 6, 6, 4, 4, 3, 2, 5, 5, 4, 3, 1, 6, 3, 4, 3, 6, 6, 4, 5, 4, 3, 4, 5, 5, 2, 5, 4, 5]",31,4.189
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/30,"[4, 3, 2, 4, 3, 4, 6, 4, 2, 2, 4, 4, 4, 6, 4, 5, 3, 4, 1, 4, 3, 4, 3, 4, 4, 2, 6, 2, 4, 5, 6, 3, 4, 3, 4]",35,4.759
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/31,"[4, 3, 2, 1, 4, 5, 6, 5, 3, 3, 5, 4, 3, 6, 4, 6, 5, 5, 5, 4, 2, 5, 6, 3, 4, 4, 4, 3, 3, 4, 4, 4]",32,4.314
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/32,"[6, 3, 4, 4, 5, 4, 6, 3, 4, 3, 5, 2, 5, 4, 3, 2, 6, 3, 3, 4, 2, 4, 4, 6, 5, 6, 4, 2, 5, 4, 6, 6]",32,4.357
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/33,"[6, 1, 2, 2, 5, 1, 4, 6, 6, 1, 2, 2, 2, 3, 5, 4, 3, 4, 3, 5, 5, 4, 2, 6, 4, 6, 4, 6, 6, 2, 2, 5, 1, 1, 3, 5]",36,4.877
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/34,"[4, 4, 3, 2, 4, 4, 4, 5, 3, 6, 3, 4, 4, 3, 2, 1, 5, 5, 2, 5, 4, 6, 6, 4, 6, 4, 3, 6, 4, 4, 3, 5]",32,4.384
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/35,"[4, 3, 2, 3, 4, 4, 6, 4, 3, 4, 4, 4, 4, 2, 4, 4, 5, 3, 6, 2, 2, 4, 6, 5, 4, 3, 2, 5, 2, 2, 2, 4, 4, 3, 4, 5]",36,4.909
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/36,"[4, 2, 3, 4, 6, 3, 3, 4, 3, 1, 6, 5, 4, 2, 3, 3, 2, 3, 4, 2, 4, 4, 3, 4, 4, 2, 4, 6, 3, 2, 5, 5, 2, 3, 2, 2, 2, 2, 4]",39,5.278
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/37,"[4, 2, 4, 5, 1, 6, 6, 5, 1, 4, 5, 3, 2, 5, 3, 4, 2, 3, 3, 4, 3, 5, 4, 6, 4, 3, 3, 2, 4, 4, 4, 4, 3, 4, 4]",35,4.727
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/38,"[4, 4, 4, 4, 4, 6, 4, 4, 2, 2, 4, 5, 4, 5, 1, 4, 6, 3, 4, 1, 4, 3, 4, 2, 4, 6, 6, 4, 2, 5, 5, 6, 5]",33,4.476
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/39,"[4, 3, 5, 6, 6, 5, 6, 4, 4, 3, 3, 4, 3, 3, 3, 2, 1, 3, 4, 2, 1, 4, 4, 3, 4, 3, 4, 3, 3, 2, 3, 3, 2, 4, 3, 3, 2, 6]",38,5.145
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/40,"[5, 1, 4, 6, 4, 6, 6, 5, 4, 3, 6, 2, 6, 5, 6, 6, 4, 4, 6, 1, 6, 2, 6, 4, 4, 3, 6, 4, 4]",29,3.926
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/41,"[4, 6, 3, 6, 2, 4, 6, 4, 5, 2, 3, 2, 4, 4, 4, 4, 6, 4, 4, 4, 2, 4, 6, 3, 5, 4, 3, 3, 3, 5, 4, 3, 2]",33,4.534
CFIN_T6hybrid_gs_s2,int4,humaneval,HumanEval/42,"[4, 4, 2, 1, 3, 1, 5, 6, 4, 2, 6, 2, 4, 6, 4, 6, 5, 4, 4, 4, 5, 4, 5, 4, 6, 6, 4, 5, 6, 3, 3]",31,4.225
