tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/0,"[6, 3, 4, 6, 4, 6, 4, 2, 2, 2, 3, 4, 6, 4, 3, 3, 4, 6, 6, 4, 5, 3, 6, 4, 5, 5, 6, 5, 6, 4]",30,5.919
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/1,"[6, 1, 2, 3, 2, 3, 4, 5, 4, 4, 5, 4, 3, 1, 4, 4, 5, 4, 3, 4, 6, 4, 5, 4, 4, 6, 3, 4, 6, 3, 6, 2, 2, 1, 2]",35,5.923
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/2,"[4, 6, 4, 4, 4, 4, 2, 3, 3, 2, 5, 2, 2, 4, 3, 6, 1, 3, 4, 4, 4, 4, 6, 1, 6, 5, 6, 3, 4, 6, 4, 3, 3, 1, 3]",35,5.953
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/3,"[4, 3, 2, 1, 4, 6, 3, 4, 5, 2, 5, 3, 6, 4, 2, 6, 2, 5, 4, 2, 4, 4, 2, 4, 4, 1, 3, 2, 4, 4, 5, 1, 2, 4, 2, 4, 4, 1]",38,6.457
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/4,"[4, 3, 2, 1, 4, 6, 4, 3, 4, 3, 1, 5, 4, 5, 2, 4, 4, 6, 5, 4, 4, 4, 5, 4, 4, 3, 2, 6, 4, 5, 6, 6, 4]",33,5.634
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/5,"[4, 3, 2, 3, 6, 5, 2, 4, 5, 5, 1, 6, 6, 3, 2, 3, 4, 2, 2, 4, 4, 5, 5, 5, 3, 5, 4, 6, 4, 3, 1, 1, 4, 6]",34,5.847
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/6,"[4, 2, 3, 2, 4, 6, 6, 4, 4, 5, 3, 4, 3, 5, 4, 3, 2, 5, 1, 4, 3, 4, 5, 6, 4, 6, 4, 4, 4, 2, 3, 4, 2, 3]",34,5.867
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/7,"[6, 1, 2, 3, 4, 6, 6, 6, 4, 5, 2, 2, 5, 5, 4, 5, 2, 2, 4, 4, 5, 6, 6, 4, 4, 4, 4, 5, 3, 4, 5]",31,5.374
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/8,"[4, 3, 3, 4, 6, 4, 2, 4, 5, 1, 6, 4, 2, 6, 5, 4, 3, 6, 3, 6, 3, 4, 5, 4, 6, 6, 4, 5, 3, 3, 4]",31,4.451
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/9,"[6, 1, 3, 4, 4, 6, 2, 2, 4, 1, 4, 3, 6, 3, 2, 4, 5, 5, 4, 2, 6, 3, 4, 5, 3, 6, 3, 4, 2, 6, 2, 3, 5, 6]",34,6.069
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/10,"[4, 4, 2, 2, 5, 5, 3, 4, 6, 4, 5, 4, 6, 5, 3, 4, 4, 5, 6, 2, 6, 6, 6, 6, 4, 4, 3, 4, 3, 2, 3]",31,5.614
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/11,"[4, 3, 2, 1, 4, 6, 5, 4, 4, 1, 2, 5, 3, 3, 6, 4, 3, 1, 4, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 4, 1, 2, 4, 5, 5, 6, 3, 3, 2, 4, 4, 6]",42,8.739
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/12,"[4, 3, 2, 4, 4, 4, 2, 6, 1, 6, 5, 6, 2, 3, 6, 4, 6, 3, 4, 3, 4, 3, 6, 6, 3, 4, 5, 3, 2, 3, 4, 6, 3]",33,5.903
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/13,"[4, 3, 2, 1, 4, 6, 5, 4, 4, 3, 1, 4, 3, 3, 6, 4, 4, 4, 2, 2, 1, 4, 6, 4, 5, 3, 2, 1, 4, 2, 4, 3, 2, 4, 6, 4, 5]",37,6.564
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/14,"[4, 3, 2, 4, 4, 5, 6, 4, 5, 4, 5, 1, 3, 5, 5, 6, 3, 4, 5, 2, 1, 4, 6, 6, 6, 5, 3, 3, 1, 5, 3, 2, 4]",33,5.725
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/15,"[4, 2, 2, 1, 3, 2, 3, 3, 5, 6, 4, 5, 1, 4, 4, 5, 2, 3, 1, 6, 4, 6, 2, 3, 2, 4, 4, 6, 5, 3, 4, 4, 4, 2, 4, 5]",36,6.137
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/16,"[4, 6, 3, 6, 1, 4, 6, 6, 4, 2, 1, 3, 6, 4, 4, 6, 2, 3, 2, 4, 4, 4, 3, 5, 4, 4, 3, 4, 4, 5, 4, 4, 3]",33,4.987
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/17,"[4, 2, 2, 2, 4, 6, 4, 4, 5, 3, 3, 4, 2, 3, 2, 4, 3, 1, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 2, 3, 2, 6, 6]",37,4.829
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/18,"[4, 2, 1, 2, 1, 4, 6, 6, 4, 6, 4, 6, 6, 1, 6, 6, 6, 6, 5, 6, 2, 6, 4, 4, 3, 4, 4, 3, 4, 2, 2, 4]",32,4.194
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/19,"[5, 3, 4, 4, 6, 4, 6, 3, 6, 4, 4, 2, 4, 4, 2, 4, 1, 4, 5, 4, 2, 2, 3, 1, 3, 4, 4, 6, 6, 6, 3, 4, 4, 4]",34,4.456
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/20,"[4, 3, 2, 4, 4, 6, 6, 4, 3, 2, 3, 3, 4, 4, 3, 6, 4, 6, 5, 6, 3, 4, 6, 3, 6, 6, 6, 5, 4, 3]",30,3.978
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/21,"[6, 2, 4, 6, 6, 4, 6, 1, 4, 4, 5, 5, 3, 3, 4, 5, 4, 2, 4, 5, 6, 6, 6, 6, 6, 5, 5, 5]",28,3.644
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/22,"[6, 1, 2, 4, 3, 4, 6, 4, 3, 2, 6, 1, 3, 6, 4, 5, 4, 4, 5, 6, 4, 3, 4, 4, 4, 6, 6, 6, 5, 4, 6]",31,3.997
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/23,"[4, 4, 2, 5, 4, 5, 4, 5, 4, 3, 4, 4, 4, 2, 4, 4, 2, 3, 4, 4, 5, 2, 3, 5, 3, 4, 3, 3, 3, 4, 2, 4, 3, 4, 4, 2]",36,4.626
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/24,"[4, 3, 3, 4, 2, 3, 4, 6, 2, 4, 6, 6, 3, 6, 6, 1, 3, 6, 3, 4, 6, 6, 4, 4, 6, 2, 3, 5, 4, 6, 3]",31,4.559
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/25,"[5, 1, 2, 3, 2, 4, 5, 3, 4, 3, 1, 4, 2, 6, 4, 3, 2, 4, 3, 3, 4, 6, 4, 2, 3, 4, 1, 4, 5, 2, 3, 3, 3, 4, 1, 4, 3, 4, 2, 3]",40,5.703
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/26,"[4, 3, 4, 5, 4, 6, 4, 3, 6, 3, 3, 2, 4, 6, 4, 2, 4, 6, 6, 3, 6, 6, 4, 5, 6, 4, 5, 6, 6]",29,4.857
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/27,"[4, 2, 2, 1, 4, 6, 3, 4, 3, 5, 6, 5, 6, 6, 4, 6, 4, 1, 4, 5, 3, 6, 4, 4, 6, 4, 2, 4, 2, 1, 2, 4, 3, 6]",34,5.62
CFIN_T6hybrid_ls_s2,int4,humaneval,HumanEval/28,"[4, 2, 4, 1, 6, 5, 6, 6, 4, 4, 6, 6, 3, 5, 3, 3, 3, 4, 1, 4, 2, 2, 5, 6, 4, 5, 3, 3, 4, 4, 2, 3, 3, 2]",34,5.575
