prompt_id,turn,n_cycles,taus
0,0,299,"1;1;1;1;3;4;3;1;1;2;7;3;3;2;1;2;1;1;4;3;3;3;1;4;1;1;5;1;2;1;3;3;4;2;1;6;4;4;4;1;3;2;1;2;2;3;2;3;2;2;2;2;4;1;3;3;6;2;2;7;3;1;1;1;3;1;2;3;4;3;1;1;2;2;1;2;3;2;3;4;4;4;8;1;2;3;1;3;3;1;1;4;1;1;2;3;5;3;1;4;5;3;1;5;1;1;3;1;1;3;1;7;3;7;1;2;3;1;3;8;2;4;1;1;3;2;1;2;2;2;8;2;2;2;1;1;1;2;2;4;2;1;5;1;2;4;2;3;2;2;2;2;3;2;1;3;1;2;1;3;1;1;2;1;1;2;4;4;2;4;3;1;4;2;6;5;5;5;1;2;2;5;4;3;4;2;1;6;1;2;4;1;2;5;1;1;4;2;2;2;2;1;4;2;3;3;4;4;5;2;4;2;1;3;5;2;3;3;2;3;1;2;2;1;3;3;2;2;2;3;1;1;1;1;1;3;5;3;3;3;1;2;4;1;2;5;2;3;1;1;3;1;2;1;3;1;1;4;5;4;3;1;4;6;1;3;5;1;1;1;3;5;1;2;1;2;1;1;5;7;1;1;2;1;3;2;7;3;1;2;3;1;1;3;5;9;3;3;9"
0,1,237,"1;3;7;1;1;1;1;1;1;2;1;6;4;1;1;1;1;2;1;1;3;2;1;2;2;5;2;2;1;8;3;2;5;1;1;1;2;5;5;4;5;5;1;1;1;2;1;4;6;4;6;4;1;2;6;1;5;5;4;1;2;2;2;1;1;4;1;3;2;1;1;2;2;3;1;2;5;1;2;2;3;2;1;1;1;2;1;1;2;7;2;4;5;2;1;2;5;2;1;3;2;2;3;3;3;3;2;3;1;2;5;3;1;4;2;2;2;2;9;2;1;1;5;1;4;2;2;7;4;2;3;7;1;3;1;1;4;5;2;9;6;1;2;2;2;1;5;4;2;2;2;2;1;2;4;2;3;2;8;4;5;6;1;1;2;3;2;4;4;4;4;7;8;6;4;3;4;3;3;2;2;3;5;2;6;1;2;1;4;3;2;10;6;6;3;6;2;5;4;5;5;4;1;2;4;9;6;6;2;2;1;1;8;8;5;2;1;1;4;2;1;3;4;4;4;4;4;5;6;2;2;5;5;2;3;1;1"
1,0,40,"5;1;2;6;4;2;10;5;5;1;2;2;2;2;2;1;1;5;2;7;1;5;1;4;4;1;2;1;1;2;3;2;3;1;4;1;7;6;4;1"
1,1,115,"3;2;3;3;4;5;2;1;3;1;3;4;7;1;6;2;1;1;1;5;1;1;5;2;9;1;5;1;2;1;3;3;2;4;1;1;6;2;2;1;1;2;1;2;4;6;2;3;3;1;3;2;1;3;2;1;1;1;1;3;5;4;5;1;1;1;4;3;4;1;2;4;3;5;6;1;6;1;1;2;1;2;3;1;3;3;1;3;2;1;1;5;2;2;3;2;2;4;2;2;1;2;1;1;4;3;3;2;3;1;4;1;4;4;1"
2,0,87,"2;2;6;5;3;1;1;5;1;3;2;1;2;4;3;3;3;3;2;2;3;2;5;2;1;1;3;1;2;3;1;1;4;5;6;1;2;6;1;3;2;6;4;1;2;3;4;3;4;1;2;2;1;4;1;1;3;1;1;2;1;5;5;3;1;3;2;1;4;2;1;1;3;5;3;2;1;2;4;6;2;1;3;5;2;4;3"
2,1,30,"1;1;2;4;3;4;2;1;2;1;1;2;1;1;1;1;1;1;1;1;2;3;1;1;1;3;1;2;1;1"
3,0,131,"2;1;4;3;5;3;1;3;1;8;3;4;1;1;3;1;4;3;3;4;7;6;5;2;5;1;1;4;4;3;1;2;1;6;4;1;2;2;3;3;1;2;3;2;2;1;2;8;2;4;3;4;3;1;1;3;3;1;2;2;3;2;2;1;4;1;2;1;2;3;1;5;3;1;2;1;1;2;1;3;2;6;3;1;1;2;2;2;2;5;3;1;1;1;1;3;2;6;1;4;1;2;1;4;1;1;1;3;3;2;3;3;5;1;1;1;1;2;1;2;3;2;4;1;1;1;2;1;3;4;1"
3,1,121,"3;5;3;5;5;1;2;1;2;5;7;3;4;3;4;4;2;3;1;1;8;6;5;4;4;4;2;1;3;1;3;2;2;2;2;1;4;2;3;5;3;2;7;4;3;7;6;3;1;1;1;1;2;1;4;4;1;4;1;5;5;7;5;3;1;1;3;1;6;6;1;5;5;3;1;2;2;1;4;8;4;2;1;1;5;1;1;4;5;8;1;2;3;3;2;2;1;1;1;3;6;3;8;3;3;2;4;4;3;6;5;6;7;6;3;6;2;3;6;8;1"
4,0,129,"2;2;1;3;1;3;4;1;1;1;1;2;1;1;3;2;2;5;1;2;1;3;1;4;6;3;1;2;3;2;2;2;1;2;3;2;6;2;2;3;2;5;2;1;1;1;1;1;3;3;5;3;4;3;2;2;3;4;3;2;1;1;1;3;2;1;1;1;3;5;3;2;2;2;4;2;2;1;3;3;4;2;3;1;1;4;3;1;3;5;4;3;2;3;2;3;4;3;1;1;1;1;1;1;3;1;3;5;3;3;4;1;2;2;1;4;2;2;1;1;3;2;5;3;1;3;1;5;1"
4,1,123,"1;7;4;5;4;2;4;2;4;1;1;3;1;2;1;2;1;5;2;1;3;2;3;1;3;1;3;1;1;1;4;7;4;3;3;1;2;1;2;2;3;2;2;5;4;2;1;4;4;3;8;2;4;1;3;3;1;7;5;8;6;4;1;3;1;2;2;1;1;1;1;2;1;1;1;1;6;7;3;4;4;5;2;3;3;1;2;2;1;1;3;6;7;6;3;3;2;2;1;2;1;1;2;1;7;6;4;8;4;3;5;4;2;2;2;4;1;1;1;2;2;2;1"
