tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SRT_RESCUE,int4,sharegpt,sharegpt_0,"[3, 3, 2, 6, 3, 2, 5, 5, 4, 6, 5, 3, 2, 2, 4, 2, 3, 2, 4, 3, 6, 3, 2, 6, 4, 3, 6, 1, 2, 2, 2, 6, 4, 3, 2, 4, 4]",37,6.456
SRT_RESCUE,int4,sharegpt,sharegpt_1,"[3, 4, 4, 5, 2, 3, 4, 2, 5, 2, 2, 5, 4, 4, 2, 1, 3, 5, 3, 4, 1, 2, 6, 2, 4, 2, 2, 2, 3, 2, 2, 5, 2, 3, 1, 1, 4, 4, 4, 3, 3, 4]",42,6.822
SRT_RESCUE,int4,sharegpt,sharegpt_2,"[3, 3, 4, 4, 4, 2, 6, 4, 5, 5, 3, 4, 1, 6, 5, 4, 2, 2, 4, 4, 2, 2, 4, 4, 4, 3, 4, 4, 4, 3, 2, 4, 1, 2, 3, 2, 2, 4]",38,6.196
SRT_RESCUE,int4,sharegpt,sharegpt_4,"[1, 2, 1, 4, 4, 4, 3, 2, 1, 3, 5, 2, 2, 3, 1, 1, 3, 2, 2, 4, 4, 6, 3, 4, 1, 4, 4, 3, 3, 1, 2, 5, 4, 2, 5, 3, 3, 6, 4, 4, 3, 4]",42,6.848
SRT_RESCUE,int4,sharegpt,sharegpt_5,"[4, 4, 4, 2, 3, 1, 2, 5, 1, 1, 4, 2, 6, 1, 3, 3, 2, 1, 3, 2, 4, 4, 6, 3, 4, 2, 2, 3, 3, 3, 4, 3, 3, 5, 4, 4, 4, 4, 4, 3, 2]",41,6.622
SRT_RESCUE,int4,sharegpt,sharegpt_6,"[1, 4, 4, 5, 2, 3, 4, 5, 5, 6, 1, 3, 4, 4, 2, 1, 1, 3, 3, 3, 3, 2, 4, 3, 3, 4, 2, 2, 2, 2, 4, 2, 2, 4, 2, 3, 4, 2, 3, 2, 4, 1, 4]",43,6.983
SRT_RESCUE,int4,sharegpt,sharegpt_8,"[4, 4, 2, 2, 3, 4, 4, 2, 2, 4, 4, 1, 3, 4, 1, 5, 3, 2, 2, 6, 1, 1, 3, 4, 1, 2, 3, 3, 4, 4, 5, 1, 3, 4, 3, 3, 4, 2, 4, 6, 4, 3]",42,6.838
SRT_RESCUE,int4,sharegpt,sharegpt_9,"[4, 4, 6, 2, 2, 3, 5, 2, 3, 4, 2, 3, 3, 2, 1, 2, 2, 2, 2, 3, 3, 1, 5, 1, 4, 2, 4, 4, 4, 2, 1, 1, 2, 4, 2, 2, 5, 4, 4, 3, 6, 1, 2, 2, 4]",45,7.271
SRT_RESCUE,int4,sharegpt,sharegpt_10,"[2, 4, 4, 3, 2, 2, 2, 4, 2, 4, 4, 3, 3, 3, 2, 4, 4, 2, 3, 3, 4, 2, 2, 3, 3, 2, 2, 4, 1, 2, 3, 2, 3, 4, 4, 3, 6, 4, 2, 2, 2, 2, 4, 1, 2]",45,7.249
SRT_RESCUE,int4,sharegpt,sharegpt_13,"[2, 4, 4, 3, 6, 3, 4, 3, 1, 1, 4, 3, 2, 4, 3, 6, 4, 2, 3, 3, 2, 6, 3, 2, 4, 2, 3, 2, 3, 4, 2, 5, 3, 4, 2, 3, 4, 3, 2, 1, 3]",41,6.715
SRT_RESCUE,int4,sharegpt,sharegpt_15,"[1, 3, 4, 4, 1, 1, 4, 4, 3, 1, 3, 4, 3, 3, 4, 6, 4, 3, 6, 3, 4, 2, 2, 3, 4, 4, 4, 4, 4, 2, 3, 4, 2, 5, 1, 2, 3, 3, 3, 4]",40,6.476
SRT_RESCUE,int4,sharegpt,sharegpt_16,"[1, 1, 4, 3, 3]",5,0.954
SRT_RESCUE,int4,sharegpt,sharegpt_19,"[3, 1, 2, 3, 2, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 5, 1, 2, 5, 2, 4, 2, 4, 1, 4, 1, 2, 6, 3, 2, 2, 2, 3, 2, 4, 3, 2, 4, 3, 3, 4, 4, 1, 4, 4, 1, 1, 2]",48,5.864
