tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_gs_s1,int4,humaneval,HumanEval/0,"[4, 3, 3, 3, 6, 4, 2, 4, 3, 3, 4, 4, 6, 3, 4, 3, 1, 6, 6, 6, 3, 3, 3, 3, 6, 6, 4, 6, 6, 4, 4, 3]",32,5.931
CFIN_QH_gs_s1,int4,humaneval,HumanEval/1,"[3, 4, 3, 2, 2, 2, 6, 4, 5, 6, 3, 3, 5, 4, 2, 6, 3, 3, 4, 2, 1, 2, 5, 3, 4, 4, 4, 2, 4, 5, 4, 3, 3, 6, 4, 4]",36,6.212
CFIN_QH_gs_s1,int4,humaneval,HumanEval/2,"[4, 3, 3, 4, 5, 4, 5, 3, 4, 5, 3, 3, 5, 4, 4, 3, 2, 2, 6, 3, 4, 5, 2, 5, 2, 3, 2, 2, 4, 2, 5, 3, 2, 5, 6, 5]",36,6.127
CFIN_QH_gs_s1,int4,humaneval,HumanEval/3,"[4, 3, 2, 1, 4, 4, 1, 4, 4, 6, 1, 3, 4, 5, 4, 2, 2, 6, 4, 4, 3, 4, 2, 4, 3, 6, 6, 3, 4, 4, 5, 4, 4, 3, 5]",35,5.945
CFIN_QH_gs_s1,int4,humaneval,HumanEval/4,"[4, 4, 1, 3, 4, 4, 5, 3, 4, 6, 3, 5, 4, 3, 5, 4, 4, 5, 3, 1, 4, 5, 4, 5, 4, 3, 3, 3, 2, 6, 3, 4, 3, 4]",34,5.805
CFIN_QH_gs_s1,int4,humaneval,HumanEval/5,"[3, 3, 3, 3, 4, 6, 4, 5, 6, 3, 4, 3, 6, 4, 3, 4, 2, 2, 4, 3, 4, 2, 6, 4, 4, 4, 6, 4, 4, 4, 6, 6]",32,5.501
CFIN_QH_gs_s1,int4,humaneval,HumanEval/6,"[3, 3, 3, 2, 3, 6, 6, 4, 4, 6, 3, 2, 2, 4, 2, 4, 4, 3, 3, 3, 2, 4, 1, 1, 3, 4, 5, 5, 4, 4, 5, 3, 1, 4, 2, 5, 4, 5]",38,6.423
CFIN_QH_gs_s1,int4,humaneval,HumanEval/7,"[3, 3, 3, 3, 3, 3, 5, 6, 4, 4, 6, 3, 3, 3, 2, 3, 4, 4, 3, 3, 3, 3, 4, 2, 6, 6, 3, 5, 4, 6, 5, 3, 4, 3]",34,5.702
CFIN_QH_gs_s1,int4,humaneval,HumanEval/8,"[4, 4, 2, 6, 4, 5, 2, 4, 6, 4, 3, 4, 4, 4, 3, 5, 3, 6, 3, 6, 3, 2, 3, 6, 5, 5, 6, 5, 3, 5, 6]",31,5.251
CFIN_QH_gs_s1,int4,humaneval,HumanEval/9,"[4, 4, 1, 1, 4, 4, 5, 4, 6, 3, 4, 3, 4, 3, 2, 2, 4, 2, 5, 2, 3, 2, 4, 2, 3, 3, 5, 4, 5, 3, 6, 4, 4, 4, 3, 6]",36,6.029
CFIN_QH_gs_s1,int4,humaneval,HumanEval/10,"[4, 3, 4, 1, 4, 6, 6, 6, 4, 4, 2, 4, 5, 4, 4, 6, 2, 6, 3, 6, 6, 6, 4, 4, 2, 5, 4, 2, 3, 2, 5, 4]",32,5.399
CFIN_QH_gs_s1,int4,humaneval,HumanEval/11,"[4, 5, 3, 6, 5, 4, 4, 5, 4, 2, 3, 4, 6, 2, 2, 2, 4, 4, 5, 1, 3, 2, 4, 2, 3, 5, 6, 3, 2, 2, 2, 1, 3, 2, 4, 6, 3]",37,4.798
CFIN_QH_gs_s1,int4,humaneval,HumanEval/12,"[4, 4, 2, 4, 2, 5, 4, 6, 3, 1, 2, 3, 3, 3, 4, 4, 2, 4, 3, 6, 3, 3, 6, 3, 4, 4, 6, 3, 3, 3, 4, 3, 3, 4, 2, 4, 6]",37,4.672
CFIN_QH_gs_s1,int4,humaneval,HumanEval/13,"[4, 4, 2, 4, 1, 6, 4, 5, 6, 1, 2, 4, 1, 3, 6, 1, 4, 4, 2, 4, 5, 3, 6, 4, 6, 4, 2, 2, 3, 5, 3, 5, 2, 2, 4, 6]",36,4.526
CFIN_QH_gs_s1,int4,humaneval,HumanEval/14,"[3, 3, 3, 2, 4, 6, 3, 5, 4, 6, 1, 3, 4, 3, 2, 5, 4, 1, 4, 5, 3, 2, 3, 3, 2, 5, 2, 6, 3, 3, 3, 3, 4, 4, 3, 4, 6]",37,4.68
