tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/0,"[6, 4, 4, 6, 3, 6, 5, 1, 2, 2, 3, 6, 6, 5, 1, 5, 6, 6, 4, 6, 3, 6, 4, 5, 6, 6, 4, 4, 5]",29,5.264
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/1,"[4, 4, 5, 1, 3, 4, 4, 6, 6, 4, 4, 4, 3, 2, 6, 6, 4, 3, 3, 6, 4, 5, 4, 4, 4, 6, 4, 6, 3, 2, 5]",31,5.189
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/2,"[6, 3, 4, 6, 4, 5, 4, 2, 4, 3, 2, 3, 6, 5, 4, 1, 5, 6, 4, 6, 2, 6, 6, 5, 3, 3, 6, 4, 2, 2, 3, 5]",32,5.335
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/3,"[4, 4, 2, 4, 6, 4, 3, 5, 2, 4, 4, 4, 3, 2, 3, 4, 3, 4, 3, 6, 4, 2, 3, 2, 3, 4, 3, 3, 4, 5, 3, 3, 2, 6, 4, 2, 2]",37,6.106
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/4,"[4, 3, 2, 6, 6, 6, 3, 5, 1, 3, 4, 4, 2, 3, 3, 3, 6, 1, 1, 3, 5, 5, 2, 6, 2, 6, 6, 1, 2, 4, 3, 5, 2, 4, 4, 3]",36,4.824
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/5,"[4, 4, 2, 6, 4, 6, 3, 6, 5, 6, 6, 3, 2, 3, 4, 2, 2, 4, 4, 5, 6, 4, 3, 5, 4, 6, 5, 1, 2, 4, 6, 3]",32,3.985
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/6,"[4, 4, 3, 3, 6, 4, 4, 4, 3, 5, 3, 4, 2, 2, 3, 2, 5, 3, 3, 1, 2, 3, 2, 3, 6, 4, 4, 2, 4, 5, 6, 4, 1, 4, 2, 3, 4, 4]",38,4.685
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/7,"[4, 3, 2, 1, 5, 5, 6, 4, 4, 4, 4, 4, 3, 3, 6, 3, 6, 4, 3, 3, 6, 6, 3, 5, 2, 5, 6, 4, 4, 3, 3, 4]",32,3.969
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/8,"[4, 3, 2, 1, 4, 6, 3, 3, 3, 6, 1, 6, 4, 4, 6, 6, 4, 6, 1, 6, 5, 4, 4, 5, 3, 6, 6, 6, 4, 6]",30,3.757
FIN_HB_B_hybrid_b0.0025_s0_st3000__humaneval,int4,humaneval,HumanEval/9,"[6, 1, 2, 5, 6, 3, 3, 4, 3, 4, 3, 6, 3, 1, 3, 5, 2, 5, 2, 4, 6, 3, 4, 5, 3, 6, 6, 4, 4, 2, 6, 4, 6]",33,4.228
