tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/0,"[6, 3, 4, 6, 5, 4, 2, 5, 2, 2, 3, 4, 6, 2, 4, 1, 1, 5, 6, 6, 4, 6, 3, 6, 4, 5, 6, 6, 5, 6]",30,6.907
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/1,"[6, 1, 3, 2, 2, 4, 4, 6, 5, 4, 6, 3, 3, 6, 5, 5, 2, 2, 6, 4, 6, 4, 4, 6, 4, 4, 6, 3, 6, 1, 3, 2]",32,6.713
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/2,"[6, 3, 6, 5, 4, 4, 2, 4, 5, 4, 4, 4, 3, 4, 3, 3, 3, 6, 4, 4, 6, 1, 5, 2, 2, 3, 6, 5, 6, 4, 5, 6]",32,6.747
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/3,"[4, 3, 2, 5, 4, 4, 6, 5, 5, 1, 4, 3, 6, 5, 5, 2, 5, 4, 6, 3, 2, 4, 4, 2, 6, 1, 4, 4, 6, 4, 4, 6]",32,6.704
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/4,"[6, 1, 3, 6, 6, 4, 3, 5, 5, 5, 4, 2, 4, 5, 5, 5, 4, 4, 4, 5, 3, 6, 4, 6, 3, 5, 6, 6, 4]",29,6.094
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/5,"[6, 3, 5, 6, 6, 4, 3, 6, 1, 6, 6, 1, 2, 2, 3, 5, 3, 4, 6, 4, 6, 3, 3, 5, 4, 6, 3, 3, 2, 2, 5, 4]",32,6.768
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/6,"[6, 4, 3, 6, 6, 6, 4, 4, 2, 5, 2, 4, 3, 4, 4, 2, 2, 4, 2, 5, 4, 2, 1, 6, 2, 2, 2, 4, 5, 6, 1, 2, 1, 2, 1, 3, 4, 6]",38,8.008
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/7,"[4, 3, 3, 6, 6, 6, 6, 6, 6, 3, 3, 4, 4, 3, 4, 4, 3, 3, 6, 6, 3, 5, 2, 4, 4, 6, 4, 2, 4, 5]",30,5.649
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/8,"[6, 1, 3, 6, 6, 4, 4, 5, 1, 6, 4, 2, 6, 6, 3, 3, 6, 1, 6, 5, 5, 3, 5, 4, 4, 6, 6, 4, 3, 5]",30,3.943
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/9,"[6, 1, 3, 4, 6, 4, 2, 4, 3, 4, 4, 5, 3, 3, 6, 4, 4, 2, 5, 6, 6, 1, 4, 4, 4, 6, 4, 2, 6, 3, 1, 5, 4]",33,4.357
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/10,"[4, 2, 1, 4, 5, 6, 6, 6, 1, 4, 3, 4, 5, 3, 4, 4, 3, 3, 6, 4, 6, 4, 2, 4, 3, 4, 3, 4, 3, 4, 6, 4, 6]",33,4.302
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/11,"[6, 1, 2, 3, 4, 6, 5, 6, 3, 1, 6, 4, 6, 3, 5, 5, 6, 4, 2, 2, 2, 4, 6, 6, 4, 3, 1, 4, 3, 3, 5, 4, 6]",33,4.325
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/12,"[6, 1, 2, 2, 4, 4, 6, 6, 2, 6, 4, 4, 4, 3, 6, 4, 6, 4, 4, 4, 3, 4, 5, 6, 5, 3, 4, 4, 3, 6, 2, 2]",32,4.192
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/13,"[4, 3, 2, 3, 4, 6, 4, 2, 3, 5, 1, 2, 4, 1, 6, 3, 6, 4, 2, 4, 6, 3, 4, 6, 5, 5, 3, 2, 6, 6, 2, 6, 4, 4]",34,4.459
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/14,"[4, 3, 2, 2, 3, 6, 4, 5, 4, 4, 3, 6, 1, 3, 4, 6, 6, 6, 3, 2, 2, 5, 4, 6, 4, 4, 6, 5, 3, 5, 4, 1, 1, 4]",34,4.47
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/15,"[5, 3, 1, 3, 3, 4, 1, 5, 6, 4, 5, 1, 3, 3, 4, 3, 3, 5, 4, 6, 5, 3, 6, 5, 3, 4, 2, 2, 3, 2, 5, 4, 1, 1, 5, 3, 1, 5]",38,4.949
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/16,"[6, 6, 1, 4, 6, 3, 4, 6, 6, 6, 1, 3, 6, 5, 3, 5, 5, 3, 4, 4, 5, 6, 4, 6, 3, 6, 3, 2, 4, 3]",30,3.972
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/17,"[4, 4, 2, 4, 6, 5, 4, 6, 2, 6, 4, 6, 5, 6, 3, 4, 3, 4, 3, 5, 4, 4, 5, 3, 6, 6, 4, 4, 3, 5]",30,3.957
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/18,"[6, 1, 2, 6, 6, 4, 3, 4, 6, 4, 6, 4, 2, 5, 6, 6, 6, 5, 5, 3, 6, 4, 4, 3, 4, 3, 2, 4, 2, 3, 6]",31,4.067
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/19,"[5, 1, 4, 3, 4, 6, 6, 4, 4, 6, 2, 3, 4, 3, 6, 4, 3, 4, 4, 4, 4, 4, 2, 6, 4, 1, 5, 4, 1, 4, 3, 4, 2, 6]",34,4.489
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/20,"[6, 1, 2, 4, 4, 6, 6, 4, 2, 3, 4, 6, 2, 5, 4, 6, 6, 3, 4, 2, 3, 6, 6, 1, 6, 6, 5, 6, 4, 5]",30,3.962
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/21,"[6, 4, 6, 6, 4, 2, 4, 2, 1, 4, 4, 4, 4, 5, 3, 4, 6, 4, 2, 6, 3, 5, 6, 4, 5, 5, 6, 2, 6, 6]",30,3.958
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/22,"[6, 1, 3, 4, 4, 3, 6, 4, 4, 4, 3, 4, 6, 2, 3, 1, 1, 5, 3, 4, 5, 4, 4, 4, 1, 6, 4, 3, 2, 2, 2, 3, 4, 6, 6, 4]",36,4.718
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/23,"[5, 4, 1, 5, 4, 5, 4, 6, 6, 3, 4, 4, 3, 4, 5, 1, 4, 5, 4, 5, 3, 3, 5, 4, 5, 5, 3, 3, 4, 4, 2, 4, 1]",33,4.322
CFIN_T6conv_gsr5_s1,int4,humaneval,HumanEval/24,"[4, 3, 3, 3, 6, 4, 6, 2, 4, 5, 6, 3, 4, 6, 4, 1, 4, 5, 6, 4, 2, 6, 1, 4, 3, 6, 2, 6, 2, 2, 5, 2, 3, 3]",34,4.479
