tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/0,"[4, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 2, 2, 1, 1, 1, 3, 2, 3, 2, 2, 2, 2, 3, 1, 3, 1, 2, 2, 1, 1, 1, 2, 1, 2, 3, 2, 2, 2, 1, 3, 2, 3, 2, 2, 1, 2]",73,12.375
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/1,"[4, 2, 1, 2, 1, 2, 1, 2, 2, 4, 2, 1, 2, 3, 3, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 1, 2, 2, 2, 3, 1, 2, 2, 1]",77,12.406
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/2,"[4, 2, 3, 3, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 3, 1, 3, 4, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 2, 4, 1, 1, 2, 1, 1, 1, 2]",80,10.719
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/3,"[4, 3, 2, 1, 2, 3, 2, 2, 1, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 3, 2, 1, 2, 4, 1, 1, 1, 3, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 2, 3, 1, 2, 2]",74,9.031
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/4,"[5, 2, 2, 1, 3, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 3, 1, 2, 2, 2, 2, 1, 1, 2, 2, 3, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 2, 2, 1, 1, 1, 1, 3, 2, 3, 2, 3, 2, 2, 2, 1, 1, 3, 1, 3]",77,9.512
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/5,"[4, 1, 2, 2, 1, 3, 3, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 4, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 3, 3, 1, 2, 1, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 4, 1, 3, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2]",72,8.881
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/6,"[5, 2, 2, 1, 1, 1, 4, 3, 2, 1, 2, 1, 2, 2, 2, 1, 2, 3, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 3]",84,10.559
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/7,"[4, 1, 2, 2, 1, 2, 3, 1, 2, 3, 3, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1, 2, 2, 2, 2, 4, 3, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 1, 3, 1]",75,9.515
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/8,"[4, 2, 3, 1, 1, 4, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 3, 2, 2, 2, 3, 3, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 2, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 3, 2, 3, 2, 4]",72,9.074
CFIN_T6hybrid_naive_s0,int4,humaneval,HumanEval/9,"[4, 1, 2, 2, 1, 2, 1, 1, 3, 1, 2, 2, 2, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 3, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 2, 1, 2, 3, 2, 1, 1, 1, 2, 1, 3, 1, 2, 1, 2]",82,10.42
