tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/0,"[5, 4, 6, 4, 4, 3, 4, 4, 3, 2, 3, 2, 6, 4, 4, 1, 1, 5, 4, 6, 5, 6, 4, 4, 4, 6, 6, 6, 6, 6]",30,6.549
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/1,"[5, 2, 2, 3, 2, 3, 5, 6, 6, 6, 4, 5, 3, 2, 6, 3, 3, 4, 3, 3, 4, 3, 4, 4, 5, 3, 5, 5, 4, 5, 4, 4, 3]",33,7.58
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/2,"[6, 2, 6, 4, 3, 4, 3, 3, 2, 3, 4, 2, 3, 4, 4, 3, 3, 2, 1, 3, 5, 4, 3, 6, 2, 6, 5, 6, 4, 5, 4, 4, 4, 1, 5]",35,5.802
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/3,"[4, 3, 2, 6, 6, 6, 4, 3, 4, 6, 1, 4, 2, 2, 6, 2, 3, 2, 3, 5, 4, 4, 6, 2, 5, 5, 6, 3, 3, 6, 4, 4, 3]",33,5.416
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/4,"[6, 1, 2, 6, 4, 4, 3, 3, 5, 4, 4, 4, 4, 4, 5, 5, 5, 2, 4, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 6, 6, 5, 5]",33,5.43
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/5,"[6, 3, 3, 6, 5, 4, 3, 3, 6, 1, 3, 4, 4, 3, 3, 3, 5, 1, 2, 4, 3, 5, 6, 4, 4, 5, 4, 6, 4, 3, 3, 4, 2, 2, 3]",35,5.736
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/6,"[4, 3, 4, 3, 6, 6, 3, 4, 6, 3, 3, 3, 3, 2, 5, 3, 1, 5, 3, 4, 2, 4, 4, 3, 3, 3, 4, 2, 2, 1, 2, 3, 4, 3, 3, 1, 5, 4, 2]",39,4.971
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/7,"[6, 1, 2, 3, 4, 6, 4, 4, 4, 3, 4, 4, 2, 5, 2, 5, 2, 5, 2, 3, 3, 3, 5, 3, 6, 5, 3, 4, 4, 4, 5, 3, 3, 3, 3]",35,4.367
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/8,"[6, 3, 1, 4, 6, 5, 5, 5, 1, 6, 4, 3, 2, 6, 6, 4, 5, 3, 6, 3, 4, 4, 5, 3, 5, 5, 6, 4, 4, 5]",30,3.739
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/9,"[6, 1, 3, 6, 4, 3, 3, 6, 1, 2, 4, 6, 2, 3, 1, 4, 2, 2, 3, 1, 2, 4, 4, 3, 2, 4, 4, 3, 6, 4, 2, 3, 6, 4, 4, 3, 3, 5]",38,6.022
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/10,"[5, 2, 3, 3, 4, 6, 6, 5, 3, 4, 4, 5, 4, 6, 6, 6, 3, 2, 3, 2, 1, 4, 1, 4, 4, 5, 5, 1, 5, 2, 2, 2, 6, 2, 4]",35,6.261
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/11,"[6, 3, 5, 6, 3, 2, 4, 4, 1, 4, 2, 2, 4, 2, 2, 4, 3, 4, 5, 4, 3, 3, 2, 3, 2, 5, 2, 3, 3, 6, 2, 2, 1, 4, 3, 4, 4, 3, 4]",39,6.429
CFIN_P2hybrid_gs_s2,int4,humaneval,HumanEval/12,"[5, 2, 2, 2, 4, 3, 2, 5, 5, 3, 2, 6, 2, 4, 4, 3, 5, 6, 6, 1, 2, 4, 4, 1, 5, 6, 6, 3, 4, 3, 3, 4, 2, 6, 2, 4]",36,5.937
