tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_0,"[4, 4, 4, 4, 3, 5, 3, 2, 4, 5, 6, 2, 3, 4, 3, 4, 2, 3, 6, 2, 4, 1, 4, 4, 4, 4, 1, 5, 2, 2, 2, 4, 4, 3, 2, 2, 1, 2, 6]",39,7.168
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_1,"[4, 4, 4, 4, 3, 4, 6, 6, 4, 2, 4, 5, 2, 5, 2, 1, 2, 4, 5, 4, 4, 2, 2, 2, 1, 4, 1, 2, 2, 4, 2, 3, 4, 1, 2, 1, 4, 3, 4, 5]",40,6.77
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_2,"[6, 6, 4, 2, 4, 5, 4, 4, 2, 4, 5, 2, 3, 5, 2, 4, 4, 4, 5, 3, 2, 2, 4, 6, 3, 3, 4, 4, 2, 4, 3, 2, 3, 4, 5]",35,5.887
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_4,"[1, 2, 5, 4, 5, 2, 2, 4, 5, 4, 3, 2, 4, 4, 4, 4, 3, 3, 3, 4, 6, 2, 2, 2, 4, 4, 3, 2, 3, 3, 5, 5, 3, 5, 2, 5, 4]",37,6.174
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_5,"[4, 4, 6, 4, 2, 5, 1, 3, 4, 4, 2, 2, 2, 3, 3, 4, 4, 1, 2, 3, 4, 6, 3, 2, 2, 2, 4, 4, 3, 2, 3, 3, 3, 2, 4, 2, 5, 4, 2, 2, 3]",41,5.299
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_6,"[6, 6, 4, 3, 4, 4, 1, 5, 4, 4, 3, 3, 2, 2, 4, 3, 5, 4, 2, 3, 1, 4, 4, 1, 1, 4, 1, 2, 2, 4, 3, 4, 6, 4, 2, 6, 3, 4]",38,4.695
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_8,"[5, 5, 4, 3, 4, 4, 1, 1, 3, 5, 2, 2, 4, 2, 1, 3, 3, 4, 4, 2, 4, 1, 3, 1, 2, 1, 4, 3, 2, 6, 4, 2, 3, 3, 5, 6, 6, 3, 2, 3, 4]",41,5.047
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_9,"[6, 6, 5, 6, 3, 5, 4, 2, 3, 1, 4, 2, 4, 5, 3, 4, 5, 2, 4, 3, 3, 1, 3, 2, 2, 1, 3, 4, 1, 1, 5, 2, 1, 6, 1, 6, 1, 6, 1, 4]",40,4.94
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_10,"[4, 4, 4, 1, 2, 3, 1, 6, 6, 6, 6, 6, 1, 4, 4, 3, 2, 2, 2, 2, 3, 3, 2, 1, 2, 1, 2, 2, 5, 4, 3, 3, 4, 6, 2, 4, 4, 5, 2, 6]",40,4.951
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_13,"[6, 4, 2, 2, 4, 4, 5, 2, 2, 3, 2, 1, 6, 1, 3, 4, 6, 4, 1, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 2, 1, 3, 6, 3, 2, 1, 4, 3, 3, 3, 1, 6]",43,5.303
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_15,"[6, 6, 2, 4, 4, 3, 4, 4, 3, 4, 5, 3, 4, 4, 4, 2, 3, 4, 2, 3, 2, 3, 4, 5, 6, 4, 3, 1, 3, 2, 4, 1, 1, 1, 2, 4, 4, 4]",38,4.703
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_16,"[1, 1, 3, 3, 1, 3]",6,0.844
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_19,"[3, 3, 3, 3, 2, 2, 4, 4, 1, 3, 3, 1, 1, 3, 5, 4, 2, 1, 6, 6, 3, 5, 3, 3, 4, 1, 3, 4, 2, 2, 4, 1, 3, 2, 3, 3, 3, 2, 4, 2, 4, 2, 1, 5]",44,5.405
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_23,"[6, 5, 3, 2, 3, 4, 4, 4, 4, 6, 6, 4, 4, 3, 4, 4, 4, 4, 1, 2, 2, 2, 4, 4, 2, 3, 1, 4, 4, 1, 3, 4, 1, 5, 4, 3, 3, 4]",38,4.742
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_24,"[4, 2, 6, 2, 1, 1, 3, 4, 3, 4, 4, 2, 4, 3, 3, 1, 2, 2, 4, 3, 3, 5, 3, 2, 5, 5, 2, 4, 4, 4, 1, 3, 3, 2, 2, 2, 6, 6, 3, 3, 6]",41,5.428
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_25,"[4, 5, 6, 2, 2, 5, 6, 4, 4, 5, 4, 6, 3, 6, 4, 6, 6, 6, 6, 4, 3, 1, 4, 6, 6, 4, 4, 6]",28,3.737
FIN_FD_B_conv_beta1_s2_st0600__sharegpt,int4,sharegpt,sharegpt_26,"[6, 6, 4, 1, 2, 2, 3, 3, 5, 4, 4, 2, 1, 2, 3, 2, 5, 3, 4, 1, 4, 3, 6, 5, 2, 2, 2, 1, 1, 3, 4, 2, 3, 3, 2, 1, 1, 2, 2, 2, 6, 1, 3, 4]",44,5.894
