tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_0,"[5, 4, 4, 4, 4, 6, 2, 4, 4, 6, 4, 3, 3, 2, 5, 2, 3, 4, 2, 5, 5, 1, 4, 4, 3, 4, 4, 4, 3, 3, 5, 3, 4, 3, 5]",35,6.77
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_1,"[4, 4, 4, 3, 2, 1, 4, 4, 6, 3, 1, 5, 4, 4, 3, 3, 1, 5, 4, 3, 4, 2, 2, 1, 2, 3, 3, 2, 3, 6, 3, 4, 1, 1, 2, 2, 4, 2, 5, 3, 3, 2]",42,7.541
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_2,"[6, 5, 3, 3, 3, 4, 4, 6, 2, 4, 4, 6, 1, 2, 3, 3, 1, 3, 4, 6, 3, 1, 2, 4, 2, 4, 5, 4, 3, 3, 3, 4, 4, 4, 3, 4, 2]",37,6.651
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_4,"[1, 2, 5, 4, 3, 4, 3, 3, 4, 1, 2, 3, 2, 5, 2, 3, 2, 4, 6, 3, 4, 2, 4, 4, 3, 4, 3, 4, 3, 1, 3, 4, 3, 5, 6, 1, 2, 4, 3, 2, 1]",41,6.009
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_5,"[4, 4, 5, 3, 2, 2, 5, 1, 3, 4, 5, 1, 5, 2, 2, 1, 4, 3, 2, 4, 3, 4, 2, 3, 2, 3, 4, 4, 3, 2, 1, 2, 4, 2, 2, 1, 2, 4, 2, 1, 2, 1, 2, 5, 2, 4]",46,6.316
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_6,"[6, 6, 5, 2, 4, 4, 3, 3, 4, 4, 4, 2, 2, 2, 3, 2, 2, 2, 1, 4, 1, 4, 4, 2, 4, 2, 3, 5, 5, 5, 3, 1, 3, 1, 5, 1, 2, 4, 2, 4, 2]",41,5.612
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_8,"[5, 4, 4, 4, 2, 1, 2, 2, 4, 3, 3, 1, 1, 2, 4, 4, 2, 2, 4, 1, 2, 1, 1, 4, 3, 4, 6, 4, 3, 5, 3, 4, 1, 2, 4, 2, 2, 4, 3, 6, 2, 6, 4]",43,5.886
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_9,"[6, 6, 4, 1, 5, 4, 5, 4, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 3, 4, 1, 2, 4, 3, 4, 4, 1, 2, 2, 2, 1, 2, 4, 4, 2, 5, 4, 2, 3, 3, 1, 1, 4]",47,6.475
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_10,"[4, 4, 4, 1, 6, 6, 4, 3, 2, 2, 1, 2, 3, 3, 3, 3, 2, 2, 4, 4, 2, 3, 4, 5, 4, 1, 3, 4, 4, 3, 4, 6, 3, 1, 1, 5, 4, 2, 2, 3, 3]",41,5.803
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_13,"[6, 4, 2, 4, 4, 2, 5, 4, 3, 1, 2, 6, 4, 3, 6, 4, 2, 4, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 4, 3, 4, 1, 4, 2, 4, 4, 6, 1, 3, 2, 2]",41,5.633
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_15,"[6, 6, 2, 3, 3, 3, 4, 4, 3, 5, 3, 4, 4, 4, 6, 2, 4, 4, 3, 3, 6, 3, 3, 4, 4, 2, 2, 3, 5, 1, 2, 4, 1, 1, 1, 1, 3, 3, 3]",39,5.396
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_16,"[1, 1, 2, 2, 2, 1, 2]",7,1.088
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_19,"[3, 3, 2, 2, 1, 3, 2, 4, 5, 3, 2, 1, 4, 5, 1, 3, 6, 6, 3, 4, 3, 4, 1, 3, 3, 3, 1, 4, 2, 4, 3, 3, 1, 2, 2, 5, 1, 3, 3, 1, 4, 4, 6]",43,5.846
FIN_PC_B_r16_lr1e-4_s0_st1500__sharegpt,int4,sharegpt,sharegpt_23,"[6, 6, 2, 1, 4, 4, 4, 4, 4, 3, 4, 3, 5, 4, 2, 2, 4, 6, 2, 1, 1, 2, 2, 4, 3, 4, 4, 1, 1, 1, 2, 4, 2, 1, 1, 3, 1, 4, 3, 4, 4, 4, 2]",43,5.847
