prompt_id,turn,n_cycles,taus
0,0,667,"1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;3;1;1;1;1;2;1;1;1;1;2;2;1;3;1;1;1;1;3;1;1;4;2;2;3;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;1;1;1;2;1;1;1;2;2;1;3;1;1;1;1;1;1;2;1;1;2;1;2;1;2;2;2;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;2;2;1;1;1;1;3;1;3;2;1;2;2;1;2;2;2;1;3;1;2;2;3;3;2;1;1;3;2;1;3;2;1;1;1;1;2;1;1;1;3;1;2;1;1;1;1;3;1;1;1;2;3;2;2;2;1;2;1;1;1;1;3;1;1;6;1;1;1;2;2;2;1;1;1;2;1;2;1;2;1;2;2;3;1;2;3;3;3;2;2;1;1;3;2;1;2;4;2;1;2;1;1;1;2;2;3;2;2;4;1;5;1;2;1;2;6;3;2;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;1;1;1;1;3;1;1;3;1;1;1;4;2;1;5;1;2;2;1;1;2;2;1;1;1;1;2;1;1;3;2;1;2;1;2;1;1;1;2;1;4;1;1;3;3;1;2;3;4;2;3;2;1;3;1;2;2;1;2;1;1;1;2;1;1;2;1;1;3;1;1;2;1;2;2;1;1;2;3;2;1;2;1;3;2;1;4;1;2;4;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;3;3;2;4;2;2;4;1;2;1;3;3;1;1;1;2;3;3;1;1;1;1;2;1;2;3;4;3;2;2;2;1;1;2;1;2;2;1;2;2;2;1;1;2;3;3;1;1;2;2;1;1;1;2;2;1;1;5;2;4;1;1;1;1;1;1;2;2;3;1;1;2;1;1;1;1;2;1;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;2;3;3;4;1;2;1;1;2;1;3;3;4;1;4;3;1;2;1;1;2;3;1;2;1;2;3;2;1;2;1;2;1;3;3;1;1;1;3;1;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;3;1;1;1;1;1;1;3;1;1;2;2;1;1;2;2;3;1;3"
1,0,592,"2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;3;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;1;1;1;2;1;2;1;2;1;1;1;2;1;1;1;2;1;1;1;1;3;1;1;1;3;3;2;1;3;2;2;2;1;1;2;1;2;1;3;2;2;1;1;1;2;1;1;3;1;1;2;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;1;2;2;2;2;1;1;1;1;2;1;1;2;1;2;1;1;1;2;1;1;1;1;2;1;1;1;2;1;1;1;2;2;1;3;2;1;2;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;2;2;1;1;3;3;2;2;1;1;2;1;2;1;1;1;1;2;1;1;1;1;2;1;1;2;2;3;1;2;1;1;2;1;1;1;3;3;1;1;1;2;1;3;2;1;3;1;2;2;2;1;2;1;1;1;2;1;1;3;4;2;1;2;1;2;4;1;1;1;3;2;3;1;2;4;2;1;2;3;3;3;2;1;1;1;2;2;2;3;3;1;4;3;3;2;1;3;3;3;2;1;2;1;1;1;2;3;2;1;4;2;2;1;2;2;2;1;2;2;3;4;3;5;3;4;3;2;3;4;2;2;3;5;2;2;2;2;3;3;1;2;3;2;1;1;2;2;2;4;4;2;3;1;3;3;3;2;5;4;1;3;3;4;4;3;1;3;1;2;4;4;3;4;4;1;2;4;1;2;3;4;1;3;2;1;2;4;1;2;2;1;2;1;2;2;3;1;1;2;2;4;3;3;3;3;4;2;3;3;2;4;4;2;3;3;3;4;3;6;3;6;2;1;3;2;2;1;1;2;3;4;2;1;3;2;2;4;1;2;3;3;3;3;1;3;2;3;3;2;5;4;1;2;1;3;1;3;2;3;2;3;1;3;3;3;3;3;2;1;3;2;2;1;3;1;3;3;3;2"
2,0,679,"2;1;1;1;3;1;1;3;2;1;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;2;4;1;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;1;2;1;1;1;3;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;3;1;1;1;2;2;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;3;1;2;1;2;3;1;1;1;2;1;1;1;1;1;2;1;1;2;3;1;2;1;1;2;1;1;5;2;6;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;3;3;1;3;1;2;1;2;1;2;1;1;1;1;3;1;3;3;2;1;2;1;3;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;6;2;2;4;3;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;3;1;3;3;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;1;1;2;1;2;1;2;1;1;1;2;1;1;3;2;1;1;2;1;1;1;1;1;4;5;6;2;2;1;1;1;1;1;2;1;1;2;1;2;2;2;3;1;1;3;2;3;2;8;1;5;3;3;3;1;2;5;3;2;2;1;1;1;6;4;2;4;5;1;9;2;1;1;2;1;1;3;4;2;8;2;1;1;1;5;2;2;6;1;5;1;1;2;1;2;2;2;3;1;2;1;1;3;1;1;1;2;1;3;1;1;1;1;1;3;1;2;3;1;1;2;1;1;1;1;1;1;1;1;6;1;2;1;1;2;1;2;1;2;2;1;2;1;1;1;1;4;1;1;1;1;1;2;1;4;2;1;1;1;1;2;1;1;1;3;1;2;1;1;1;1;1;1;1;4;5;4;2;6;1;1;2;1;1;1;1;1;1;2;1;2;4;1;1;1;4;3;1;2;2;1;1;1;3;2;1;1;1;2;1;1;2;1;3;1;3;3;4;1;1;1;1;2;1;1;1;1;1;1;1;3;1"
3,0,722,"1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;1;2;1;3;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;3;3;1;2;3;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;2;1;3;1;1;1;2;1;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;3;1;1;1;1;2;1;1;1;3;1;1;1;2;1;1;2;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;2;2;1;1;2;2;1;1;1;2;1;3;1;1;1;2;1;3;2;1;1;2;1;2;1;1;1;2;1;1;2;2;1;2;1;2;1;3;1;2;1;2;1;1;1;2;1;1;1;1;1;2;2;1;3;3;3;2;1;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;3;1;1;1;2;1;1;1;1;2;1;2;1;1;1;3;2;1;1;1;1;1;2;1;1;1;2;3;3;2;1;1;1;1;2;1;1;1;1;2;2;1;2;3;3;1;1;1;1;1;2;1;4;3;3;2;1;1;3;1;1;2;1;1;1;2;1;2;3;1;2;1;1;2;4;1;3;1;3;2;1;2;2;1;1;1;1;1;2;1;2;1;4;2;3;1;1;2;1;1;3;2;1;1;3;2;2;1;1;1;2;2;1;3;3;1;2;1;1;1;1;1;1;1;1;1;1;4;2;3;3;2;2;1;2;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;4;1;4;1;1;1;1;1;2;3;1;3;1;2;1;2;2;2;3;3;2;2;3;2;1;2;1;1;1;3;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;1;1;2;2;2;2;4;1;1;1;2;2;1;2;1;4;3;2;1;2;1;1;1;1;2;1;2;1;3;2;3;1;2;1;2;1;2;1;1;2;2;1;3;2;1;1;2;3;1;1;1;4;2;1;2;3;3;2;2;2;3;2;1;1;1;2;1;4;1;2;1;2;1;2;1;3;2;2;1;2;1;4;1;3;1;1;2;3;1;2;2;2;2;2;1;2;1;2;3;3;2;5"
4,0,667,"1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;3;1;2;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;3;2;1;1;1;2;1;2;2;1;2;1;1;1;1;1;2;1;1;2;1;1;1;2;2;2;1;1;2;1;2;1;2;1;1;1;2;1;1;2;2;1;1;1;1;2;1;2;2;2;1;1;1;2;2;1;1;2;1;1;2;2;2;2;1;1;3;2;1;1;1;2;2;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;3;2;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;2;1;4;1;1;1;1;3;2;3;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;1;3;1;1;1;1;3;1;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;3;1;1;1;1;1;1;1;2;2;1;1;4;1;1;1;3;1;3;2;1;1;2;2;1;1;3;2;1;1;1;3;1;1;2;2;1;2;1;2;1;1;3;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;2;2;2;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;1;2;1;3;1;2;1;1;2;1;2;1;1;1;2;1;1;3;1;1;2;2;1;1;1;1;2;1;1;2;4;1;3;1;1;1;1;1;2;1;1;1;1;2;1;3;1;2;1;1;1;1;1;1;1;1;1;1;2;1;3;1;1;1;1;1;1;3;1;1;2;2;4;2;2;1;1;2;1;3;1;3;1;3;1;3;2;2;2;3;1;1;2;1;4;1;3;3;2;3;3;1;3;1;1;2;2;2;3;1;2;2;2;1;1;2;1;3;2;2;2;3;3;1;1;2;1;3;1;3;1;3;2;2;2;4;2;1;3;2;2;1;4;3;2;2;2;1;1;2;1;1;2;1;1;2;1;1;2;1;3;1;1;2;1;3;2;2;1;1;2;1;3;1;3;1;3;1;1;1;1;1;2;1;4;4;2;2;4;1;2;2;3;1;3;2;4;3;3;1;3;1;2;1;1;4;3;1;3;2;2;1;2;5;1;1;2;2;2;2;3;1;1;4;2;2;2;2;1;3;1;1;2;2;2;2;2;1;2;1;1;3;2;3;1;2;2;2;2;1;1;2;2;3;3;1;4;2;2"
5,0,538,"1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;3;2;1;1;1;1;1;2;1;1;2;1;1;2;1;2;1;2;2;1;1;2;1;2;1;1;2;2;2;1;1;1;1;2;1;1;1;2;1;4;3;2;2;1;2;1;1;2;1;2;1;1;3;1;1;3;1;2;1;2;1;2;2;1;1;3;1;1;1;1;2;2;3;4;3;1;4;2;1;1;1;1;2;1;2;2;2;1;1;1;1;1;2;3;2;1;1;1;1;1;1;1;1;1;2;3;2;1;1;1;1;1;1;1;1;2;1;1;2;2;3;2;2;2;4;1;2;2;2;2;2;4;2;4;3;2;6;2;3;2;2;2;3;1;2;4;1;4;3;1;1;1;4;1;1;3;1;1;2;4;1;3;1;5;2;3;1;3;2;1;1;1;1;1;1;1;1;2;2;1;1;2;4;2;5;1;1;1;1;3;3;3;3;1;1;3;3;1;2;1;1;2;1;3;2;3;3;1;3;1;2;2;3;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;2;2;2;1;1;2;3;2;2;1;1;4;2;1;3;1;4;2;4;1;3;1;2;4;2;2;3;2;3;2;3;2;1;3;1;2;2;4;2;1;2;1;1;2;2;3;4;4;2;1;3;4;5;1;2;3;3;1;2;1;1;1;3;1;5;2;2;1;1;2;1;1;3;2;1;1;1;2;1;2;3;1;4;1;1;2;1;2;1;1;2;3;1;1;4;2;1;1;5;1;1;2;1;3;1;2;4;1;2;2;4;2;1;3;2;3;2;4;1;4;3;1;2;2;2;4;1;3;1;4;5;2;3;1;2;2;4;2;2;1;1;1;2;2;2;3;4;1;1;2;1;3;2;1;1;1;2;1;3;2;4;1;4;1;2;2;6;1;3;1;3;4;1;3;1;4;3;2;2;2;1;4;4;2;3;1;1;2;1;1;2;6;3;1;2;5;2;3;1;1;2;1;1;2;4;5;2;1;1;3;3;2;3;2;1;1;3;3;4;1;3;1;1;1;2;6;1;1;2;1;2;1;3;3;5;1;4;2;5;1;3;2;2;4;2;1;2;1;1;3;7;1;2;1;1;2;4;3;1;1;3;1;1;1;2;2;4"
6,0,477,"1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;1;3;1;2;1;2;3;1;2;2;1;1;1;1;2;1;1;1;2;2;1;3;1;1;2;1;2;3;3;1;2;3;1;2;3;1;1;1;3;2;1;1;2;3;1;2;1;1;1;3;4;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;2;4;2;2;2;1;1;2;6;1;5;2;1;3;5;3;2;3;4;1;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;2;3;1;1;1;1;1;2;2;3;2;1;1;1;1;1;1;2;1;2;3;3;3;3;1;2;1;2;3;3;1;2;1;1;2;4;2;1;3;2;1;3;2;1;1;1;2;1;2;3;3;3;3;2;2;2;3;3;1;2;1;3;1;1;3;3;1;2;1;2;3;3;3;3;2;4;2;1;3;1;2;1;2;1;1;1;3;3;3;3;3;1;1;1;3;4;2;3;4;2;3;3;3;1;3;3;3;3;3;1;2;3;3;3;1;2;4;3;2;1;5;3;2;2;5;3;3;3;3;3;6;4;2;1;2;3;6;1;3;4;3;2;2;4;1;3;3;1;5;2;6;1;2;3;3;3;1;2;3;2;3;4;3;3;3;3;3;3;4;5;3;4;2;2;1;6;3;3;3;2;2;2;3;3;1;4;1;1;2;3;3;2;5;2;4;5;3;3;3;1;5;2;1;1;1;2;4;2;2;9;2;4;3;4;4;2;1;3;2;2;6;7;2;7;2;6;3;4;4;3;4;6;2;2;1;7;3;2;4;1;2;2;1;3;2;4;3;1;1;2;3;2;2;5;4;3;2;3;1;2;3;3;9;3;1;4;2;5;4;1;4;3;3;3;1;1;2;3;3;5;4;3;3;5;2"
7,0,725,"1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;4;1;1;1;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;2;3;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;2;2;1;1;2;2;1;1;2;2;1;3;2;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;2;1;2;4;1;1;1;2;1;1;1;1;1;1;2;1;1;1;5;1;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;2;2;2;1;1;1;2;1;5;1;1;1;1;1;1;2;3;1;3;2;1;1;1;3;1;2;2;1;2;1;2;3;1;2;1;2;2;3;2;2;1;1;1;2;3;1;2;1;1;1;1;2;2;1;2;2;1;1;1;1;2;3;1;1;1;2;2;2;1;1;2;3;1;5;1;2;1;2;1;1;1;1;1;1;2;1;1;6;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;1;2;1;2;1;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;2;3;2;3;2;1;1;1;2;2;1;3;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;2;2;2;1;1;2;1;1;1;1;2;5;1;2;1;2;2;2;1;1;1;2;1;1;1;2;2;1;4;1;2;2;1;1;1;1;4;1;5;2;2;1;2;3;3;1;1;3;1;4;1;2;1;1;1;2;2;1;3;1;1;1;1;1;2;1;1;1;2;1;1;2;1;1;1;3;2;2;1;1;1;2;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1;3;1;1;2;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;3;1;1;1;2;1;2;2;2;1;1;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;3;1;1;2;1;1;1;3;1;1;2;1;1;1;5;2;1;2;2;1;1;1;2;1;1;1;3;1;2;1;1;1;3;1;2;3;2;2;1;2;1;1;1;3;1;1;3;1;1;1;2;2;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;2;1;2;1;1;1;1;2;1;1;3;1;1;2;1;1;2;2;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;5;1;1;2;1;1;4;1;1;1;3;1;1;2;1;1;1;2;1;3;1;1;1;3;1;1;1;1;2;4;1;1;1;1;1;1;1;2;4;1;2;2;1;2;2;1;1;1;2;1;2;1;1;1;1;2;2;1;2"
8,0,652,"1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;1;1;3;1;1;1;3;1;4;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;1;5;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;3;1;1;1;3;2;1;1;1;1;2;1;1;1;2;2;1;1;1;1;3;3;2;1;1;2;1;1;1;3;2;3;1;1;2;1;1;1;3;1;1;1;1;1;2;3;2;1;1;1;1;3;1;1;1;2;3;2;2;1;2;2;1;2;1;1;1;2;1;1;1;2;2;1;2;3;2;3;2;5;2;3;3;1;1;2;2;2;3;2;2;1;2;1;2;3;2;3;2;3;1;3;1;2;2;1;2;2;1;1;2;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;4;3;2;2;1;2;3;1;1;1;1;2;1;1;2;4;3;3;2;3;2;2;3;2;1;1;1;1;2;1;1;1;3;1;2;1;1;2;2;1;3;1;2;1;3;4;1;2;3;3;2;4;3;2;1;2;3;3;2;2;1;2;1;1;3;3;2;3;4;1;2;5;2;3;2;3;1;2;2;1;4;5;2;3;2;3;4;3;3;2;3;2;3;2;3;3;4;3;3;4;2;1;2;5;3;2;3;5;4;1;3;2;3;2;2;3;2;3;2;4;4;3;2;4;3;3;2;3;4;1;1;1;4;2;5;2;2;3;1;1;3;3;2;3;2;3;2;2;3;5;5;4;2;4;3;4;3;3;3;3;1;3;2;2;1;2;5"
9,0,557,"1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;1;1;1;1;1;2;2;2;2;4;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;2;2;2;2;4;1;1;1;1;1;3;2;1;4;1;1;1;3;1;3;2;2;3;1;1;1;2;2;2;2;2;2;1;1;1;1;6;2;2;2;2;2;3;1;4;1;3;1;1;1;1;2;4;1;2;1;4;2;1;2;2;2;3;2;1;7;2;2;2;2;1;1;2;2;1;2;1;4;2;4;4;4;2;4;6;3;1;2;2;3;1;4;2;2;4;2;2;4;4;1;1;2;2;2;2;2;3;3;2;2;2;2;2;2;4;1;1;4;2;6;1;3;4;2;5;1;2;2;2;2;2;1;2;4;3;2;3;1;2;2;2;4;2;2;2;2;4;2;2;1;1;2;1;3;1;3;7;2;4;2;1;1;2;7;1;5;3;2;4;3;3;2;2;2;6;2;6;2;1;1;1;1;2;2;6;1;3;2;2;2;3;3;2;2;6;4;1;2;3;2;1;1;2;4;2;2;4;4;4;2;2;2;1;3;2;2;1;3;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;2;2;2;2;2;2;2;4;6;4;1;3;2;2;1;1;2;1;3;8;1;3;2;1;3;2;2;6;1;1;2;2;2;2;6;2;3;3;2;4;6;2;1;1;2;2;1;2;2;3;5;5;4;2;2;4;4;3;1;3;4;4;4;1;1;1;3;4;3;1;4;2;2;4;1;3;1;1;2;3;1;2;4;2;2;4;2;1;1;1;1;2;3;1;2;4"
