tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_0,"[1, 2, 5, 3, 4, 3, 4, 3, 2, 6, 4, 4, 6, 3, 2, 4, 5, 3, 2, 3, 2, 4, 5, 5, 2, 1, 4, 2, 5, 2, 3, 6, 3, 4, 4, 4, 2, 3]",38,6.87
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_1,"[1, 2, 3, 6, 3, 4, 3, 3, 4, 3, 6, 6, 2, 5, 4, 3, 2, 4, 1, 1, 4, 3, 3, 4, 2, 1, 4, 2, 2, 5, 3, 4, 4, 3, 4, 2, 4, 4, 5]",39,6.643
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_2,"[3, 3, 6, 3, 3, 4, 3, 5, 2, 6, 5, 4, 3, 6, 4, 2, 3, 2, 1, 3, 6, 3, 3, 4, 5, 3, 6, 3, 3, 1, 3, 4, 4, 3, 6]",35,5.955
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_3,"[1, 4, 6, 4, 3, 4, 2, 1, 4, 4, 6, 2, 2, 5, 3, 3, 4, 4, 5, 4, 1, 4, 2, 2, 4, 3, 6, 6, 4, 1, 5, 5, 5, 6, 1, 6]",36,6.076
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_4,"[1, 3, 6, 3, 3, 3, 3, 6, 2, 4, 1, 4, 4, 6, 2, 4, 3, 4, 5, 5, 4, 2, 4, 5, 4, 4, 4, 6, 2, 5, 2, 4, 3, 3, 2, 4]",36,6.07
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_5,"[4, 6, 4, 2, 3, 6, 4, 2, 4, 5, 4, 4, 3, 1, 2, 6, 4, 3, 5, 5, 3, 4, 2, 2, 6, 3, 5, 6, 5, 6, 4, 6]",32,5.378
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_6,"[3, 3, 4, 4, 2, 3, 4, 2, 4, 6, 2, 3, 5, 3, 2, 4, 4, 3, 4, 4, 2, 4, 4, 2, 1, 4, 6, 4, 2, 4, 5, 2, 4, 4, 3, 3, 4, 3]",38,6.394
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_7,"[1, 2, 1, 6, 5, 3, 3, 4, 3, 2, 2, 3, 4, 2, 2, 4, 3, 2, 5, 6, 1, 2, 2, 4, 2, 2, 1, 4, 4, 3, 2, 4, 4, 2, 2, 3, 4, 4, 3, 3, 5, 2, 3]",43,7.192
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_8,"[1, 2, 2, 4, 4, 2, 4, 4, 2, 2, 4, 4, 6, 4, 2, 2, 3, 5, 4, 4, 3, 2, 2, 4, 2, 1, 4, 4, 6, 3, 2, 2, 4, 4, 3, 4, 4, 5, 3, 2]",40,6.668
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_9,"[6, 5, 3, 4, 3, 4, 4, 2, 4, 3, 6, 1, 6, 3, 2, 4, 4, 4, 3, 2, 3, 4, 5, 2, 6, 5, 4, 4, 3, 4, 5, 2, 5, 5]",34,4.326
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_10,"[6, 5, 4, 3, 3, 4, 4, 4, 2, 4, 3, 4, 2, 2, 3, 6, 6, 2, 2, 3, 4, 4, 3, 4, 2, 5, 1, 4, 6, 4, 4, 3, 5, 4, 4]",35,4.422
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_11,"[3, 6, 3, 4, 1, 4, 5, 6, 4, 4, 2, 5, 1, 3, 4, 2, 3, 3, 2, 4, 4, 4, 6, 2, 1, 6, 4, 3, 5, 5, 6, 4, 5, 6]",34,4.339
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_12,"[3, 4, 2, 2, 1, 4, 5, 2, 2, 4, 3, 6, 5, 3, 2, 4, 4, 4, 2, 2, 1, 2, 4, 4, 3, 4, 1, 2, 5, 6, 5, 4, 1, 3, 3, 3, 4, 5, 5]",39,4.94
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_13,"[5, 6, 4, 3, 3, 4, 4, 6, 4, 3, 5, 3, 2, 2, 6, 4, 4, 4, 1, 2, 6, 4, 4, 2, 5, 5, 6, 3, 3, 5, 4, 4, 2]",33,4.207
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_14,"[3, 6, 3, 4, 1, 3, 3, 5, 4, 1, 3, 2, 5, 3, 5, 6, 5, 4, 4, 5, 3, 6, 6, 3, 5, 4, 4, 6, 2, 3, 3, 4, 6]",33,4.21
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_15,"[5, 6, 4, 4, 2, 2, 4, 4, 6, 5, 6, 2, 4, 2, 3, 5, 5, 6, 6, 3, 6, 2, 4, 5, 6, 4, 6, 3, 5, 5]",30,3.806
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_16,"[1, 6, 5, 3, 2, 4, 6, 3, 6, 4, 4, 4, 2, 3, 3, 2, 4, 1, 4, 2, 5, 3, 4, 6, 3, 6, 2, 5, 5, 4, 4, 3, 5, 4]",34,4.292
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_17,"[1, 2, 2, 2, 4, 4, 2, 3, 5, 4, 2, 6, 6, 3, 3, 4, 3, 4, 4, 1, 2, 3, 3, 4, 5, 2, 4, 4, 4, 6, 4, 4, 6, 3, 4, 6]",36,4.571
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_18,"[3, 4, 5, 2, 4, 3, 3, 5, 2, 3, 4, 4, 4, 3, 2, 4, 1, 3, 4, 2, 2, 1, 3, 3, 5, 2, 3, 4, 3, 2, 2, 1, 4, 5, 5, 4, 3, 3, 4, 3, 3]",41,5.165
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_19,"[1, 2, 4, 1, 5, 1, 6, 4, 4, 2, 4, 3, 6, 5, 6, 5, 2, 2, 4, 4, 4, 1, 2, 3, 5, 5, 5, 2, 3, 4, 4, 1, 2, 6, 3, 1, 4, 5]",38,4.813
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_20,"[3, 4, 3, 2, 4, 4, 2, 2, 5, 2, 3, 4, 4, 4, 2, 6, 5, 1, 6, 4, 6, 5, 5, 3, 4, 4, 3, 3, 4, 4, 3, 2, 3, 6, 6]",35,4.458
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_21,"[4, 6, 4, 3, 4, 4, 2, 5, 4, 3, 2, 4, 2, 6, 5, 2, 6, 5, 2, 2, 3, 4, 2, 1, 3, 3, 2, 3, 6, 2, 5, 4, 1, 2, 5, 3, 4]",37,4.666
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_22,"[3, 3, 4, 4, 4, 4, 2, 2, 4, 3, 6, 5, 2, 4, 3, 6, 6, 3, 2, 2, 2, 2, 3, 3, 4, 5, 6, 4, 4, 3, 5, 3, 3, 6, 4]",35,4.447
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_23,"[1, 6, 5, 4, 4, 4, 4, 4, 1, 5, 6, 4, 2, 3, 5, 3, 3, 5, 6, 4, 3, 5, 1, 5, 3, 3, 6, 2, 5, 6, 6, 3, 5]",33,4.196
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_24,"[1, 4, 5, 4, 6, 4, 2, 3, 3, 2, 3, 5, 1, 6, 5, 1, 3, 2, 5, 3, 5, 3, 2, 2, 3, 2, 4, 3, 2, 1, 4, 1]",32,4.078
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_25,"[1, 2, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 6, 6, 4, 2, 2, 4, 4, 4, 4, 6, 3, 3, 4, 4, 3, 4, 4, 2, 4, 2, 4, 5, 5, 2, 2]",37,4.71
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_26,"[6, 5, 4, 3, 4, 5, 3, 4, 6, 2, 2, 6, 2, 3, 2, 4, 3, 3, 4, 4, 4, 3, 6, 5, 6, 3, 6, 3, 2, 4, 6, 5]",32,4.078
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_27,"[3, 3, 6, 2, 4, 2, 1, 6, 2, 6, 5, 4, 4, 4, 2, 2, 1, 2, 4, 3, 6, 4, 4, 5, 6, 4, 4, 4, 4, 3, 4, 4, 6, 4]",34,4.323
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_28,"[2, 6, 4, 4, 4, 4, 6, 2, 4, 4, 3, 4, 6, 2, 3, 1, 3, 1, 3, 4, 3, 3, 5, 2, 4, 3, 4, 4, 4, 4, 4, 3, 3, 2, 4, 3, 3]",37,4.731
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_29,"[1, 2, 4, 1, 2, 1, 3, 3, 5, 3, 2, 4, 3, 4, 6, 2, 5, 3, 4, 4, 4, 3, 4, 5, 6, 3, 4, 3, 6, 3, 4, 1, 2, 3, 6, 2, 5, 5]",38,4.868
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_30,"[3, 6, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 5, 3, 4, 2, 6, 4, 2, 4, 2, 5, 1, 4, 3, 4, 4, 1, 1, 4, 3, 4, 3, 5, 4]",37,4.725
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_31,"[1, 5, 6, 2, 4, 4, 3, 6, 4, 3, 2, 3, 3, 2, 3, 3, 2, 5, 4, 5, 5, 4, 6, 2, 6, 4, 3, 2, 6, 3, 2, 6, 4, 2, 5]",35,4.476
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_32,"[1, 6, 5, 3, 1, 3, 3, 3, 3, 4, 6, 3, 2, 5, 3, 2, 5, 2, 4, 4, 4, 3, 4, 2, 2, 3, 5, 2, 3, 2, 4, 5, 3, 1, 3, 5, 1, 3, 3, 3]",40,5.068
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_33,"[1, 6, 5, 3, 2, 4, 5, 6, 3, 3, 3, 4, 4, 5, 5, 3, 4, 4, 3, 1, 2, 4, 3, 4, 2, 4, 5, 2, 4, 2, 4, 4, 5, 4, 3, 6]",36,4.597
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_34,"[5, 6, 3, 2, 4, 5, 5, 5, 2, 3, 5, 3, 4, 3, 3, 2, 3, 6, 2, 4, 6, 5, 4, 6, 5, 3, 3, 2, 5, 4, 2, 5, 3]",33,4.226
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_35,"[1, 6, 5, 2, 3, 4, 3, 3, 6, 3, 5, 3, 6, 2, 4, 4, 4, 3, 1, 6, 4, 5, 2, 4, 4, 6, 5, 6, 2, 6, 4, 5, 3]",33,4.241
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_36,"[1, 6, 5, 3, 1, 4, 2, 4, 2, 3, 5, 3, 5, 4, 5, 4, 6, 3, 3, 4, 3, 5, 2, 1, 2, 3, 4, 4, 6, 3, 4, 2, 4, 3, 1, 2, 3, 3]",38,4.793
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_37,"[3, 3, 4, 4, 4, 2, 2, 4, 1, 4, 6, 4, 6, 5, 4, 3, 3, 2, 4, 2, 3, 3, 4, 4, 3, 6, 5, 4, 6, 2, 5, 4, 3, 2, 2, 3]",36,4.545
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_38,"[1, 4, 6, 3, 3, 4, 2, 1, 4, 5, 2, 4, 2, 2, 4, 3, 4, 3, 2, 3, 4, 4, 4, 2, 1, 2, 2, 6, 4, 2, 2, 2, 3, 5, 3, 1, 2, 2, 5, 4, 4, 3]",42,5.312
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_39,"[3, 4, 3, 4, 4, 3, 3, 2, 4, 3, 4, 6, 1, 3, 4, 4, 2, 2, 5, 4, 4, 4, 2, 4, 3, 6, 4, 3, 4, 4, 3, 3, 2, 3, 4, 5, 4]",37,4.682
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_40,"[6, 5, 4, 3, 6, 6, 4, 6, 3, 3, 2, 4, 6, 4, 5, 2, 6, 6, 6, 6, 5, 2, 6, 6, 4, 2, 6, 4]",28,3.589
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_41,"[3, 3, 4, 2, 2, 4, 2, 3, 3, 4, 5, 4, 6, 4, 2, 2, 6, 1, 4, 3, 4, 5, 5, 4, 3, 2, 3, 4, 4, 6, 2, 5, 5, 2, 4, 5]",36,4.606
SRT_RESCUE_ASQ,int4,gsm8k,gsm8k_test_42,"[1, 4, 6, 4, 4, 2, 5, 6, 3, 3, 1, 6, 2, 2, 2, 5, 3, 2, 4, 2, 2, 4, 4, 3, 6, 6, 2, 2, 5, 2, 4, 6, 3, 4, 4, 5]",36,4.571
