tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SRT_W8A8_RTN,int4,sharegpt,sharegpt_0,"[4, 2, 4, 3, 4, 4, 6, 6, 5, 6, 4, 2, 4, 3, 6, 3, 2, 5, 1, 6, 4, 3, 6, 3, 6, 4, 3, 4, 4, 4, 4, 4]",32,5.882
SRT_W8A8_RTN,int4,sharegpt,sharegpt_1,"[4, 4, 3, 4, 4, 6, 4, 6, 3, 3, 3, 5, 4, 3, 1, 5, 4, 3, 5, 3, 4, 2, 4, 4, 4, 2, 4, 4, 3, 3, 3, 4, 3, 5, 4]",35,5.919
SRT_W8A8_RTN,int4,sharegpt,sharegpt_2,"[6, 4, 4, 3, 3, 6, 6, 3, 4, 4, 5, 5, 4, 1, 3, 2, 3, 3, 5, 2, 4, 3, 4, 6, 5, 6, 5, 3, 3, 1, 1, 2, 1, 2, 4, 4]",36,6.08
SRT_W8A8_RTN,int4,sharegpt,sharegpt_4,"[3, 5, 5, 4, 2, 6, 4, 3, 4, 2, 3, 2, 3, 4, 4, 3, 4, 4, 2, 3, 3, 4, 1, 1, 2, 4, 6, 3, 4, 4, 4, 2, 6, 4, 5, 6]",36,6.082
SRT_W8A8_RTN,int4,sharegpt,sharegpt_5,"[6, 4, 4, 4, 2, 5, 1, 3, 4, 3, 1, 4, 3, 1, 3, 2, 3, 5, 6, 5, 3, 4, 4, 5, 4, 2, 2, 1, 2, 2, 3, 4, 1, 4, 3, 4, 3, 2, 2, 5]",40,6.714
SRT_W8A8_RTN,int4,sharegpt,sharegpt_6,"[6, 6, 5, 2, 4, 3, 2, 5, 6, 2, 4, 2, 3, 3, 1, 3, 3, 4, 3, 3, 2, 2, 1, 2, 2, 2, 3, 1, 3, 6, 3, 4, 5, 3, 6, 3, 3, 2, 6]",39,6.566
SRT_W8A8_RTN,int4,sharegpt,sharegpt_8,"[4, 4, 2, 5, 3, 2, 4, 2, 3, 4, 4, 3, 4, 4, 3, 4, 2, 1, 1, 2, 5, 5, 5, 3, 6, 4, 6, 6, 5, 4, 2, 3, 5, 5, 2, 1]",36,5.764
SRT_W8A8_RTN,int4,sharegpt,sharegpt_9,"[4, 6, 4, 4, 4, 4, 6, 5, 3, 2, 3, 2, 2, 3, 1, 1, 2, 2, 4, 6, 3, 4, 3, 4, 5, 2, 4, 1, 2, 6, 1, 1, 2, 4, 4, 1, 2, 6, 4, 1]",40,5.089
SRT_W8A8_RTN,int4,sharegpt,sharegpt_10,"[3, 2, 5, 3, 2, 2, 2, 6, 6, 3, 6, 4, 5, 4, 4, 4, 4, 4, 2, 4, 2, 1, 3, 2, 4, 2, 3, 4, 6, 1, 1, 4, 2, 3, 3, 3, 4, 4, 2]",39,4.962
SRT_W8A8_RTN,int4,sharegpt,sharegpt_13,"[3, 4, 3, 4, 6, 2, 6, 4, 3, 3, 6, 4, 4, 3, 2, 2, 3, 4, 6, 4, 2, 3, 3, 6, 4, 4, 3, 3, 1, 4, 2, 2, 6, 3, 3, 4]",36,4.614
SRT_W8A8_RTN,int4,sharegpt,sharegpt_15,"[3, 4, 5, 2, 6, 4, 4, 3, 6, 4, 4, 3, 4, 2, 6, 4, 3, 6, 3, 3, 4, 6, 4, 2, 2, 5, 4, 3, 3, 2, 4, 1, 1, 3, 2, 5]",36,4.591
SRT_W8A8_RTN,int4,sharegpt,sharegpt_16,"[1, 1, 4, 3, 3]",5,0.752
SRT_W8A8_RTN,int4,sharegpt,sharegpt_19,"[3, 3, 5, 3, 3, 3, 4, 3, 3, 3, 2, 4, 3, 3, 2, 2, 6, 2, 4, 6, 4, 3, 3, 4, 3, 2, 4, 6, 2, 1, 4, 4, 4, 2, 1, 2, 5, 3, 5]",39,4.953
SRT_W8A8_RTN,int4,sharegpt,sharegpt_23,"[4, 5, 3, 2, 1, 4, 5, 5, 4, 4, 4, 6, 5, 4, 4, 4, 4, 4, 2, 2, 6, 3, 4, 4, 3, 3, 5, 5, 3, 3, 3, 4, 3, 2, 5]",35,4.486
SRT_W8A8_RTN,int4,sharegpt,sharegpt_24,"[6, 6, 4, 6, 1, 2, 3, 4, 4, 5, 3, 6, 5, 5, 4, 6, 1, 2, 4, 3, 4, 5, 4, 6, 4, 4, 6, 5, 4, 1]",30,3.852
SRT_W8A8_RTN,int4,sharegpt,sharegpt_25,"[3, 3, 3, 2, 5, 3, 6, 6, 5, 4, 4, 3, 4, 5, 6, 4, 2, 1, 6, 6, 4, 6, 2, 4, 3, 4, 3, 1, 1, 4, 6, 6, 6]",33,4.202
SRT_W8A8_RTN,int4,sharegpt,sharegpt_26,"[1, 4, 4, 3, 2, 3, 6, 5, 5, 6, 5, 2, 2, 3, 4, 2, 2, 5, 3, 2, 2, 4, 3, 4, 4, 6, 6, 1, 4, 3, 6, 3, 4, 6, 1, 6]",36,4.613
SRT_W8A8_RTN,int4,sharegpt,sharegpt_28,"[4, 4, 4, 2, 6, 4, 3, 4, 4, 4, 4, 2, 3, 1, 4, 3, 4, 3, 4, 2, 3, 2, 3, 4, 4, 3, 5, 6, 3, 2, 1, 4, 5, 2, 5, 6, 2]",37,4.695
SRT_W8A8_RTN,int4,sharegpt,sharegpt_29,"[4, 6, 4, 4, 2, 3, 3, 5, 4, 3, 6, 2, 5, 3, 4, 4, 6, 1, 3, 4, 5, 6, 3, 4, 6, 3, 5, 2, 2, 3, 2, 2, 6, 2, 1]",35,4.464
SRT_W8A8_RTN,int4,sharegpt,sharegpt_31,"[1, 4, 4, 4, 6, 5, 4, 3, 4, 4, 2, 2, 3, 4, 6, 4, 6, 4, 2, 1, 2, 6, 6, 6, 2, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4]",35,4.466
SRT_W8A8_RTN,int4,sharegpt,sharegpt_34,"[4, 2, 4, 4, 4, 2, 2, 3, 3, 4, 3, 3, 5, 3, 6, 3, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 1, 5, 3, 4, 2, 4, 2, 2, 2, 4, 4, 2, 4, 3]",45,5.695
SRT_W8A8_RTN,int4,sharegpt,sharegpt_35,"[3, 6, 3, 1, 3, 6, 6, 1, 1, 3, 3, 4, 5, 6, 2, 2, 4, 6, 4, 4, 3, 1, 4, 2, 4, 3, 3, 3, 6, 3, 6, 3, 6, 6, 6]",35,4.441
SRT_W8A8_RTN,int4,sharegpt,sharegpt_36,"[6, 4, 4, 4, 2, 4, 5, 1, 3, 4, 5, 5, 4, 3, 4, 4, 6, 4, 3, 4, 2, 3]",22,2.842
SRT_W8A8_RTN,int4,sharegpt,sharegpt_39,"[1, 5, 2, 4, 4, 4, 2, 6, 3, 4, 3, 6, 2, 3, 2, 3, 2, 6, 1, 2, 2, 4, 3, 3, 1, 5, 3, 1, 3, 4, 3, 4, 6, 6, 3, 3, 4, 6]",38,4.856
SRT_W8A8_RTN,int4,sharegpt,sharegpt_41,"[1, 2, 3, 4, 6, 4, 4, 3, 1, 3, 4, 3, 2, 4, 4, 4, 3, 3, 5, 5, 4, 5, 3, 3, 1, 2, 3, 2, 4, 1, 4, 2, 6, 5, 3, 2, 2, 2, 4, 4]",40,5.116
SRT_W8A8_RTN,int4,sharegpt,sharegpt_43,"[4, 6, 5, 6, 2, 4, 4, 5, 3, 6, 2, 2, 3, 3, 4, 3, 3, 6, 5, 3, 3, 4, 2, 5, 6, 6, 6, 3, 3, 3, 3, 6]",32,4.078
SRT_W8A8_RTN,int4,sharegpt,sharegpt_46,"[6, 4, 4, 3, 2, 4, 4, 2, 4, 2, 3, 6, 4, 3, 4, 6, 4, 5, 1, 5, 5, 2, 6, 4, 3, 5, 6, 4, 4, 5, 2, 5, 6]",33,4.191
SRT_W8A8_RTN,int4,sharegpt,sharegpt_48,"[3, 2, 2, 6, 2, 6, 2, 1, 2, 5, 4, 6, 5, 6, 5, 6, 4, 6, 6, 3, 3, 4, 6, 5, 4, 5, 3, 4, 5, 3, 6]",31,3.939
SRT_W8A8_RTN,int4,sharegpt,sharegpt_54,"[1, 5, 1, 1, 1, 1, 1, 3, 2, 4, 1, 4, 1, 1, 3, 1, 3, 2, 2, 3, 3, 2, 6, 3, 1, 3, 3, 2, 4, 3, 3, 2, 2, 1, 1, 2, 2, 3, 5, 1, 3, 1, 2, 3, 3, 4, 4, 1, 1, 1, 4, 5, 3]",53,6.693
SRT_W8A8_RTN,int4,sharegpt,sharegpt_56,"[4, 1, 6, 2, 3, 4, 6, 5, 2, 2, 4, 5, 2, 4, 3, 2, 2, 1, 4, 4, 4, 3, 3, 4, 3, 1, 1, 1, 5, 4, 4, 3, 2, 2, 4, 5, 2, 3, 3, 5]",40,5.056
SRT_W8A8_RTN,int4,sharegpt,sharegpt_58,"[6, 3, 2, 4, 6, 4, 6, 5, 3, 1, 4, 2, 4, 5, 2, 5, 6, 6, 2, 4, 6, 6, 3, 5, 4, 4, 3, 3, 4, 4, 4, 4]",32,4.094
SRT_W8A8_RTN,int4,sharegpt,sharegpt_60,"[3, 4, 6, 3, 3, 3, 4, 4, 4, 4, 5, 1, 6, 1, 2, 4, 2, 3, 3, 6, 3, 2, 3, 1, 4, 5, 2, 3, 1, 5, 4, 4, 4, 3, 6, 6, 5]",37,4.688
SRT_W8A8_RTN,int4,sharegpt,sharegpt_65,"[2, 2, 6, 5, 5, 2, 2, 6, 1, 3, 3, 4, 3, 5, 4, 4, 6, 4, 6, 6, 1, 6, 6, 6, 5, 4, 6, 4, 6, 5]",30,3.833
SRT_W8A8_RTN,int4,sharegpt,sharegpt_66,"[1, 5, 4, 3, 4, 4, 3, 2, 4, 5, 5, 2, 4, 3, 6, 6, 3, 4, 2, 2, 1, 4, 1, 2, 2, 3, 4, 2, 6, 3, 3, 4, 2, 2, 6, 6, 3, 6]",38,4.792
SRT_W8A8_RTN,int4,sharegpt,sharegpt_67,"[1, 4, 4, 5, 2, 3, 5, 4, 5, 2, 1, 4, 2, 3, 6, 6, 6, 2, 5, 4, 6, 4, 2, 5, 4, 6, 4, 4, 4, 1, 3, 3, 3, 6]",34,4.335
