tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_0,"[4, 4, 4, 4, 1, 4, 6, 2, 4, 6, 5, 2, 3, 5, 3, 4, 2, 4, 2, 6, 6, 4, 1, 4, 3, 2, 3, 5, 1, 3, 3, 3, 4, 4, 6, 3]",36,6.314
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_1,"[6, 5, 4, 4, 4, 4, 4, 5, 4, 3, 4, 4, 2, 2, 4, 1, 4, 3, 2, 3, 2, 2, 2, 3, 1, 3, 4, 2, 2, 2, 4, 4, 3, 4, 5, 6, 3, 2, 1, 3]",40,6.514
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_2,"[6, 5, 3, 3, 1, 4, 6, 5, 2, 2, 4, 3, 2, 1, 3, 5, 3, 3, 2, 3, 1, 6, 6, 6, 4, 2, 4, 4, 2, 4, 4, 4, 2, 3, 3, 4, 3]",37,4.824
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_4,"[3, 1, 5, 4, 4, 2, 2, 2, 4, 4, 3, 3, 2, 4, 3, 4, 2, 2, 3, 1, 4, 6, 3, 2, 4, 4, 2, 3, 4, 4, 5, 6, 4, 3, 4, 5, 6, 3]",38,5.066
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_5,"[4, 4, 5, 1, 4, 2, 5, 1, 4, 3, 4, 2, 2, 1, 4, 3, 4, 2, 2, 1, 5, 4, 3, 4, 4, 4, 5, 1, 2, 4, 2, 2, 4, 3, 4, 2, 6, 3, 5, 6]",40,7.015
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_6,"[6, 6, 4, 1, 2, 4, 4, 1, 5, 4, 4, 2, 4, 4, 5, 4, 3, 4, 2, 3, 1, 4, 4, 2, 4, 3, 4, 2, 6, 4, 5, 6, 4, 2, 2, 2, 2]",37,6.487
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_8,"[5, 5, 5, 5, 4, 3, 3, 3, 4, 2, 2, 2, 4, 2, 3, 3, 4, 5, 3, 2, 1, 1, 5, 1, 1, 4, 3, 3, 1, 4, 1, 6, 3, 2, 5, 3, 1, 3, 5, 4, 4]",41,7.094
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_9,"[6, 6, 5, 4, 4, 4, 2, 4, 2, 4, 4, 2, 2, 3, 1, 1, 2, 2, 2, 1, 3, 5, 2, 4, 3, 4, 3, 4, 2, 4, 1, 4, 6, 5, 4, 1, 1, 3, 3, 1, 1, 6]",42,7.189
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_10,"[4, 4, 4, 3, 4, 5, 5, 4, 3, 1, 2, 4, 2, 2, 4, 6, 4, 4, 2, 2, 2, 3, 4, 2, 2, 1, 2, 2, 3, 4, 3, 2, 5, 6, 5, 4, 4, 3, 3]",39,6.714
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_13,"[6, 4, 4, 4, 4, 5, 2, 2, 3, 2, 1, 4, 2, 1, 4, 4, 6, 4, 4, 6, 1, 2, 3, 2, 1, 2, 4, 3, 4, 1, 2, 3, 6, 3, 4, 3, 3, 6, 2, 1]",40,6.896
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_15,"[6, 4, 4, 4, 2, 4, 2, 5, 4, 5, 1, 1, 4, 5, 2, 3, 2, 2, 3, 3, 1, 1, 1, 6, 4, 3, 4, 1, 4, 3, 3, 2, 2, 4, 3, 6, 3, 4, 3, 4]",40,6.84
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_16,"[1, 1, 2, 2, 3, 2]",6,1.171
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_19,"[3, 6, 2, 3, 2, 4, 4, 4, 2, 1, 2, 2, 1, 2, 5, 2, 2, 2, 3, 6, 2, 6, 6, 3, 4, 3, 5, 3, 3, 4, 4, 3, 3, 3, 5, 3, 2, 3, 4, 2]",40,6.854
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_23,"[6, 5, 3, 3, 2, 4, 4, 3, 2, 3, 4, 3, 1, 3, 4, 3, 6, 4, 4, 6, 1, 2, 1, 2, 4, 3, 2, 1, 3, 1, 2, 5, 3, 2, 3, 6, 3, 2, 3, 2, 3, 1]",42,6.803
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_24,"[4, 6, 2, 2, 2, 3, 4, 2, 4, 4, 3, 4, 2, 5, 2, 3, 1, 2, 2, 3, 1, 1, 3, 4, 4, 3, 2, 5, 4, 2, 3, 6, 5, 4, 4, 5, 4, 6, 2]",39,5.151
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_25,"[3, 5, 1, 4, 4, 4, 6, 4, 4, 4, 4, 5, 3, 4, 2, 3, 6, 3, 5, 4, 1, 3, 6, 4, 6, 4, 4, 5, 4, 3, 6, 5]",32,4.222
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_26,"[4, 6, 4, 3, 4, 4, 4, 4, 6, 2, 1, 4, 2, 3, 5, 2, 4, 1, 3, 4, 2, 2, 2, 6, 6, 2, 3, 4, 2, 4, 2, 3, 6, 4, 6, 4]",36,4.739
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_28,"[6, 6, 2, 4, 4, 3, 2, 1, 2, 2, 2, 1, 4, 2, 1, 5, 1, 6, 3, 4, 4, 2, 3, 1, 4, 4, 5, 3, 4, 3, 4, 4, 3, 3, 2, 4, 2, 6, 4, 1, 3]",41,5.365
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_29,"[6, 6, 2, 4, 3, 2, 4, 5, 6, 4, 5, 4, 4, 3, 3, 5, 6, 4, 4, 6, 4, 4, 6, 3, 1, 5, 3, 2, 1, 3, 3, 6, 2]",33,4.329
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_31,"[6, 5, 3, 5, 6, 3, 5, 4, 6, 5, 4, 1, 3, 4, 3, 5, 3, 3, 6, 5, 4, 3, 2, 4, 5, 2, 4, 6, 2, 4, 3, 2, 2]",33,4.374
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_34,"[5, 3, 6, 3, 5, 6, 3, 2, 4, 2, 1, 4, 4, 3, 2, 4, 4, 4, 2, 2, 2, 1, 5, 1, 3, 3, 2, 1, 2, 3, 3, 1, 4, 2, 3, 6, 2, 2, 4, 3, 2, 2, 3]",43,5.627
FIN_HB_B_conv_b0.005_s0_st3000__sharegpt,int4,sharegpt,sharegpt_35,"[3, 4, 6, 4, 1, 4, 3, 4, 3, 2, 4, 3, 2, 1, 3, 3, 3, 5, 5, 2, 4, 3, 1, 1, 2, 4, 2, 3, 3, 4, 3, 2, 4, 5, 2, 4, 6, 3, 3, 2, 1, 6]",42,5.507
