tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/0,"[6, 3, 6, 6, 2, 5, 2, 5, 3, 4, 5, 4, 2, 2, 3, 4, 5, 4, 3, 3, 4, 3, 2, 4, 4, 1, 4, 4, 3, 1, 4, 3, 4, 4, 4, 5]",36,6.632
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/1,"[6, 3, 3, 2, 3, 5, 6, 4, 3, 4, 6, 2, 3, 3, 3, 4, 4, 2, 2, 2, 4, 6, 5, 5, 3, 5, 5, 2, 2, 5, 4, 4, 3, 2, 1, 3]",36,6.161
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/2,"[6, 3, 6, 5, 4, 6, 3, 2, 3, 4, 3, 2, 5, 3, 4, 4, 2, 3, 6, 4, 2, 6, 3, 1, 5, 5, 6, 4, 4, 5, 5, 3, 3]",33,5.657
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/3,"[6, 3, 5, 4, 4, 5, 4, 3, 5, 2, 4, 4, 6, 5, 2, 6, 2, 6, 2, 4, 4, 3, 4, 5, 2, 6, 4, 3, 3, 6, 5, 6]",32,5.023
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/4,"[6, 3, 6, 6, 3, 2, 3, 6, 2, 2, 6, 4, 3, 1, 5, 5, 3, 3, 3, 2, 6, 3, 4, 3, 3, 3, 5, 6, 6, 4, 5, 6]",32,4.189
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/5,"[6, 3, 3, 4, 6, 5, 3, 2, 5, 3, 3, 4, 4, 2, 2, 2, 3, 5, 1, 2, 4, 4, 5, 6, 4, 3, 5, 6, 4, 4, 6, 4, 6]",33,4.315
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/6,"[6, 4, 1, 4, 5, 6, 5, 6, 3, 1, 4, 2, 1, 2, 3, 6, 4, 2, 2, 2, 4, 4, 3, 2, 2, 1, 3, 5, 2, 2, 4, 3, 6, 3, 3, 1, 4, 4, 3]",39,5.057
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/7,"[6, 3, 4, 4, 6, 4, 6, 1, 4, 4, 4, 3, 3, 5, 4, 6, 1, 2, 4, 3, 6, 6, 6, 3, 5, 4, 4, 6, 2, 2, 4, 3]",32,4.178
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/8,"[6, 4, 5, 6, 2, 3, 4, 6, 4, 3, 3, 3, 3, 4, 6, 3, 3, 4, 1, 2, 6, 3, 1, 4, 3, 6, 4, 4, 4, 4, 4, 4, 6]",33,4.308
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/9,"[4, 3, 2, 1, 2, 2, 4, 6, 3, 2, 6, 1, 4, 3, 4, 2, 1, 3, 3, 6, 1, 5, 2, 4, 3, 4, 4, 3, 3, 4, 2, 5, 5, 4, 5, 4, 3, 6]",38,4.93
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/10,"[4, 3, 3, 5, 2, 6, 6, 6, 5, 5, 5, 4, 3, 4, 6, 2, 1, 5, 5, 3, 6, 6, 6, 6, 6, 3, 2, 3, 4, 3]",30,4.005
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/11,"[4, 5, 3, 4, 6, 4, 6, 4, 1, 3, 3, 3, 2, 6, 2, 4, 2, 3, 1, 6, 2, 5, 1, 2, 4, 2, 3, 5, 4, 3, 6, 5, 4, 3, 2, 6]",36,4.795
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/12,"[6, 4, 6, 6, 2, 6, 3, 4, 2, 3, 2, 5, 2, 3, 6, 4, 3, 5, 1, 4, 2, 5, 1, 3, 3, 3, 2, 4, 2, 5, 2, 3, 4, 2, 5, 1, 1, 4]",38,5.096
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/13,"[4, 4, 2, 4, 6, 5, 4, 2, 5, 1, 2, 4, 4, 4, 5, 3, 6, 4, 4, 5, 3, 4, 1, 2, 3, 1, 4, 4, 2, 2, 3, 2, 6, 2, 2, 4, 1, 1, 4]",39,5.278
CFIN_P2conv_gsr5_s0,int4,humaneval,HumanEval/14,"[4, 3, 2, 2, 1, 4, 6, 6, 4, 6, 2, 1, 4, 2, 3, 6, 1, 2, 4, 2, 4, 4, 3, 4, 1, 3, 2, 1, 5, 1, 6, 3, 6, 3, 4, 5, 2, 2, 4]",39,6.386
