tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/0,"[6, 3, 4, 6, 4, 3, 4, 4, 3, 2, 3, 4, 3, 5, 3, 6, 2, 1, 2, 2, 2, 3, 2, 3, 3, 4, 3, 3, 4, 2, 3, 3, 3, 3, 4, 1, 5, 6, 5]",39,6.742
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/1,"[4, 3, 3, 2, 2, 3, 4, 2, 5, 6, 4, 4, 4, 6, 3, 2, 5, 4, 4, 3, 3, 5, 4, 5, 4, 2, 3, 6, 4, 4, 4, 3, 2, 6]",34,4.825
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/2,"[4, 3, 2, 4, 6, 5, 3, 3, 2, 5, 4, 2, 4, 4, 4, 5, 1, 3, 3, 6, 3, 3, 6, 3, 4, 2, 3, 2, 1, 4, 4, 3, 4, 6, 2, 2, 5]",37,6.166
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/3,"[4, 3, 3, 4, 6, 3, 2, 2, 4, 1, 2, 4, 3, 5, 3, 3, 2, 4, 5, 3, 6, 3, 2, 6, 4, 6, 4, 6, 3, 4, 3, 6, 4, 3, 3]",35,6.906
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/4,"[4, 3, 3, 6, 6, 4, 4, 5, 3, 3, 4, 2, 3, 1, 2, 2, 4, 5, 2, 2, 3, 4, 4, 4, 6, 5, 3, 2, 6, 4, 4, 4, 4, 3, 6]",35,6.198
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/5,"[4, 3, 3, 4, 4, 5, 4, 4, 3, 5, 1, 3, 4, 4, 4, 2, 3, 6, 2, 4, 4, 5, 6, 4, 3, 4, 4, 4, 4, 5, 2, 3, 4, 4]",34,5.918
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/6,"[4, 3, 2, 2, 1, 6, 5, 6, 4, 6, 1, 1, 6, 4, 4, 6, 5, 2, 1, 4, 2, 2, 3, 3, 4, 2, 4, 3, 2, 3, 6, 5, 3, 4, 4, 2, 4]",37,6.386
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/7,"[4, 3, 3, 5, 6, 5, 4, 4, 3, 4, 5, 3, 3, 4, 2, 3, 5, 2, 3, 3, 3, 6, 6, 3, 6, 2, 4, 3, 4, 5, 3, 3, 4, 4]",34,4.861
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/8,"[4, 3, 3, 6, 5, 2, 3, 4, 5, 1, 6, 4, 2, 5, 6, 4, 3, 6, 6, 6, 4, 4, 5, 4, 4, 4, 6, 3, 4, 6]",30,3.932
FIN_PC_B_r16_lr1e-4_s0_st1500__humaneval,int4,humaneval,HumanEval/9,"[4, 3, 2, 1, 4, 4, 4, 4, 3, 4, 2, 1, 6, 3, 4, 2, 2, 2, 6, 2, 3, 2, 5, 4, 2, 3, 3, 5, 2, 3, 2, 4, 6, 2, 3, 4, 3, 2, 2, 6]",40,5.192
