tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_QH_ls_s0,int4,humaneval,HumanEval/0,"[3, 3, 3, 4, 6, 5, 4, 4, 4, 1, 2, 3, 6, 6, 4, 1, 1, 6, 6, 6, 3, 3, 3, 3, 6, 6, 2, 6, 6, 6, 5, 4]",32,5.673
CFIN_QH_ls_s0,int4,humaneval,HumanEval/1,"[3, 3, 3, 2, 3, 4, 4, 4, 5, 6, 3, 3, 4, 5, 2, 6, 3, 3, 4, 2, 1, 4, 3, 4, 3, 5, 4, 4, 4, 4, 3, 2, 3, 6, 4, 4]",36,5.906
CFIN_QH_ls_s0,int4,humaneval,HumanEval/2,"[5, 2, 4, 5, 3, 4, 5, 2, 5, 5, 3, 3, 5, 1, 5, 4, 1, 2, 2, 6, 3, 4, 5, 2, 1, 1, 5, 2, 1, 6, 2, 4, 6, 4, 3, 1, 3, 3]",38,6.229
CFIN_QH_ls_s0,int4,humaneval,HumanEval/3,"[4, 4, 2, 4, 4, 3, 4, 2, 4, 2, 4, 3, 4, 4, 4, 1, 2, 4, 2, 4, 4, 4, 4, 6, 3, 1, 2, 4, 3, 3, 5, 4, 4, 6, 2, 5, 3]",37,6.073
CFIN_QH_ls_s0,int4,humaneval,HumanEval/4,"[4, 4, 3, 5, 5, 4, 5, 4, 4, 3, 5, 5, 4, 2, 4, 5, 5, 5, 4, 4, 5, 4, 3, 5, 4, 1, 3, 5, 6, 6, 6]",31,4.582
CFIN_QH_ls_s0,int4,humaneval,HumanEval/5,"[3, 3, 3, 3, 4, 6, 5, 5, 6, 2, 4, 3, 6, 4, 3, 1, 5, 3, 3, 3, 6, 6, 4, 3, 6, 6, 6, 2, 3, 1, 2, 3, 4, 2]",34,4.178
CFIN_QH_ls_s0,int4,humaneval,HumanEval/6,"[3, 3, 4, 1, 3, 4, 5, 4, 5, 4, 4, 3, 2, 2, 3, 4, 4, 4, 1, 1, 2, 3, 3, 4, 3, 4, 3, 3, 4, 5, 1, 3, 4, 4, 5, 4, 4, 4, 4]",39,4.766
CFIN_QH_ls_s0,int4,humaneval,HumanEval/7,"[5, 2, 3, 5, 4, 6, 4, 5, 4, 5, 3, 3, 3, 2, 3, 4, 6, 2, 5, 3, 6, 6, 6, 4, 4, 4, 5, 6, 4, 6]",30,3.71
CFIN_QH_ls_s0,int4,humaneval,HumanEval/8,"[4, 4, 2, 6, 6, 4, 5, 6, 6, 4, 3, 5, 6, 3, 3, 6, 3, 5, 4, 4, 5, 4, 3, 5, 4, 6, 3, 4, 6]",29,3.582
CFIN_QH_ls_s0,int4,humaneval,HumanEval/9,"[5, 2, 2, 1, 2, 2, 4, 4, 6, 6, 2, 5, 3, 3, 4, 4, 4, 2, 4, 4, 3, 3, 2, 4, 4, 4, 4, 6, 2, 4, 3, 2, 2, 1, 6, 2, 4, 2, 5]",39,4.749
CFIN_QH_ls_s0,int4,humaneval,HumanEval/10,"[3, 4, 1, 4, 6, 5, 6, 4, 5, 3, 4, 5, 4, 6, 6, 4, 6, 4, 2, 3, 2, 5, 4, 3, 4, 6, 2, 3, 4, 4, 2, 6]",32,3.925
CFIN_QH_ls_s0,int4,humaneval,HumanEval/11,"[4, 4, 2, 4, 6, 6, 4, 6, 5, 3, 4, 6, 4, 3, 5, 1, 2, 2, 2, 2, 3, 3, 1, 3, 5, 4, 6, 5, 5, 4, 5, 1, 6, 4]",34,4.174
CFIN_QH_ls_s0,int4,humaneval,HumanEval/12,"[4, 4, 2, 4, 2, 6, 6, 2, 5, 3, 2, 3, 5, 3, 3, 5, 3, 5, 2, 1, 1, 4, 3, 2, 6, 5, 5, 2, 4, 3, 4, 5, 3, 3, 4, 5]",36,4.38
CFIN_QH_ls_s0,int4,humaneval,HumanEval/13,"[4, 3, 2, 3, 3, 6, 4, 4, 4, 3, 1, 2, 3, 2, 3, 4, 4, 2, 2, 3, 2, 3, 6, 4, 1, 3, 4, 5, 4, 4, 3, 3, 6, 4, 2, 1, 4, 1, 4, 3]",40,4.88
CFIN_QH_ls_s0,int4,humaneval,HumanEval/14,"[1, 3, 3, 2, 2, 4, 6, 3, 5, 4, 6, 1, 3, 4, 2, 3, 4, 1, 2, 3, 2, 3, 4, 6, 4, 2, 3, 3, 4, 3, 4, 5, 3, 3, 2, 5, 4, 3, 5]",39,4.767
CFIN_QH_ls_s0,int4,humaneval,HumanEval/15,"[4, 2, 2, 1, 3, 2, 3, 2, 3, 4, 5, 4, 4, 1, 3, 3, 4, 3, 2, 3, 3, 5, 1, 4, 1, 4, 4, 2, 2, 2, 4, 5, 4, 4, 4, 3, 2, 3, 4, 3, 4, 3]",42,5.109
CFIN_QH_ls_s0,int4,humaneval,HumanEval/16,"[4, 6, 3, 6, 1, 5, 6, 3, 4, 5, 3, 3, 6, 6, 4, 4, 2, 2, 2, 2, 4, 6, 4, 3, 3, 4, 4, 2, 4, 6, 3, 2, 2, 2, 6]",35,4.279
CFIN_QH_ls_s0,int4,humaneval,HumanEval/17,"[3, 5, 2, 5, 6, 4, 4, 6, 2, 6, 4, 6, 5, 4, 5, 4, 3, 4, 1, 3, 4, 4, 4, 6, 2, 4, 4, 6, 3, 3, 4, 4]",32,3.929
CFIN_QH_ls_s0,int4,humaneval,HumanEval/18,"[3, 3, 3, 1, 4, 3, 6, 3, 4, 5, 3, 6, 6, 2, 1, 1, 5, 2, 4, 4, 4, 4, 5, 6, 4, 6, 2, 4, 3, 4, 3, 2, 4, 2, 2, 4]",36,4.376
CFIN_QH_ls_s0,int4,humaneval,HumanEval/19,"[3, 5, 2, 3, 5, 5, 4, 5, 3, 2, 5, 3, 4, 4, 3, 4, 3, 3, 4, 5, 2, 4, 2, 3, 2, 2, 4, 2, 1, 3, 2, 3, 4, 4, 3, 6, 4, 3]",38,4.626
CFIN_QH_ls_s0,int4,humaneval,HumanEval/20,"[3, 3, 3, 4, 4, 5, 6, 5, 4, 4, 2, 6, 3, 5, 3, 2, 3, 2, 3, 4, 5, 3, 4, 6, 2, 2, 4, 3, 2, 2, 6, 4, 2, 3, 2, 1, 1, 6]",38,4.671
CFIN_QH_ls_s0,int4,humaneval,HumanEval/21,"[4, 3, 3, 4, 6, 4, 6, 5, 4, 2, 6, 4, 4, 1, 4, 5, 3, 4, 2, 4, 5, 5, 6, 6, 6, 3, 6, 4, 5, 5]",30,3.723
CFIN_QH_ls_s0,int4,humaneval,HumanEval/22,"[4, 4, 2, 3, 4, 4, 6, 3, 6, 4, 4, 3, 4, 3, 4, 5, 6, 4, 2, 5, 1, 3, 4, 2, 2, 3, 6, 4, 4, 6, 5, 6, 3]",33,4.049
CFIN_QH_ls_s0,int4,humaneval,HumanEval/23,"[3, 3, 2, 1, 5, 5, 4, 4, 5, 3, 4, 4, 3, 3, 4, 4, 5, 3, 3, 4, 2, 2, 4, 2, 4, 4, 5, 5, 6, 4, 5, 3, 2, 2, 5, 4]",36,4.392
