tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
TRANSPLANT,int4,sharegpt,sharegpt_0,"[1, 4, 4, 4, 5, 4, 4, 3, 4, 4, 6, 1, 2, 3, 2, 3, 4, 1, 4, 4, 4, 4, 3, 3, 2, 4, 1, 3, 5, 2, 3, 4, 3, 2, 6, 6, 3, 3]",38,6.713
TRANSPLANT,int4,sharegpt,sharegpt_1,"[2, 3, 4, 3, 4, 2, 3, 3, 4, 6, 1, 2, 4, 6, 4, 1, 3, 3, 3, 4, 1, 3, 4, 2, 3, 1, 4, 2, 4, 3, 3, 4, 3, 3, 2, 2, 1, 2, 4, 2, 4, 2, 2, 3]",44,5.982
TRANSPLANT,int4,sharegpt,sharegpt_2,"[1, 4, 3, 4, 2, 4, 4, 5, 6, 4, 4, 4, 3, 2, 1, 2, 4, 5, 3, 2, 4, 3, 2, 2, 4, 6, 3, 3, 4, 3, 5, 2, 4, 3, 4, 6, 1, 3]",38,5.226
TRANSPLANT,int4,sharegpt,sharegpt_4,"[3, 4, 3, 3, 6, 4, 4, 3, 4, 3, 1, 1, 4, 2, 5, 4, 4, 3, 6, 2, 2, 4, 4, 3, 3, 3, 6, 6, 4, 6, 2, 2, 6, 3, 5]",35,4.863
TRANSPLANT,int4,sharegpt,sharegpt_5,"[1, 4, 3, 2, 2, 3, 3, 2, 4, 4, 4, 4, 6, 6, 2, 2, 3, 4, 2, 5, 6, 2, 3, 4, 5, 2, 2, 2, 4, 4, 3, 3, 3, 2, 6, 2, 3, 5, 3]",39,5.211
TRANSPLANT,int4,sharegpt,sharegpt_6,"[3, 4, 4, 4, 4, 4, 5, 5, 6, 3, 5, 1, 2, 4, 2, 1, 3, 1, 4, 1, 1, 3, 3, 4, 4, 3, 1, 4, 3, 1, 6, 3, 2, 3, 1, 2, 4, 4, 1, 6, 2, 2]",42,5.625
TRANSPLANT,int4,sharegpt,sharegpt_8,"[3, 3, 4, 5, 3, 1, 3, 2, 4, 2, 5, 4, 1, 4, 2, 1, 4, 4, 2, 1, 4, 3, 4, 3, 1, 2, 2, 4, 1, 1, 2, 4, 6, 2, 3, 2, 6, 3, 6, 3, 4, 4]",42,5.485
TRANSPLANT,int4,sharegpt,sharegpt_9,"[3, 3, 5, 4, 4, 2, 2, 6, 2, 3, 4, 2, 1, 3, 4, 2, 2, 5, 2, 2, 5, 3, 5, 4, 5, 2, 2, 1, 2, 2, 2, 2, 4, 5, 1, 4, 3, 4, 6, 1, 1, 2, 2]",43,5.73
TRANSPLANT,int4,sharegpt,sharegpt_10,"[3, 1, 4, 2, 3, 2, 3, 1, 1, 3, 4, 6, 1, 2, 2, 6, 4, 2, 4, 3, 2, 3, 5, 2, 3, 2, 4, 4, 4, 2, 6, 6, 4, 2, 4, 6, 4, 3, 4, 3]",40,6.147
TRANSPLANT,int4,sharegpt,sharegpt_13,"[1, 3, 2, 2, 3, 3, 5, 3, 4, 2, 1, 2, 3, 2, 1, 4, 3, 4, 4, 5, 5, 2, 2, 3, 2, 4, 4, 1, 4, 2, 2, 3, 4, 4, 2, 3, 1, 2, 3, 4, 5, 1, 3, 2, 5]",45,5.911
