config,group,prompt_id,mean_acceptance,acceptance_list,exact_match
target_body__w8a16,tbody,81,3.4737,"[3, 6, 1, 4, 6, 5, 5, 4, 4, 3, 2, 4, 4, 1, 3, 4, 2, 2, 3]",True
target_body__w8a16,tbody,82,4.125,"[4, 4, 3, 4, 4, 4, 6, 6, 6, 2, 5, 6, 4, 2, 3, 3]",True
target_body__w8a16,tbody,83,4.5714,"[6, 4, 4, 6, 6, 3, 4, 3, 4, 6, 4, 4, 4, 6]",True
target_body__w8a16,tbody,84,3.25,"[4, 2, 3, 4, 3, 6, 2, 2, 6, 5, 4, 2, 3, 2, 2, 4, 2, 4, 1, 4]",True
target_body__w8a16,tbody,85,2.68,"[1, 5, 3, 2, 3, 3, 4, 4, 1, 1, 5, 3, 4, 2, 3, 3, 1, 3, 2, 1, 2, 3, 2, 2, 4]",True
target_body__w8a16,tbody,86,3.0,"[3, 4, 6, 6, 3, 4, 1, 4, 1, 2, 3, 3, 3, 5, 3, 2, 1, 3, 2, 2, 2, 3]",True
target_body__w8a16,tbody,87,3.1905,"[3, 4, 5, 3, 5, 6, 3, 4, 6, 3, 3, 2, 3, 5, 1, 1, 2, 1, 1, 2, 4]",True
target_body__w8a16,tbody,88,3.0476,"[1, 3, 3, 2, 4, 4, 3, 2, 2, 4, 5, 4, 3, 3, 4, 3, 1, 4, 2, 4, 3]",True
target_body__w8a16,tbody,89,4.2667,"[3, 3, 6, 4, 3, 2, 6, 3, 5, 5, 4, 3, 6, 5, 6]",True
target_body__w8a16,tbody,90,3.5789,"[3, 6, 5, 4, 2, 4, 3, 4, 3, 3, 1, 4, 4, 5, 2, 2, 4, 4, 5]",False
target_body__w8a16,tbody,91,3.1429,"[1, 4, 3, 4, 3, 1, 4, 6, 4, 2, 4, 5, 2, 2, 2, 3, 2, 4, 3, 4, 3]",True
target_body__w8a16,tbody,92,2.6667,"[3, 3, 3, 3, 3, 3, 2, 4, 6, 2, 1, 1, 4, 4, 1, 3, 2, 3, 5, 1, 2, 1, 3, 1]",True
target_body__w8a16,tbody,93,4.1875,"[6, 6, 3, 3, 4, 6, 3, 4, 5, 4, 2, 4, 6, 6, 1, 4]",True
target_body__w8a16,tbody,94,3.2353,"[6, 5, 1, 2, 5, 6, 4, 4, 2, 2, 2, 3, 2, 2, 3, 4, 2]",True
target_body__w8a16,tbody,95,2.7083,"[5, 6, 2, 3, 2, 2, 3, 4, 4, 2, 2, 2, 2, 1, 1, 3, 2, 3, 2, 2, 2, 2, 2, 6]",True
target_body__w8a16,tbody,96,4.0,"[1, 3, 5, 4, 3, 4, 6, 4, 2, 5, 4, 6, 3, 4, 4, 6]",True
target_body__w8a16,tbody,97,3.8333,"[4, 6, 3, 2, 6, 4, 2, 2, 6, 6, 2, 3, 4, 4, 4, 4, 1, 6]",True
target_body__w8a16,tbody,98,2.6,"[3, 2, 1, 3, 2, 1, 2, 2, 2, 3, 2, 1, 3, 2, 4, 6, 1, 1, 2, 5, 3, 3, 5, 4, 2]",True
target_body__w8a16,tbody,99,3.5556,"[1, 2, 3, 4, 4, 3, 2, 6, 6, 2, 5, 4, 6, 6, 3, 3, 2, 2]",True
target_body__w8a16,tbody,100,2.7826,"[3, 1, 2, 2, 4, 3, 3, 4, 2, 2, 1, 3, 2, 4, 3, 1, 3, 5, 3, 5, 1, 3, 4]",True
target_body__w16a8,tbody,81,3.5263,"[3, 6, 1, 4, 6, 3, 3, 1, 6, 3, 4, 3, 4, 2, 3, 4, 4, 3, 4]",False
target_body__w16a8,tbody,82,4.4,"[4, 4, 3, 4, 6, 4, 6, 6, 6, 5, 6, 4, 2, 3, 3]",True
target_body__w16a8,tbody,83,4.4,"[6, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 2, 6, 4, 3]",True
target_body__w16a8,tbody,84,3.4211,"[4, 2, 3, 4, 3, 6, 4, 6, 5, 4, 2, 3, 2, 2, 4, 2, 4, 1, 4]",True
target_body__w16a8,tbody,85,2.68,"[1, 5, 3, 2, 3, 3, 4, 4, 1, 1, 5, 3, 4, 2, 3, 3, 1, 3, 2, 1, 2, 3, 2, 2, 4]",False
target_body__w16a8,tbody,86,2.8261,"[3, 4, 6, 6, 3, 4, 1, 4, 1, 2, 3, 3, 1, 2, 4, 3, 2, 1, 4, 3, 2, 1, 2]",True
target_body__w16a8,tbody,87,3.3684,"[3, 4, 5, 3, 5, 6, 3, 4, 6, 3, 3, 2, 3, 5, 1, 1, 2, 2, 3]",True
target_body__w16a8,tbody,88,3.0476,"[1, 3, 3, 2, 4, 4, 3, 2, 2, 4, 5, 4, 3, 3, 4, 3, 1, 2, 3, 5, 3]",True
target_body__w16a8,tbody,89,4.4,"[3, 3, 6, 6, 2, 6, 3, 5, 5, 4, 3, 6, 5, 6, 3]",True
target_body__w16a8,tbody,90,3.5789,"[3, 6, 5, 4, 2, 4, 3, 4, 3, 3, 1, 4, 4, 5, 2, 2, 4, 4, 5]",True
target_body__w16a8,tbody,91,3.1429,"[1, 4, 3, 4, 3, 1, 4, 6, 4, 2, 4, 5, 2, 2, 2, 3, 2, 4, 3, 4, 3]",True
