tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/0,"[6, 3, 5, 6, 3, 4, 3, 5, 2, 2, 3, 6, 6, 1, 4, 6, 6, 6, 6, 4, 3, 6, 3, 6, 6, 6, 6, 6]",28,5.366
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/1,"[6, 3, 3, 2, 4, 4, 6, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 5, 5, 2, 4, 5, 3, 5, 6, 4, 4, 4, 2, 2, 4, 2, 1, 2, 2]",35,6.374
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/2,"[6, 3, 4, 6, 6, 3, 4, 5, 4, 2, 2, 3, 5, 5, 1, 3, 4, 4, 5, 6, 4, 6, 6, 6, 2, 4, 6, 5, 4, 6]",30,5.662
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/3,"[6, 1, 2, 3, 3, 6, 4, 2, 5, 2, 2, 2, 4, 4, 4, 2, 4, 6, 2, 5, 3, 4, 6, 4, 5, 3, 2, 3, 3, 3, 1, 5, 1, 5, 3, 5, 5]",37,6.952
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/4,"[4, 4, 2, 4, 4, 6, 3, 3, 5, 1, 3, 3, 2, 3, 3, 5, 4, 6, 2, 6, 4, 6, 4, 4, 4, 2, 6, 4, 3, 6, 4, 3, 5]",33,5.896
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/5,"[6, 3, 5, 6, 5, 2, 4, 2, 6, 1, 3, 5, 6, 3, 3, 6, 2, 4, 4, 5, 6, 4, 3, 5, 4, 6, 4, 3, 2, 4, 3, 4]",32,5.381
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/6,"[5, 2, 4, 1, 4, 6, 5, 4, 4, 4, 2, 2, 5, 3, 4, 5, 4, 2, 2, 4, 2, 5, 4, 2, 1, 4, 4, 2, 2, 4, 3, 4, 4, 3, 2, 6, 5]",37,6.156
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/7,"[6, 1, 3, 4, 4, 6, 6, 4, 6, 6, 3, 3, 4, 5, 6, 4, 3, 4, 5, 6, 4, 3, 3, 4, 4, 4, 6, 2, 3, 4, 3]",31,5.384
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/8,"[4, 3, 3, 6, 6, 4, 4, 6, 6, 4, 2, 6, 6, 3, 3, 6, 1, 6, 5, 4, 4, 5, 3, 6, 6, 6, 3, 3, 4]",29,4.688
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/9,"[4, 3, 4, 3, 4, 6, 4, 1, 6, 1, 4, 3, 6, 3, 4, 6, 6, 6, 2, 4, 6, 3, 4, 6, 6, 4, 4, 4, 2, 1, 1, 1, 4, 3]",34,4.342
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/10,"[6, 2, 2, 2, 5, 6, 4, 6, 5, 6, 6, 3, 4, 4, 5, 3, 5, 6, 5, 6, 6, 6, 4, 5, 3, 4, 3, 5, 3]",29,3.705
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/11,"[6, 1, 2, 1, 4, 6, 5, 4, 5, 4, 3, 6, 3, 2, 2, 3, 3, 6, 6, 4, 3, 3, 6, 6, 3, 4, 4, 5, 2, 2, 4, 5, 4, 2]",34,4.362
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/12,"[6, 3, 5, 4, 5, 2, 6, 1, 6, 4, 4, 4, 4, 6, 4, 6, 4, 2, 6, 2, 6, 4, 2, 6, 1, 3, 4, 3, 4, 6, 4, 4]",32,4.069
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/13,"[6, 2, 4, 3, 6, 4, 3, 4, 6, 4, 4, 5, 1, 4, 2, 1, 6, 3, 3, 2, 4, 5, 4, 2, 4, 5, 2, 3, 5, 4, 2, 4, 4, 3, 4]",35,4.473
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/14,"[6, 3, 3, 6, 4, 4, 6, 6, 5, 5, 4, 3, 3, 4, 3, 5, 5, 5, 4, 4, 3, 6, 5, 4, 1, 5, 2, 1, 6, 6, 2]",31,3.936
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/15,"[6, 4, 2, 3, 4, 1, 6, 6, 6, 3, 3, 2, 5, 3, 3, 6, 4, 2, 3, 4, 6, 3, 1, 6, 3, 6, 5, 3, 4, 3, 1, 6, 6]",33,4.778
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/16,"[4, 6, 3, 6, 6, 6, 6, 5, 1, 3, 6, 4, 4, 6, 4, 2, 4, 4, 6, 5, 4, 6, 4, 4, 4, 2, 6, 6, 4]",29,5.703
CFIN_T6conv_gs_s1,int4,humaneval,HumanEval/17,"[5, 1, 4, 4, 6, 5, 4, 5, 3, 6, 4, 6, 6, 4, 4, 4, 4, 4, 2, 3, 4, 4, 5, 4, 4, 5, 6, 4, 4, 4]",30,5.37
