tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/0,"[6, 3, 4, 6, 4, 6, 6, 2, 2, 3, 4, 6, 2, 4, 1, 3, 4, 6, 6, 3, 6, 3, 6, 6, 4, 6, 6, 6, 6]",29,5.41
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/1,"[4, 3, 3, 2, 2, 4, 4, 5, 6, 6, 5, 4, 4, 3, 4, 6, 1, 6, 2, 4, 5, 4, 4, 5, 4, 4, 5, 4, 6, 3, 4, 4]",32,5.387
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/2,"[6, 3, 4, 6, 4, 5, 3, 3, 4, 3, 2, 2, 5, 2, 6, 1, 3, 5, 4, 4, 4, 6, 4, 2, 6, 5, 3, 5, 2, 2, 3, 3, 5, 6]",34,5.69
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/3,"[4, 3, 2, 6, 6, 3, 4, 4, 2, 5, 3, 4, 6, 6, 3, 3, 4, 2, 6, 4, 4, 3, 5, 2, 6, 2, 4, 6, 3, 4, 4, 4, 4]",33,5.467
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/4,"[6, 1, 2, 5, 6, 4, 2, 3, 5, 4, 4, 4, 2, 2, 4, 5, 5, 5, 4, 2, 4, 4, 3, 4, 3, 4, 2, 3, 4, 2, 5, 6, 4, 4, 6]",35,5.848
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/5,"[6, 3, 3, 4, 4, 4, 3, 4, 2, 4, 3, 3, 4, 6, 2, 2, 3, 4, 2, 2, 4, 4, 6, 6, 3, 3, 5, 4, 6, 4, 3, 1, 4, 5, 4]",35,5.774
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/6,"[4, 3, 4, 3, 6, 6, 4, 3, 6, 3, 3, 4, 2, 1, 4, 1, 2, 6, 3, 3, 4, 3, 2, 6, 1, 4, 3, 4, 6, 6, 4, 4, 5, 2, 3]",35,6.157
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/7,"[6, 1, 2, 4, 4, 6, 6, 5, 6, 6, 3, 3, 4, 2, 3, 6, 3, 4, 3, 6, 6, 4, 3, 4, 4, 6, 6, 3, 4, 5]",30,5.045
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/8,"[4, 3, 2, 3, 6, 4, 4, 4, 6, 6, 4, 3, 6, 4, 4, 3, 6, 3, 6, 3, 2, 3, 3, 5, 4, 4, 5, 6, 4, 4, 5]",31,5.151
FIN_HB_B_conv_b0.02_s0_st3000__humaneval,int4,humaneval,HumanEval/9,"[4, 3, 4, 3, 4, 6, 4, 1, 2, 5, 2, 5, 6, 4, 3, 6, 4, 5, 5, 6, 3, 4, 5, 6, 6, 6, 3, 5, 2, 2, 2, 6]",32,5.356
